NAME:,walk2.csv,,
EXPERIMENT TIME:,03/06/2023 14:36,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-4.04034,-1.96133,-5.88399
0.071,-4.001113,-1.882877,-5.805537
0.142,-4.001113,-1.96133,-5.923217
0.213,-4.001113,-1.882877,-5.76631
0.284,-4.04034,-1.84365,-5.88399
0.355,-4.079566,-1.922104,-5.805537
0.426,-3.961887,-1.96133,-5.805537
0.497,-4.550286,-1.96133,-5.530951
0.568,-5.217138,-1.255251,-5.413271
0.639,-4.550286,-1.255251,-6.11935
0.71,-4.589512,-1.529837,-6.11935
0.781,-4.393379,-1.372931,-5.648631
0.852,-3.687301,-1.96133,-5.491724
0.923,-3.451941,-1.529837,-6.472389
0.994,-3.844207,-0.784532,-6.903882
1.065,-3.020448,-0.902212,-6.23703
1.136,-3.020448,-1.059118,-6.11935
1.207,-3.020448,-0.862985,-5.805537
1.278,-2.902768,-0.666852,-5.76631
1.349,-2.745862,-0.392266,-5.648631
1.42,-2.275143,-0.470719,-6.393936
1.491,-2.588956,-0.392266,-7.84532
1.562,-1.96133,-1.529837,-13.650858
1.633,-2.667409,-0.784532,-5.138685
1.704,-3.726527,-3.883434,-6.040897
1.775,-3.020448,-2.235916,-4.981779
1.846,-3.295035,-2.118237,-6.158576
1.917,-4.432606,-1.490611,-3.844207
1.988,-3.608848,-0.862985,-5.295591
2.059,-3.765754,-0.627626,-3.491168
2.13,-5.060232,-0.666852,-6.982335
2.201,-5.844764,-0.745305,-9.296705
2.272,-7.335374,3.608848,-12.317153
2.343,-3.765754,-5.021005,-0.941438
2.414,-6.550843,-3.491168,-6.864655
2.485,-4.001113,-3.687301,-4.314926
2.556,-3.334261,-2.235916,-4.746419
2.627,-2.432049,-1.255251,-2.31437
2.698,-2.824315,-1.608291,-3.334261
2.769,-3.255808,0.666852,-6.943109
2.84,-1.922104,0.706079,-10.944222
2.911,-2.981222,-4.942552,-10.591183
2.982,-4.824872,-5.217138,-5.021005
3.053,-6.629296,-1.294478,-7.021562
3.124,-0.549172,-2.471276,-6.276257
3.195,-4.707192,-1.882877,-4.118793
3.266,-3.412714,-1.216025,-3.451941
3.337,-3.92266,-0.23536,-4.511059
3.408,-3.138128,0.706079,-5.021005
3.479,-4.354153,-0.902212,-9.179025
3.55,-7.256921,-2.353596,-6.903882
3.621,-6.707749,-1.608291,-7.413828
3.692,-1.725971,-6.982335,-5.021005
3.763,-7.021562,-2.863542,-7.453054
3.834,-3.648074,-2.588956,-3.216581
3.905,-3.530394,-1.294478,-2.157463
3.976,-2.07901,-0.431493,-4.197247
4.047,-2.667409,-0.156906,-3.883434
4.118,-2.981222,-1.529837,-10.473503
4.189,0.313813,-7.806094,-19.574074
4.26,-6.786202,-3.80498,2.667409
4.331,-5.217138,-5.177911,-13.180139
4.402,-2.157463,-4.511059,-4.118793
4.473,-4.589512,-1.490611,-3.295035
4.544,-2.549729,-0.549172,-4.118793
4.615,-3.138128,0.784532,-3.373488
4.686,-3.412714,-1.882877,-5.217138
4.757,-6.393936,0.039227,-10.238143
4.828,-6.786202,0.313813,-10.081236
4.899,-2.07901,-7.296148,-2.667409
4.97,-8.66908,-2.275143,-8.198359
5.041,-4.314926,-2.549729,-4.197247
5.112,-3.608848,-1.804424,-1.922104
5.183,-2.07901,-0.039227,-2.000557
5.254,-2.000557,0.588399,-4.511059
5.325,-2.039783,-1.608291,-11.689528
5.396,-0.509946,-6.11935,-16.04368
5.467,-6.00167,-6.550843,-1.333704
5.538,-6.354709,-0.784532,-6.433163
5.609,-1.647517,-1.176798,-8.943666
5.68,-4.785645,-0.784532,-3.295035
5.751,-3.491168,-1.765197,-2.392823
5.822,-2.628182,-0.902212,-3.295035
5.893,-3.412714,-0.588399,-6.23703
5.964,-6.629296,4.2757,-12.12102
6.035,-8.08068,-0.156906,-10.15969
6.106,-2.353596,-10.904996,-0.392266
6.177,-7.531507,-1.647517,-10.081236
6.248,-3.961887,-2.510503,-3.451941
6.319,-2.667409,-1.019892,-2.432049
6.39,-2.706636,-0.666852,-2.31437
6.461,-2.039783,0.156906,-4.2757
6.532,-4.628739,-3.098902,-5.844764
6.603,-4.550286,-1.804424,-10.39505
6.674,-2.863542,-3.138128,-8.747532
6.745,-4.864099,-2.549729,-4.981779
6.816,-3.098902,-2.628182,-9.453611
6.887,-3.059675,-1.882877,-1.529837
6.958,-3.530394,-1.490611,-2.432049
7.029,-3.373488,-0.156906,-2.902768
7.1,-4.04034,-0.549172,-7.021562
7.171,-7.688414,3.648074,-11.414941
7.242,-8.551399,-3.92266,-8.943666
7.313,-3.216581,-9.728197,-2.863542
7.384,-7.217695,-1.255251,-10.434276
7.455,-3.569621,-2.471276,-3.80498
7.526,-2.824315,0.353039,-1.686744
7.597,-2.510503,-0.392266,-1.922104
7.668,-2.000557,-0.11768,-3.765754
7.739,-4.471833,-1.922104,-7.100015
7.81,-2.785089,0.588399,-15.965227
7.881,0.784532,-3.098902,-15.180696
7.952,-6.746975,-3.373488,-4.707192
8.023,-2.275143,-3.451941,-9.100572
8.094,-2.353596,-2.392823,-0.862985
8.165,-3.138128,-1.372931,-2.824315
8.236,-2.902768,0.196133,-4.393379
8.307,-3.177355,-0.666852,-5.88399
8.378,-8.943666,3.687301,-11.53262
8.449,-10.355823,-4.393379,-8.394493
8.52,-2.039783,-6.982335,-5.76631
8.591,-5.099459,-1.333704,-8.943666
8.662,-4.079566,-2.000557,-5.099459
8.733,-2.118237,0.156906,-1.804424
8.804,-2.667409,-0.353039,-2.941995
8.875,-1.686744,-0.196133,-3.92266
8.946,-5.099459,-2.549729,-8.512173
9.017,-3.961887,-1.059118,-11.650301
9.088,-2.863542,-2.549729,-8.904439
