NAME:,walk_1_3.csv,,
EXPERIMENT TIME:,06/6/2023 13:12,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,160,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,-1.675,-9.796,-2.788
0.086,-1.753,-10.345,-2.592
0.172,-1.832,-9.796,-2.435
0.258,-2.263,-9.874,-2.317
0.344,-2.145,-9.796,-1.964
0.43,-1.635,-11.247,-1.258
0.516,-2.538,-9.953,-0.866
0.602,-2.106,-9.717,-1.14
0.688,-1.282,-10.384,-0.827
0.774,-2.42,-10.816,-0.63
0.86,-1.871,-10.619,-0.042
0.946,-3.126,-9.482,-3.18
1.032,-1.165,-10.933,-3.455
1.118,-0.419,-8.58,-2.553
1.204,1.228,-9.953,-3.298
1.29,-0.027,-9.717,-2.788
1.376,0.09,-9.835,-2.709
1.462,0.679,-9.09,-2.945
1.548,0.13,-9.521,-3.219
1.634,1.463,-11.286,-4.396
1.72,2.836,-11.404,-5.573
1.806,-2.93,-11.404,-6.436
1.892,-2.498,-10.776,-5.102
1.978,-1.989,-7.834,-2.788
2.064,-1.243,-9.364,-1.572
2.15,-2.577,-7.756,-0.16
2.236,-0.89,-8.619,0.154
2.322,-2.812,-13.169,0.429
2.408,-4.538,-14.621,-2.043
2.494,-2.067,-11.679,-5.73
2.58,-1.086,-9.521,-3.416
2.666,-0.223,-6.501,-2.513
2.752,1.66,-7.599,-2.474
2.838,-0.969,-12.189,-3.729
2.924,-2.381,-16.347,-7.377
3.01,-2.734,-8.54,-5.691
3.096,-0.929,-13.601,-4.749
3.182,-0.733,-4.069,-1.297
3.268,-1.792,-7.285,-0.905
3.354,-1.282,-11.012,-1.611
3.44,-5.244,-14.974,-0.317
3.526,-6.147,-7.521,-4.279
3.612,-1.165,-12.855,-4.985
3.698,-3.518,-4.735,-1.807
3.784,0.287,-6.736,-2.592
3.87,0.797,-9.168,-2.866
3.956,2.287,-14.542,-4.279
4.042,-0.302,-10.306,-7.338
4.128,-3.401,-10.463,-4.514
4.214,-0.341,-5.834,-2.435
4.3,-2.263,-6.422,-1.454
4.386,-1.126,-8.07,-1.062
4.472,-1.479,-15.64,-0.944
4.558,-5.637,-11.757,-2.984
4.644,-1.635,-7.913,-5.848
4.73,-2.616,-14.15,-4.828
4.816,-0.145,-6.265,-2.082
4.902,1.385,-7.756,-2.317
4.988,-0.89,-11.443,-4.161
5.074,-1.479,-15.954,-6.907
5.16,-2.381,-8.894,-7.221
5.246,-1.4,-13.836,-5.926
5.332,-0.655,-3.951,-0.866
5.418,-1.714,-6.187,-0.277
5.504,-3.205,-11.6,-2.2
5.59,-4.46,-15.131,-2.2
5.676,-3.244,-6.658,-3.965
5.762,-3.126,-14.228,-3.925
5.848,-1.792,-3.676,-1.493
5.934,0.875,-6.226,-1.886
6.02,-0.341,-12.502,-4.122
6.106,-1.361,-16.229,-9.692
