NAME:,Walk_4_1,,
EXPERIMENT TIME:,06/06/2023 12:06,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,106,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,5.61,-9.73,-9.34
0.814014648,-1.1,-8.12,-3.14
0.895014648,0.43,-8.16,-4.63
1.786014648,2.12,-5.45,-3.45
1.867014648,-3.61,-7.02,-3.45
2.758014648,2.47,-8.47,-5.41
3.811014648,-0.78,-8.98,-4.28
3.892014648,0.78,-11.73,-3.3
3.973014648,4.43,-9.81,-10.36
4.054014648,-5.18,-7.41,-5.92
4.135014648,4.31,-9.34,-5.37
4.216014648,-4.2,-6.04,-3.88
4.297014648,-1.84,-6.51,-3.45
4.378014648,-0.71,-9.41,-3.77
4.459014648,-0.39,-12.98,-3.41
4.702014648,-6,-9.57,-5.81
4.784014648,2.98,-5.92,-3.1
4.864014648,0.43,-9.14,-3.88
5.188014648,-7.06,-6.12,-6.98
5.269014648,4.94,-8.51,-5.33
5.350014648,-2.08,-4.51,-2.63
5.431014648,-2.39,-9.02,-4.16
5.512014648,1.73,-7.85,-2.63
5.593014648,-1.26,-13.69,-4.51
5.674014648,-4.79,-9.41,-10.24
5.755014648,4.35,-5.26,-6.28
5.998014648,1.06,-9.77,-5.22
6.079014648,-0.67,-8.55,-3.88
6.160014648,2.43,-11.26,-3.49
6.241014648,1.33,-8.55,-7.06
6.322014648,-3.88,-6,-9.92
6.403014648,2.51,-6.98,-7.57
6.484014648,-0.71,-2.79,-3.1
6.565014648,-3.14,-9.45,-4.67
6.646014648,0.47,-7.45,-2.63
6.727014648,-0.51,-13.85,-3.49
6.808014648,-0.94,-8.67,-6.43
6.889014648,2.98,-9.06,-9.02
6.970014648,-5.41,-8.2,-5.92
7.051014648,0.86,-2.43,-2.51
7.375014648,3.73,-8.9,-10.36
7.456014648,-5.57,-6.63,-7.1
7.537014648,4.63,-9.02,-4.67
7.618014648,-1.29,-3.37,-2.86
7.699014648,-2.2,-9.89,-4.86
7.780014648,0.59,-7.69,-2.59
7.861014648,-1.84,-14.32,-2.71
7.942014648,-3.65,-9.77,-8.39
8.023014648,3.84,-6.67,-7.1
8.104014648,-4.2,-7.92,-6.59
8.185014648,1.06,-4.04,-3.18
8.266014648,1.1,-10.36,-4.9
8.347014648,-0.2,-8.39,-3.65
8.428014648,0.51,-9.3,-4.16
8.509014648,2.63,-10.55,-6.9
8.590014648,0.43,-5.02,-10.2
9.724014648,1.96,-7.1,-10.51
9.805014648,-2.55,-11.96,-6.67
9.886014648,2.31,-5.1,-3.22
10.77701465,0.82,-12.55,-3.49
10.85801465,3.69,-7.92,-10.28
11.83001465,-0.12,-9.92,-4.2
12.39701465,0.08,-10.55,-3.8
12.47801465,-1.49,-12.87,-2.28
12.55901465,-2.16,-8.55,-10.43
12.64001465,2.82,-7.61,-5.22
12.72101465,-4.9,-8.2,-6.39
12.80201465,2.82,-5.92,-3.18
13.04501465,0.94,-12.67,-4.16
13.12701465,2.24,-8.04,-8.67
13.45001465,-2.63,-9.3,-5.06
13.53101465,-0.78,-8.08,-2.86
13.61201465,-2.2,-12.59,-3.69
13.69301465,-2.51,-9.57,-7.26
13.77401465,2.79,-5.73,-8.51
13.85501465,-3.57,-6.98,-5.92
13.93601465,0,-3.53,-3.33
14.01701465,1.06,-9.96,-4.59
14.09801465,0.39,-7.61,-3.1
14.17901465,0.51,-10.47,-4.71
14.26001465,0.98,-11.53,-6.67
14.34101465,0.67,-4.94,-10.71
14.42201465,-1.26,-9.96,-6.47
14.50301465,1.29,-3.61,-3.77
14.58401465,-4,-10.12,-4.71
14.66501465,-0.94,-7.34,-1.92
14.74601465,-0.16,-11.38,-3.57
14.82701465,-2.98,-12.51,-6.28
14.90801465,0.51,-3.73,-10.32
14.98901465,-2,-7.77,-5.18
15.07001465,-2.39,-4.51,-4.08
15.15101465,2.28,-8.98,-4.39
15.23201465,1.1,-7.65,-3.61
15.31301465,-0.39,-9.57,-4.59
15.39401465,0.04,-12.32,-4.55
15.47501465,1.92,-7.22,-10.9
15.55601465,-1.22,-9.06,-7.57
15.63701465,0.98,-5.02,-4.82
15.71801465,-3.02,-8.2,-4.39
15.79901465,-1.33,-7.41,-2.67
15.88001465,-0.04,-11.41,-4.55
15.96101465,-2.59,-11.85,-9.89
16.04201465,2.35,-3.65,-7.37
16.12301465,-4.12,-7.77,-4.86
16.44701465,0.98,-9.77,-4.2
16.52801465,0.67,-10.12,-4.63
16.60901465,1.65,-7.53,-12.16
16.69001465,-1.14,-9.14,-6.59
16.77101465,1.29,-4.47,-4.08
16.85201465,-3.37,-8.59,-4.39
16.93301465,-0.94,-6.94,-2.55
17.01401465,-1.49,-12.12,-3.73
17.09501465,-2.59,-10.63,-5.02
17.17601465,-1.49,-6.12,-11.06
17.74301465,1.96,-6.9,-10.9
17.82401465,-1.84,-9.65,-6.86
19.20101465,-2,-7.53,-3.14
19.28201465,0.98,-9.26,-4.47
19.36301465,-1.53,-13.69,-2.35
20.33501465,-2.12,-7.53,-4.2
20.41601465,1.26,-9.49,-4.04
20.74001465,-6,-9.02,-6.28
20.82101465,2.39,-4.43,-2.71
20.90201465,0.75,-9.57,-4.39
20.98301465,-1.06,-8.79,-3.45
21.06401465,1.53,-12.71,-3.61
21.14501465,1.84,-8.43,-8.04
21.22601465,-5.02,-5.06,-7.77
21.30701465,4.31,-8.43,-7.06
21.38801465,-2.43,-3.14,-2.86
21.46901465,-2.63,-8.28,-4.24
21.55001465,0.24,-8.51,-3.88
21.63101465,-2.28,-13.45,-2.55
21.71201465,-3.22,-9.61,-8.87
21.79301465,4.08,-7.77,-6.67
21.87401465,-4.86,-8.32,-5.26
21.95501465,2.51,-4.98,-2.35
22.03601465,0.63,-9.85,-4.35
22.11701465,-0.59,-8.67,-3.1
22.19801465,2.51,-10.32,-3.65
22.27901465,2,-10.79,-7.18
22.36001465,-6,-5.33,-9.18
22.44101465,3.18,-8.39,-6.08
22.52201465,-1.69,-3.33,-2.9
22.60301465,-1.92,-8.94,-5.14
22.68401465,-0.55,-7.57,-3.18
22.76501465,-2.67,-13.49,-3.22
22.84701465,-4.2,-10.32,-10.16
22.92701465,3.26,-4.43,-5.81
23.00801465,-6.98,-10.08,-5.96
23.08901465,2.43,-4.71,-2.55
23.17001465,1.29,-9.34,-5.18
23.25101465,-0.59,-8.16,-3.3
23.33201465,1.29,-10.51,-4.82
23.41301465,2.47,-9.61,-6.47
23.49401465,0.43,-6.51,-11.1
23.57501465,-0.27,-8.71,-6.12
23.65601465,0.86,-3.8,-5.02
23.73701465,-3.65,-9.22,-5.1
23.81801465,-1.18,-6.32,-3.06
23.89901465,-1.18,-11.18,-5.1
23.98001465,-2,-10.9,-4.71
24.06101465,-1.96,-6.24,-11.38
24.14201465,-0.16,-5.92,-5.3
24.22301465,-2.55,-6.55,-5.06
24.30401465,2,-7.85,-4.24
24.38501465,0.9,-7.3,-3.57
24.46601465,0.71,-9.85,-4.63
24.54701465,0.08,-13.85,-2.67
24.62801465,2.59,-8.9,-8.79
24.71001465,-5.1,-9.38,-6.39
24.79001465,4.31,-8.04,-4.08
24.87201465,-3.92,-7.3,-2.98
24.95201465,-1.1,-7.49,-3.49
25.03301465,1.26,-9.53,-3.06
25.11501465,-2.51,-14.59,-3.41
25.19501465,-2.51,-9.06,-9.26
25.27701465,3.96,-5.96,-5.77
25.35701465,-5.81,-9.81,-6.16
25.43801465,2.39,-4.39,-3.65
25.52001465,1.26,-9.61,-5.18
25.60001465,-1.22,-8.16,-3.57
25.68201465,1.22,-11.3,-4.59
25.76201465,3.02,-8.83,-6.51
25.84301465,-0.59,-5.96,-11.49
25.92501465,0.71,-7.61,-7.18
26.81501465,-0.27,-10.67,-4.59
26.89601465,2.75,-12.36,-1.88
27.70601465,-6.12,-8.59,-6.28
27.78701465,2.24,-4.12,-2.79
29.32601465,2.67,-10.24,-9.81
29.40701465,-4.55,-7.02,-4.39
29.48801465,3.45,-10.04,-4.9
29.56901465,-3.61,-6.94,-3.06
29.65001465,-1.65,-7.49,-2.98
29.73101465,0.51,-9.45,-3.69
29.81201465,-1.77,-14,-2.67
29.89301465,-1.73,-8.36,-9.85
29.97401465,2.86,-6,-4.79
30.05501465,-3.22,-10.36,-6.12
30.13601465,1.65,-5.18,-2.98
30.21701465,1.14,-9.38,-4.47
30.29801465,-0.78,-9.22,-3.65
30.37901465,2.39,-11.69,-2.98
30.46001465,3.57,-8.98,-9.1
30.54101465,-6.83,-6.04,-5.77
30.62201465,3.92,-9.14,-6.08
30.70301465,-1.77,-4.08,-3.14
30.78401465,-1.8,-7.73,-4.39
30.86501465,0.27,-8.43,-4.47
30.94601465,-3.14,-13.18,-2.59
31.02701465,-2.75,-10.16,-9.3
31.10801465,5.14,-5.49,-5.53
31.18901465,-5.33,-9.73,-5.92
31.27001465,2.04,-5.22,-3.3
31.35101465,0.35,-9.02,-4.43
31.43201465,0.24,-9.89,-3.18
31.51301465,2.51,-10.32,-2.86
31.59401465,3.06,-9.85,-8.55
31.67501465,-6,-5.45,-8.04
31.75601465,2.35,-7.41,-6.2
31.83701465,-0.55,-3.3,-3.02
31.91801465,-2.59,-9.73,-4.86
31.99901465,-0.39,-7.61,-2.67
32.08001465,-1.77,-12.24,-3.02
32.16101465,-4.12,-12.36,-11.69
32.24201465,3.84,-3.22,-4.47
32.32301465,-3.8,-9.53,-5.73
32.40401465,-0.08,-3.22,-3.49
32.48501465,1.73,-9.34,-4.86
32.56601465,0.08,-9.45,-3.02
32.64701465,1.18,-9.89,-2.98
32.72801465,2.12,-11.06,-10.12
32.80901465,-8.63,-5.53,-7.69
32.89001465,4.39,-7.18,-6.08
32.97101465,-2.04,-4.08,-2.82
33.05201465,-1.45,-7.69,-4.08
33.13301465,-0.35,-9.02,-3.77
33.21401465,-2.2,-12.79,-1.92
33.29501465,-1.96,-12.87,-12.28
33.37601465,4.08,-5.26,-5.18
33.45701465,-6.28,-8.04,-6.04
33.53801465,3.45,-5.61,-3.33
33.61901465,1.18,-7.61,-4.16
33.70001465,-0.35,-9.1,-3.53
33.78101465,1.61,-12.75,-2.98
33.86201465,2.28,-8.16,-8.94
33.94301465,-8.47,-7.06,-8.55
34.02401465,7.53,-8.39,-4.28
34.10501465,-3.65,-4.86,-1.84
34.18601465,-1.18,-8.32,-4.08
34.26701465,0.71,-9.38,-4.24
35.23901465,-3.1,-4.71,-2.75
35.32001465,-0.82,-7.65,-3.92
35.40101465,-0.63,-10.4,-5.1
35.48201465,-2.94,-13.85,-3.65
35.56301465,-2.67,-7.49,-8.83
35.64401465,3.49,-8.12,-4.98
35.72501465,-5.26,-10.08,-6.2
35.80601465,1.61,-3.41,-3.18
35.88701465,1.45,-8.04,-5.37
35.96801465,0.55,-9.53,-3.84
36.04901465,-1.26,-13.45,-3.45
36.13001465,4.43,-10.79,-10.36
36.21101465,-5.73,-4.94,-5.06
36.29201465,4.12,-9.53,-4.86
36.37301465,-1.33,-4.55,-3.06
36.45401465,-2.59,-8.47,-4.04
36.53501465,0.98,-7.81,-3.84
36.61601465,-2.24,-14.71,-3.26
36.69701465,-3.22,-5.37,-9.1
36.77801465,4.28,-9.1,-5.84
36.85901465,-4.82,-9.61,-5.53
36.94001465,2.2,-4.79,-2.59
37.02101465,1.29,-8.71,-4.2
37.10201465,0.16,-9.69,-3.37
37.18301465,1.69,-13.3,-2.59
37.26401465,2,-7.57,-10.2
37.34501465,-5.02,-9.53,-7.06
37.42601465,5.06,-6.75,-4.47
37.50701465,-3.65,-5.77,-3.14
37.58801465,-1.88,-7.37,-3.45
37.66901465,0.24,-8.39,-4.75
37.75001465,-0.55,-12.4,-3.37
37.83101465,-3.33,-8.55,-12.43
37.91201465,1.37,-5.45,-5.77
