NAME:,walk3.csv,,
EXPERIMENT TIME:,03/06/2023 14:37,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,94,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
10.082,-6.315483,-1.176798,-7.060789
10.153,-9.728197,-1.804424,-12.944778
10.224,-0.078453,-6.354709,-4.550286
10.295,-8.708306,-1.725971,-8.198359
10.366,-2.392823,-1.765197,-1.96133
10.437,-3.295035,-2.000557,-1.294478
10.508,-1.922104,-0.196133,-2.628182
10.579,-3.765754,-1.569064,-7.060789
10.65,-0.706079,1.608291,-12.081794
10.721,-2.07901,-6.197803,-14.749203
10.792,-5.060232,-5.021005,-1.725971
10.863,-3.648074,-5.060232,-9.179025
10.934,-2.588956,-2.863542,-2.863542
11.005,-3.92266,-0.980665,-2.275143
11.076,-3.373488,0.156906,-3.687301
11.147,-3.608848,-0.23536,-6.472389
11.218,-7.139242,2.863542,-10.787315
11.289,-10.904996,-5.805537,-6.982335
11.36,-2.785089,-9.257479,-4.667965
11.431,-7.178468,-1.294478,-9.845878
11.502,-3.295035,-1.686744,-4.471833
11.573,-3.961887,0,-0.823759
11.644,-2.785089,-0.078453,-1.84365
11.715,-2.981222,1.333704,-4.354153
11.786,0.862985,0.23536,-14.278483
11.857,-2.31437,-6.707749,-16.985119
11.928,-6.746975,-6.472389,0.706079
11.999,-3.216581,-5.530951,-11.101129
12.07,-2.902768,-2.510503,-3.412714
12.141,-3.412714,-0.941438,-2.941995
12.212,-4.2757,-0.470719,-2.588956
12.283,-2.549729,0.627626,-4.236473
12.354,-3.844207,-1.372931,-5.962444
12.425,-6.903882,-0.588399,-8.66908
12.496,-5.805537,-3.020448,-11.179583
12.567,-0.980665,-5.570178,-4.746419
12.638,-7.296148,-2.31437,-7.806094
12.709,-3.80498,-1.490611,-1.725971
12.78,-2.863542,-1.96133,-3.059675
12.851,-2.19669,-0.196133,-3.334261
12.922,-1.451384,0.039227,-5.177911
12.993,0.666852,-3.255808,-12.513286
13.064,-5.217138,-4.864099,-12.199473
13.135,-5.727084,-9.571291,1.96133
13.206,-6.393936,-3.608848,-9.100572
13.277,-0.902212,-2.235916,-4.903325
13.348,-4.079566,-1.019892,-3.020448
13.419,-3.726527,-0.23536,-4.314926
13.49,-4.197247,0.902212,-5.256365
13.561,-2.588956,-1.333704,-5.923217
13.632,-6.511616,2.157463,-7.923774
13.703,-8.708306,-1.96133,-9.414385
13.774,-0.862985,-7.570734,-4.628739
13.845,-7.060789,-2.19669,-7.766868
13.916,-4.118793,-1.647517,-3.334261
13.987,-2.824315,-1.137571,-3.295035
14.058,-2.432049,-0.039227,-2.588956
14.129,-2.706636,0,-5.491724
14.2,-1.176798,-2.353596,-11.336488
14.271,-2.039783,-7.335374,-10.434276
14.342,-6.315483,-7.021562,-1.137571
14.413,-5.805537,-0.353039,-8.66908
14.484,-2.19669,-1.765197,-5.88399
14.555,-4.471833,-0.431493,-3.648074
14.626,-3.569621,-0.509946,-3.648074
14.697,-3.216581,0.745305,-4.824872
14.768,-3.020448,-1.176798,-5.374045
14.839,-6.23703,3.138128,-10.27737
14.91,-7.492281,-0.706079,-10.669636
14.981,-2.941995,-8.512173,-2.432049
15.052,-7.609961,-2.588956,-7.531507
15.123,-3.883434,-2.745862,-1.216025
