NAME:,run_5_2.csv,,
EXPERIMENT TIME:,12/06/2023 22:40,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,140,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,2.35,-8.87,2.2
0.083,2.51,-8.67,2.24
0.166,2.28,-8.67,2.51
0.248,2.04,-8.47,2.43
0.33,2.43,-8.63,2.86
0.413,2.55,-8.32,4.08
0.495,1.61,-8.71,4.39
0.578,-2.35,-14.98,3.73
0.661,0.94,-9.38,-0.98
0.743,2.94,-7.06,-0.78
0.826,2.86,-14.51,2.98
0.908,0.2,-9.14,3.61
0.991,-1.88,-2.2,0.08
1.074,9.41,-8.87,8.04
1.156,3.18,-18.32,5.88
1.238,6.98,-12.16,-2.43
1.321,-0.71,1.02,-2.04
1.403,4.98,-1.77,0.63
1.485,7.49,1.61,17.34
1.567,8.79,-14.55,-0.2
1.649,2.2,-18.01,5.06
1.731,3.22,-4.28,0.24
1.815,-0.55,2.08,0.98
2.061,6.94,-2.94,-5.92
2.709,4.39,-20.01,9.3
2.791,8.39,-7.92,-3.14
2.873,2.08,5.81,-1.84
2.955,-0.71,-8.39,3.1
3.037,6.04,-13.42,-3.18
3.119,2.35,-12.87,4.67
3.201,3.45,-5.69,1.49
3.283,-0.67,1.69,-0.2
3.365,19.61,-4.63,11.73
3.448,-3.69,-20.01,4.55
3.53,6.59,-5.14,-4.28
3.613,4.51,1.37,0.35
3.695,-2.55,-4.75,-0.51
3.777,4.16,-20.01,-2.2
3.859,0.39,-10.87,7.06
3.941,2.47,-1.96,1.37
4.023,-1.45,2.2,-1.02
4.105,12.59,-4.82,17.3
4.188,-4.24,-19.93,1.69
4.27,6.35,-5.49,-3.33
4.353,3.57,3.14,-0.9
4.435,-3.96,-2.79,-2.04
4.517,3.49,-14.63,-1.06
4.599,8.32,-15.26,5.14
4.681,1.49,-0.39,-0.39
4.763,-0.35,0.63,0.94
4.846,6.51,-5.22,8.55
4.928,-4.31,-17.61,2.2
5.011,3.61,-5.06,-1.41
5.093,4.2,1.22,-0.98
5.175,-0.82,-2.39,-3.61
5.257,2.51,-20.01,-2.2
5.339,3.77,-15.89,3.57
5.421,0.59,-0.27,1.84
5.503,-0.24,2.9,1.02
5.585,3.45,-20.01,10.55
5.668,-6.04,-20.01,-0.39
5.751,-2.71,-1.96,-0.71
5.833,4.71,2.47,3.57
5.915,5.18,-0.08,12.12
5.997,-1.77,-20.01,-1.29
6.079,1.33,-17.06,6.94
6.161,0.78,0.31,2.2
6.243,1.77,3.18,0.63
6.325,0.27,-20.01,9.57
6.408,-2.71,-20.01,-1.96
6.491,4.31,-4.08,-2.63
6.573,3.3,-0.12,-0.39
6.655,7.41,-0.86,17.26
6.737,3.14,-19.97,-0.63
6.819,1.73,-14.24,2.63
6.901,-2.55,2.86,3.18
6.983,2.04,1.37,1.45
7.065,6.16,-20.01,13.26
7.148,2.9,-16,-1.33
