"NAME:","walk_3_1.csv","",""
"EXPERIMENT TIME:","08/06/2023 12:35","",""
"ACTIVITY TYPE:","Walking","",""
"COUNT OF ACTUAL STEPS: ","110","",""
"","","",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","6.43","8.39","1.96"
"0.07104492","5.84","4.59","-1.88"
"0.14196777","9.96","5.49","3.22"
"0.2130127","4.55","5.49","0.90"
"0.28405762","5.41","5.06","2.51"
"0.35498047","4.24","5.49","1.14"
"0.4260254","6.94","6.51","1.49"
"0.49694824","5.65","7.30","3.30"
"0.56799316","6.71","7.81","5.22"
"0.6390381","10.20","3.57","7.88"
"0.70996094","9.10","6.79","2.79"
"0.78100586","5.22","5.14","1.37"
"0.8520508","4.98","3.80","-0.31"
"0.92297363","4.67","4.00","-1.14"
"0.99401855","7.85","7.85","-0.75"
"1.0650635","9.45","11.26","-1.22"
"1.1359863","13.38","7.57","5.02"
"1.2070312","5.14","6.86","4.47"
"1.2779541","8.32","5.73","-0.35"
"1.348999","5.14","4.28","2.16"
"1.420044","4.04","4.24","1.73"
"1.4909668","4.63","5.53","1.73"
"1.5620117","6.79","8.39","4.35"
"1.6330566","9.41","8.16","3.80"
"1.7039795","7.26","3.14","7.96"
"1.7750244","8.71","6.98","3.26"
"1.8459473","5.22","4.98","2.90"
"1.9169922","4.31","2.79","-1.14"
"1.9880371","4.20","4.82","-0.16"
"2.05896","9.77","7.02","-2.16"
"2.130005","4.75","11.89","-2.47"
"2.2010498","5.88","-1.49","-2.47"
"2.2719727","8.47","4.16","2.67"
"2.3430176","5.33","4.28","1.88"
"2.4140625","5.81","4.28","4.08"
"2.4849854","4.12","5.22","1.88"
"2.5560303","6.16","7.18","2.86"
"2.6269531","6.63","6.83","3.06"
"2.697998","5.96","8.12","3.53"
"2.769043","12.79","3.18","7.41"
"2.8399658","7.85","7.18","4.63"
"2.9110107","4.63","4.47","1.96"
"3.6920166","4.51","8.51","3.45"
"3.7630615","9.69","5.69","5.10"
"3.8339844","10.36","3.06","3.53"
"3.9050293","6.12","7.49","4.51"
"3.9759521","6.12","3.88","1.02"
"4.046997","4.86","3.53","-0.94"
"4.118042","4.16","4.67","-1.33"
"4.188965","7.22","6.35","1.10"
"4.26001","5.61","10.32","-2.67"
"4.3310547","1.69","5.10","-0.24"
"4.4019775","10.79","4.63","-1.22"
"4.4730225","4.51","5.57","2.28"
"4.5439453","5.49","4.39","1.80"
"4.61499","3.30","5.02","0.63"
"4.686035","8.12","7.18","2.63"
"4.756958","3.57","9.69","2.71"
"4.828003","7.30","8.43","8.04"
"4.899048","10.08","3.92","1.84"
"4.9699707","4.51","6.63","3.61"
"5.0410156","5.65","2.63","0.04"
"5.1120605","4.47","3.92","-0.98"
"5.1829834","4.51","6.59","-1.10"
"5.2540283","8.47","7.22","0.00"
"5.324951","14.67","2.79","4.67"
"5.395996","1.88","5.53","9.02"
"5.467041","11.34","6.59","-0.86"
"5.537964","2.67","3.45","0.31"
"5.609009","4.28","5.18","0.94"
"5.6800537","3.77","5.88","1.18"
"5.7509766","7.02","6.59","2.67"
"5.8220215","6.59","8.67","2.51"
"5.8929443","6.71","5.77","7.92"
"5.9639893","11.85","7.88","2.00"
"6.035034","3.49","6.86","1.84"
"6.105957","4.82","3.06","-2.35"
"6.177002","3.84","4.82","-1.69"
"6.248047","5.57","6.90","-1.65"
"6.3189697","10.40","12.55","-2.75"
"6.3900146","13.18","5.10","2.04"
"6.4610596","5.57","5.41","4.82"
"6.5319824","10.55","6.59","0.75"
"6.6030273","3.65","4.20","1.53"
"6.67395","3.26","4.55","0.55"
"6.744995","6.28","5.61","1.96"
"6.81604","6.04","6.98","3.37"
"6.886963","8.55","8.63","3.88"
"6.958008","9.41","2.98","7.30"
"7.0290527","9.18","7.96","3.37"
"7.0999756","4.98","4.79","2.31"
"7.1710205","5.14","3.26","-0.20"
"7.2419434","4.08","4.63","-1.96"
"7.3129883","6.79","7.85","0.47"
"7.384033","9.57","12.79","-2.63"
"7.454956","17.22","10.51","2.39"
"7.526001","7.88","7.53","3.22"
"7.597046","7.53","5.14","1.41"
"7.6679688","5.61","3.88","2.20"
"7.7390137","2.71","5.10","0.75"
"7.8100586","6.39","6.00","1.88"
"7.8809814","6.00","7.88","3.30"
"7.9520264","6.28","8.87","4.35"
"8.022949","10.04","3.02","6.39"
"8.093994","7.30","7.02","3.22"
"8.165039","5.18","4.67","2.04"
"8.235962","4.51","3.10","-1.14"
"8.307007","3.80","5.18","-1.10"
"8.378052","7.22","7.65","-0.31"
"8.448975","6.12","12.12","-3.45"
"8.52002","0.78","3.02","0.16"
"8.590942","9.96","4.39","3.45"
