NAME:,run_5_2,,
EXPERIMENT TIME:,06/06/2023 12:33,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,159,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,1.02,-7.1,-5.77
0.067,0.9,-7.88,-2.67
0.134,1.26,-8.9,-6.43
0.201,1.06,-11.26,-6.83
0.268,1.18,-9.81,-6.2
0.335,1.69,-6.43,-5.1
0.402,3.45,-3.22,7.26
0.469,8.2,-13.53,0.75
0.536,1.1,-14.08,-3.57
0.603,-3.1,-16.59,-7.45
0.67,-2.43,-11.92,3.53
0.737,-0.59,-4.35,-0.55
0.804,0.63,-1.37,4.39
0.871,3.53,-9.18,5.73
0.938,3.8,-20.01,-15.22
1.005,1.65,-14.08,-8.04
1.072,-0.63,-2.9,-5.06
1.139,-5.26,0.78,2.43
1.206,1.8,-0.12,5.61
1.273,6.35,-20.01,-0.86
1.34,1.33,-20.01,-10.24
1.407,1.02,-12.12,-2.04
1.474,2.55,-5.49,-4.35
1.541,0.9,-2.08,5.06
1.608,-1.53,-0.59,5.33
1.675,5.37,-20.01,-15.02
1.742,0.2,-12.75,-12.08
1.809,1.77,-9.61,-3.53
1.876,-2.12,-2.39,1.18
1.943,1.45,3.06,6.83
2.01,7.73,-20.01,3.69
2.077,-8.9,-16.32,-16.95
2.144,0.16,-15.53,-8.87
2.211,-0.86,-8.36,-7.45
2.278,2.86,-2.59,2.94
2.345,-1.77,1.57,4.86
2.412,3.57,-13.96,-14.32
2.479,3.96,-20.01,-10.36
2.546,4.12,-13.45,-9.3
2.613,-1.18,-5.14,-3.61
2.68,-0.35,1.49,5.14
2.747,1.18,-2.59,-2.94
2.814,4.55,-20.01,8.08
2.881,3.14,-19.42,-9.49
2.948,-0.35,-12.08,-2.82
3.015,0.94,-8.67,-6.35
3.083,-0.55,1.41,6.63
3.15,1.18,0.9,-0.04
3.217,-5.26,-11.18,-14.71
3.284,4.71,-14.91,-9.45
3.351,-0.51,-11.57,-6.9
3.418,-2.35,-4.08,-3.65
3.485,0.71,2.51,5.84
3.552,9.18,-10.94,-3.96
3.619,-8.24,-17.14,-5.65
3.686,2.43,-19.1,-3.57
3.753,0.08,-13.3,-3.18
3.82,1.65,-5.84,-1.49
3.887,0.55,0.12,5.69
3.954,2.94,-0.55,3.1
4.021,5.14,-20.01,-4.98
4.088,3.02,-20.01,-9.85
4.155,-1.22,-4.24,-4.55
4.222,-2.31,0.86,1.14
4.289,2,4.04,8.9
4.356,8.55,-20.01,-9.65
4.423,1.41,-18.55,-7.26
4.49,-2.39,-14.75,-1.18
4.557,0.24,-3.77,-6.04
4.624,-0.35,0.63,7.88
4.691,-0.08,2.63,2.59
4.758,6.51,-20.01,-17.02
4.825,2.12,-18.28,-13.26
4.892,-0.08,-7.34,-4.31
4.959,-4.43,-0.47,1.02
5.026,3.18,1.37,12.67
5.093,3.84,-8.43,1.69
5.16,-6.2,-18.44,-4.94
5.227,-0.43,-17.22,-4.82
5.294,-0.59,-10.47,-6.47
5.361,4.04,-2.75,7.69
5.428,-2.43,2.75,4.47
5.495,5.14,-14.16,5.57
5.562,4.75,-20.01,-10.79
5.629,3.1,-12.2,-4.08
5.696,-0.82,-4,-2.9
5.763,-1.41,4.59,5.96
5.83,3.18,-3.57,12.47
5.897,-7.88,-17.77,4.75
5.964,1.77,-20.01,-6.94
6.031,-0.82,-11.02,-5.33
6.098,5.02,-3.1,2.47
6.165,-1.73,1.29,7.06
6.232,3.61,-10.98,4.16
6.299,2.31,-20.01,-13.1
6.366,2.12,-13.38,-5.57
6.433,1.41,-6.16,-4.98
6.5,-3.57,3.37,4.79
6.567,2.28,-4.47,12.63
6.634,-11.38,-18.75,8.59
6.701,4.39,-20.01,-4.82
6.768,0.35,-11.3,-0.63
6.835,3.45,-1.49,1.02
6.902,-0.47,1.57,6.08
6.969,0.35,-9.26,7.65
7.036,0.59,-20.01,-5.33
7.103,5.37,-14.2,-9.45
7.17,0.75,-5.73,-4.63
7.237,-4.04,2.24,3.22
7.304,0.9,1.02,9.65
7.371,15.77,-17.77,4.94
7.438,-3.73,-19.38,-4.9
7.505,-0.16,-14.12,1.45
7.572,2.71,-8.04,-6
7.639,-0.71,-1.69,7.06
7.706,-2.59,2.55,3.18
7.773,9.89,-13.26,3.45
7.84,6.59,-20.01,-11.02
7.907,0.31,-10.47,-3.41
7.974,-2.12,-4.71,-1.49
8.041,-0.27,1.41,5.77
8.108,5.06,4.08,3.57
8.175,-9.53,-17.02,2.98
8.242,5.37,-20.01,-2.75
8.309,0,-11.69,-5.73
8.376,2.35,-5.69,-1.18
8.443,-0.04,1.65,7.37
8.51,-0.75,0.12,0.2
8.577,6.67,-20.01,-13.69
8.644,2.9,-15.81,-7.06
8.711,-0.78,-7.92,-3.18
8.778,-2.16,-1.57,-0.47
8.845,1.61,2.51,6.94
8.912,13.85,-9.61,-14.2
8.979,-6.04,-12.2,-9.53
9.046,-1.61,-14.28,-4.12
9.113,-1.1,-10.28,-3.37
9.18,3.84,-2.55,5.96
9.247,-1.73,2.67,4.55
9.314,3.96,-14.79,-2.08
9.381,2.35,-20.01,-6.16
9.448,3.3,-13.69,-4.82
9.515,-2.86,-7.26,-3.57
9.582,-0.24,0.94,0.86
9.649,4.51,1.49,6.43
9.716,-4.35,-20.01,-5.92
9.783,3.49,-20.01,-3.53
9.85,-4.24,-14.91,0.35
9.917,0.75,-7.3,-1.57
9.984,0,1.96,7.85
10.051,0.75,0.47,1.69
10.118,2.2,-20.01,-2.12
10.185,3.26,-18.24,-4.98
10.252,1.26,-10.47,-2.39
10.319,-2.35,-0.78,0.2
10.386,2.08,2.94,8.47
10.453,3.96,-15.42,6.79
10.52,-4.04,-14.51,-9.22
10.587,-2.67,-19.53,-1.57
10.654,-1.18,-10.55,0.47
10.721,3.61,-6.55,5.49
10.788,-3.06,1.22,5.22
10.855,4.47,-15.22,-6.16
10.922,2.55,-20.01,-8
10.989,1.41,-11.57,-6.32
11.056,-0.82,-3.37,-4.71
11.123,-0.04,0.47,7.73
11.19,0.31,-5.73,8.9
11.257,-7.22,-16.36,3.69
11.324,4.28,-20.01,-3.18
11.391,0.12,-11.26,-3.1
11.458,2.28,-3.3,-4.51
11.525,-1.84,2.24,6.55
11.592,2.67,-14.16,14.79
11.659,5.84,-20.01,-5.84
11.726,-1.45,-14.47,-6.83
11.793,1.37,-10.4,-5.45
11.86,-1.49,2.24,2.51
11.927,1.49,4.16,9.85
11.994,10.55,-20.01,-6.98
12.061,-1.1,-18.99,-8.94
12.128,-3.14,-14.63,-3.77
12.195,0.24,-10.87,-3.1
12.262,2.79,-2.86,6.63
12.329,-1.49,3.88,0.67
12.396,3.26,-18.71,-9.34
12.463,4.24,-20.01,-7.41
12.53,1.37,-10.43,-2.04
12.597,-1.26,-4.31,-3.69
12.664,-0.67,0.27,9.1
12.731,1.37,0.47,0.86
12.798,-3.65,-12,8.87
12.865,-2.28,-20.01,-5.61
12.932,0.12,-7.18,2.08
12.999,5.14,-3.96,1.22
13.066,-1.45,-0.31,4.9
13.133,4.2,-8.9,10.59
13.2,2.86,-20.01,-1.73
13.267,3.02,-17.85,-6.67
13.334,1.49,-6.59,-5.49
