"NAME:","walk5.csv"
"EXPERIMENT TIME:","08/06/2023 10:56"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","102"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"15.5","4.43","3.06","-8.90"
"15.6","-3.18","4.90","-9.57"
"15.710001","-2.55","2.04","-15.26"
"15.809999","2.00","0.39","-10.75"
"15.91","5.02","3.26","-9.89"
"16.01","1.37","3.45","-5.30"
"16.11","2.16","5.06","-8.20"
"16.22","-2.51","5.22","-5.84"
"16.32","-3.10","6.39","-9.61"
"16.42",".37","5.57","-5.69"
"16.52","0.43","2.47","-10.55"
"16.62","-1.29","2.51","-7.77"
"16.73","4.75","2.04","-7.73"
"16.83","3.57","2.24","-9.53"
"16.93","6.35","5.41","-13.34"
"17.03","1.29","2.00","-13.61"
"17.130001","1.33","7.85","-7.45"
"17.24","-3.88","2.82","-6.98"
"17.34","0.78","4.67","-6.24"
"17.44","2.28","5.14","-5.73"
"17.54","5.57","11.65","-9.96"
"17.64","3.10","6.90","-9.26"
"17.75",".80","-0.24","-8.67"
"17.85","1.22","4.59","-8.00"
"17.95","4.39","2.79","-8.24"
"18.05","3.92","2.43","-8.55"
"18.15","3.88","4.79","-8.55"
"18.26","3.57","0.24","-14.12"
"18.36",".61","3.02","-9.02"
"18.460001","-5.69","2.55","-10.43"
"18.56","1.41","3.65","-5.57"
"18.66","3.33","4.59","-7.61"
"18.77","-2.16","4.94","-7.88"
"18.87","1.22","4.35","-13.30"
"18.97","1.29","4.98","-4.28"
"19.07","-0.90","5.65","-9.41"
"19.17","-0.67","3.06","-7.92"
"19.28","3.37","3.77","-8.24"
"19.380001","2.67","2.82","-8.94"
"19.48","-4.86","2.59","-13.61"
"19.58","0.20","2.75","-12.32"
"19.68","-2.51","5.92","-10.94"
"19.79","-2.94","2.43","-6.63"
"19.89","1.18","5.02","-7.18"
"19.99","1.96","7.96","-5.49"
"20.09","3.88","10.28","-11.89"
"20.19","0.04","3.92","-8.83"
"20.3",".31","4.51","-9.73"
"20.4","0.16","5.61","-7.81"
"20.5","4.35","3.18","-8.08"
"20.6","-3.84","3.26","-9.38"
"20.7","5.02","6.32","-13.14"
"20.81","1.14","2.63","-11.85"
"20.91","2.39","8.39","-11.30"
"21.01","2.08","2.59","-6.43"
"21.11","1.69","3.77","-6.71"
"21.21","-2.20","5.77","-6.24"
"21.32","5.10","16.20","-9.61"
"21.420002","0.55","5.30","-8.24"
"21.52",".31","1.02","-9.73"
"21.619999",".35","5.41","-7.10"
"21.720001","-4.04","1.84","-9.02"
"21.830002","-6.32","0.82","-8.43"
"21.93","5.22","6.51","-12.63"
"22.029999","0.39","4.28","-15.61"
"22.130001","-4.98","6.35","-11.26"
"22.23","0.90","2.24","-5.33"
"22.34","-1.14","4.24","-7.06"
"22.439999","5.22","4.79","-6.04"
"22.54","3.92","11.81","-9.38"
"22.64","0.82","3.92","-6.32"
"22.740002","2.39","3.37","-13.22"
"22.849998","1.88","3.61","-8.47"
"22.95","4.16","3.33","-7.77"
"23.05","3.84","4.08","-9.45"
"23.150002","3.73","3.14","-11.69"
"23.25",".39","-9.96","-14.91"
"23.36","4.75","3.53","-12.94"
"23.46",".02","6.79","-6.24"
"23.560001","0.24","3.33","-7.77"
"23.66","-3.49","6.35","-11.02"
"23.759998","2.24","6.67","-17.10"
"23.869999",".02","2.16","-5.49"
"23.970001","1.14","9.14","-7.53"
"24.07","4.24","9.18","-8.71"
"24.170002","5.73","1.53","-9.41"
"24.27","-4.98","5.96","-10.36"
"24.380001","2.12","-1.41","-14.08"
"24.48","-1.73","10.40","-2.00"
"24.580002","3.06","2.71","-9.73"
"24.68","0.75","4.94","-6.67"
"24.779999","-2.04","7.14","-5.49"
"24.89","-4.90","10.83","-10.83"
"24.990002",".39","7.77","-11.61"
"25.09",".94","1.41","-9.69"
"25.189999","-1.18","1.10","-6.16"
"25.29","-1.73","4.00","-7.22"
"25.400002","0.82","4.67","-9.65"
"25.5","-4.63","6.90","-11.34"
"25.599998",".04","2.94","-14.83"
"25.7","2.16","6.67","-10.24"
"25.8","1.26","3.77","-5.10"
"25.91","-1.18","6.00","-5.81"
"26.009998","2.59","6.28","-7.30"
"26.11","-6.71","8.43","-7.65"
"26.21",".27","4.24","-5.84"
"26.310001","-1.10","6.28","-10.55"
"26.420002",".59","1.84","-6.51"
"26.52","4.71","2.24","-8.83"
"26.619999","3.77","3.10","-9.89"
"26.720001","4.00","4.90","-10.20"
"26.82",".82","3.65","-10.67"
"26.93","3.49","3.06","-12.00"
"27.029999","0.78","2.67","-4.28"
"27.130001","2.16","5.10","-6.28"
"27.23","1.96","4.79","-10.47"
"27.330002",".92","-5.30","-15.97"
"27.439999",".08","1.41","-5.53"
"27.54","1.37","10.28","-7.85"
"27.64","-3.26","1.61","-6.63"
"27.740002","3.77","2.59","-8.87"
"27.84","4.90","5.37","-9.81"
"27.95","-0.71","2.08","-12.91"
"28.05",".33","4.94","-7.18"
"28.150002","5.18","1.96","-13.22"
"28.25","2.31","5.45","-6.00"
"28.349998","2.98","7.41","-7.53"
"28.46","-4.28","8.36","-12.16"
"28.560001","-0.51","7.57","-14.16"
"28.66",".65","-0.27","-10.20"
"28.759998","0.35","7.53","-7.53"
"28.86","-1.45","4.20","-7.18"
"28.970001","4.12","3.33","-8.63"
"29.07","3.77","4.35","-9.38"
"29.170002","2.43","0.82","-12.87"
"29.27",".77","5.96","-7.73"
"29.369999",".43","3.14","-15.38"
"29.48","0.35","2.31","-4.08"
"29.580002",".27","4.39","-8.51"
"29.68","1.80","5.49","-10.20"
"29.779999","4.94","8.55","-16.08"
"29.880001",".33","2.82","-4.24"
"29.990002","0.43","8.12","-8.98"
"30.09","0.27","3.14","-8.47"
"30.189999","5.81","5.26","-7.49"
"30.29","3.22","4.20","-8.16"
"30.39","1.10","7.69","-9.96"
"30.5",".98","0.67","-15.14"
"30.599998","2.59","9.77","-6.86"
"30.7","2.39","3.41","-7.22"
"30.8",".04","4.55","-6.67"
"30.900002",".39","5.69","-5.77"
"31.009998","2.79","11.77","-11.49"
"31.11",".31","6.79","-12.98"
"31.21",".65","2.63","-5.61"
"31.310001",".24","5.14","-8.94"
"31.41","0.39","1.80","-9.30"
"31.52","-1.41","2.75","-9.22"
"31.619999","2.39","6.79","-10.90"
"31.720001","0.16","3.49","-13.61"
"31.82",".69","4.90","-8.75"
"31.920002","5.33","-1.37","-13.96"
"32.03","0.75","5.45","-5.18"
"32.13","2.71","5.41","-8.08"
"32.23","2.31","5.02","-9.89"
"32.33",".26","5.53","-12.98"
"32.43","2.39","6.75","-4.94"
"32.54",".22","11.30","-10.16"
"32.64","0.51","2.24","-9.45"
"32.74","4.00","4.16","-7.85"
"32.84","-3.10","3.49","-8.47"
"32.94","-1.88","5.96","-13.61"
"33.05",".80","3.73","-8.32"
"33.15","-2.12","3.45","-11.65"
"33.25","0.04","4.47","-4.12"
"33.35","1.02","5.77","-6.00"
"33.45","1.22","5.57","-9.73"
"33.56","0.12","5.26","-14.67"
"33.66","2.59","5.88","-5.10"
"33.76","3.06","6.28","-3.26"
"33.86","-0.47","3.69","-6.71"
"33.96","3.53","3.77","-9.22"
"34.07","-4.71","6.90","-10.28"
"34.170002","2.08","-2.28","-15.53"
"34.27",".37","10.63","-5.49"
"34.37",".73","-9.61","-4.79"
"34.47","2.55","3.26","-7.49"
"34.58","-4.75","8.39","-7.65"
"34.68","-4.08","14.67","-6.16"
"34.78","1.53","5.88","-10.98"
"34.88",".24","-0.35","-9.14"
"34.98","-0.55","5.37","-7.41"
"35.09","2.86","2.86","-8.32"
"35.19","3.30","1.96","-8.75"
"35.29","4.82","5.73","-11.22"
"35.39","2.28","1.53","-14.20"
"35.49","0.04","7.14","-7.10"
"35.6","1.73","1.61","-8.79"
"35.7","1.41","4.79","-6.79"
"35.8","3.14","6.79","-6.12"
"35.9","5.73","11.49","-11.41"
"36.0",".35","9.34","-8.51"
"36.11",".06","-0.08","-9.30"
"36.21","-0.24","3.69","-7.26"
"36.31","-3.02","2.82","-8.71"
"36.41","-3.41","1.10","-10.16"
"36.51","4.98","6.39","-11.65"
"36.62","0.90","1.53","-16.04"
"36.72","1.57","8.16","-8.36"
"36.82","-1.33","2.00","-6.83"
"36.920002","0.78","2.86","-6.43"
"37.02","3.61","4.63","-6.16"
"37.13","6.04","11.26","-11.10"
"37.23","0.24","4.86","-5.49"
"37.33","2.51","5.41","-11.69"
"37.43","0.90","3.61","-7.45"
"37.53","3.10","2.35","-7.53"
"37.64","3.65","1.80","-10.47"
"37.74","6.83","6.55","-13.65"
"37.84",".37","2.28","-9.45"
"37.94","5.81","5.33","-13.10"
"38.04","0.20","4.24","-2.90"
"38.15","2.16","6.24","-6.59"
"38.25","3.02","5.22","-8.12"
"38.35","1.33","6.00","-14.98"
"38.45",".20","3.96","-4.35"
"38.55","1.49","13.45","-11.57"
"38.66","-2.82","7.22","-8.90"
"38.76","1.49","2.28","-8.83"
"38.86","3.14","4.86","-10.08"
"38.96","2.82","3.02","-12.36"
"39.06",".75","2.39","-8.28"
"39.170002","5.61","2.12","-12.79"
"39.27","0.35","3.33","-4.59"
"39.37","2.43","7.18","-8.51"
"39.47","-5.33","7.69","-9.22"
"39.57","-3.96","6.86","-16.71"
"39.68",".77","4.20","-3.30"
"39.78","-1.57","9.57","-8.87"
"39.88","1.18","3.10","-6.86"
"39.98","5.02","3.02","-8.47"
"40.08","3.84","5.45","-9.06"
"40.19","2.55","3.26","-15.06"
"40.29",".24","5.10","-6.86"
"40.39","-6.08","-0.04","-13.49"
"40.49","0.94","4.08","-5.22"
"40.59","2.98","6.04","-5.41"
"40.7","4.12","6.24","-10.71"
