NAME:,run1.csv,,
EXPERIMENT TIME:,08/06/2023 10:43,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,186,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0.87,3.06,3.92
0.11000061,0.14,2.86,3.69
0.20999908,0.41,2.75,3.57
0.3100052,0.38,2.47,3.53
0.41000366,0.38,2.43,3.37
0.51000214,0.49,2.35,2.79
0.6100006,0.08,1.96,2.75
0.7200012,9.53,2.12,3.8
0.8199997,0.45,2.59,3.41
0.91999817,0.1,1.84,3.3
1.0200043,9.18,2.59,3.61
1.1200027,9.06,2,3.1
1.2300034,0.4,1.06,1.61
1.3300018,9.85,-0.78,3.49
1.4300003,0.38,2.47,2.2
1.5299988,0.59,3.22,1.29
1.6399994,9.77,2.71,1.73
1.7400055,0.28,2.51,1.57
1.840004,9.38,2.04,1.61
1.9400024,8.71,2.67,2.79
2.040001,9.14,1.49,3.61
2.1399994,0.87,2.67,3.18
2.25,12.75,-1.26,5.1
2.3499985,0.87,-8.98,0.12
2.4500046,0.04,3.3,3.57
2.550003,10.79,4.63,7.41
2.6500015,12.28,6.98,12.32
2.7600021,0.98,1.8,4.82
2.8600006,-2.98,4.94,1.14
2.959999,0.1,14.4,5.37
3.0600052,0.22,6.71,3.45
3.1600037,-8.43,0,-7.02
3.2700043,18.24,-0.55,-1.45
3.3700027,16.51,2.98,18.32
3.4700012,0.24,2.35,4.98
3.5699997,0.14,0.9,-0.98
3.6699982,0.78,12.12,2
3.7799988,14.67,8.39,13.77
3.880005,0.9,4.43,-6.04
3.9800034,-1.53,1.45,2.86
4.080002,0.44,6.51,8.67
4.1800003,0.73,4.98,8.75
4.290001,0.78,2.43,-4.12
4.3899994,-2.28,5.69,0.59
4.4900055,0.01,10.83,19.53
4.590004,9.38,3.41,-2.75
4.6900024,7.57,-5.06,-3.26
4.800003,5.53,0.94,6.16
4.9000015,12.59,7.26,10.71
5,0.28,3.37,-0.78
5.0999985,1.61,3.92,1.84
5.2000046,0.01,13.42,14.63
5.310005,0.98,0.98,-3.45
5.4100037,2.39,0.16,-1.06
5.510002,10.83,13.85,8.51
5.6100006,14.28,6.12,2.71
5.720001,0.43,3.49,-1.65
5.8199997,2.63,3.92,1.41
5.919998,19.5,7.61,11.53
6.0200043,0.57,1.77,-0.51
6.1200027,0.16,1.65,-0.71
6.220001,0.87,10.79,5.57
6.330002,0.8,5.33,7.1
6.4300003,0.33,2.47,-4.43
6.529999,0.9,6.86,-0.63
6.630005,0.01,12.04,20.01
6.7300034,0.04,2.28,-5.3
6.840004,-2.55,-0.39,0.31
6.9400024,0.96,10.36,3.33
7.040001,0.71,8,12.75
7.1399994,0.04,0.98,-1.57
7.25,0.16,5.88,3.69
7.3499985,0.22,14.24,17.85
7.4500046,0.26,7.37,-0.78
7.550003,7.92,-3.33,0.27
7.6500015,13.85,3.18,7.18
7.75,6.98,-0.86,20.01
7.8600006,0.47,4.28,-2.43
7.959999,2.39,8.04,-6.12
8.060005,12.91,5.49,19.14
8.160004,-1.77,0.94,-0.2
8.260002,1.88,0.43,-1.18
8.370003,20.01,16.2,16.83
8.470001,0.88,0.9,15.18
8.57,4.47,2.39,-0.51
8.669998,-4.51,14.12,13.26
8.770004,0.69,5.92,19.26
8.880005,-1.92,-5.65,-8.55
8.980003,4.71,11.06,-9.81
9.080002,20.01,12.63,20.01
9.18,4.94,2.63,10.71
9.279999,7.3,10.12,-2.04
9.389999,5.41,19.93,13.61
9.4900055,18.51,4.9,7.57
9.590004,-5.61,-1.14,-8.55
9.690002,8.04,-1.14,8.94
9.790001,12.28,8.04,14.75
9.900002,0.18,3.02,0.39
10,0.37,8.55,1.73
10.099998,0.1,20.01,10.04
10.200005,0.92,9.26,2.79
10.300003,6.9,0.59,-8.71
10.410004,0.75,13.53,5.92
10.510002,5.1,2.51,9.85
10.610001,0.71,8.24,0.24
10.709999,-1.02,9.1,1.84
10.810005,6.04,4.35,19.77
10.919998,2.75,4.98,-3.22
11.020004,-0.12,-4.31,5.73
11.120003,20.01,20.01,13.65
11.220001,3.45,2.55,13.14
11.330002,0.06,3.73,-4.16
11.43,0.98,15.93,5.02
11.529999,0.57,2.67,20.01
11.630005,-1.02,-4.79,-3.41
11.730003,2.71,0.35,3.45
11.830002,0.63,20.01,16.4
11.940002,0.82,8.28,12.08
12.040001,0.37,-1.73,-0.47
12.139999,4.35,6.35,2.59
12.2400055,0.02,8.04,20.01
12.340004,0.08,7.3,-12.36
12.450005,0.06,1.65,3.84
12.550003,18.67,20.01,14.98
12.650002,0.3,6.43,15.85
12.75,-0.82,1.06,-0.47
12.860001,0.59,7.02,1.37
12.959999,13.14,20.01,7.65
13.060005,0.28,5.26,2.71
13.160004,0.04,-0.82,-1.8
13.261002,6.39,10.87,5.41
13.360001,0,6.83,15.89
13.470001,0.67,0.71,1.22
13.576004,0.39,8.28,-1.77
13.669998,0.55,20.01,20.01
13.770004,0.79,0.04,3.69
13.870003,0.65,-1.53,-6.98
13.980003,0.63,-3.02,-8.51
14.080002,13.18,20.01,5.3
14.18,6.43,3.1,4.28
14.279999,-5.57,2.98,5.57
14.389999,0.87,15.49,19.1
14.4900055,13.45,0.71,9.38
14.590004,9.38,-2.16,-5.45
14.690002,0.61,6.55,11.3
14.790001,0.9,3.26,16.59
14.889999,4.9,5.96,-1.33
15,0.82,3.41,0.55
15.099998,0.01,11.92,20.01
15.200005,0.36,0.67,0.55
15.300003,3.73,1.88,-1.02
15.400002,0.06,-0.04,17.46
15.510002,0.16,-2.35,11.61
15.610001,0.61,10.32,-4.94
15.709999,-6.98,5.14,2.04
15.810005,0.1,5.45,20.01
15.910004,0.1,1.53,-4.24
16.020004,0.67,0.39,1.33
16.120003,0.59,10.28,19.57
16.220001,0.18,0.59,12.32
16.32,0.04,1.29,-3.14
16.419998,0.08,4.79,3.1
16.529999,0.73,7.73,20.01
16.630005,0.43,2.12,-2.86
16.730003,0.69,-13.65,0.35
16.830002,0.98,7.88,7.81
16.93,0.12,-1.02,19.89
17.04,0.06,2.2,-0.86
17.14,0.75,5.45,-0.04
17.240005,0.53,11.49,20.01
17.340004,0.18,3.45,-2.43
17.440002,0.24,-2.08,-0.82
17.550003,0.45,1.06,14.63
17.650002,0.47,16.75,-6.35
17.75,0.28,5.49,-1.8
17.849998,0.24,8.36,1.73
17.950005,0.49,10,20.01
18.060005,0.53,5.37,-1.8
18.160004,1.73,-1.14,-5.41
18.260002,0.95,10.71,18.79
18.36,1.14,0.86,15.93
18.470001,0.29,4.55,-2.86
18.57,0.78,8.51,0.39
18.669998,0.69,3.8,20.01
18.770004,0.98,4.79,-0.55
18.870003,0.2,0.31,0.08
18.970001,0.85,12.43,17.22
19.080002,0.12,2.16,13.1
19.18,0.75,0.94,-4.28
19.279999,0.49,10.55,2.82
19.380005,0.34,7.22,20.01
19.480003,5.1,4.16,-3.14
19.590004,0.43,-4.98,2.31
19.690002,14.95,8.12,16.44
19.79,4.16,1.88,15.38
19.89,0.92,-1.1,1.14
20,0.12,8.63,2.24
20.099998,0.96,10.24,20.01
20.200005,0.43,4.63,-4.43
20.300003,0.71,-3.41,-2.94
20.400002,0.96,9.85,11.81
20.5,0.88,4.63,19.1
20.61,0.75,-2.31,0.27
20.71,0.79,5.77,0.35
20.810005,0.75,19.3,19.53
20.910004,6.67,6.35,3.96
21.010002,2.43,-0.31,-9.65
21.120003,0.51,8.94,4.75
21.220001,0.02,10,7.41
21.32,0.08,-10.51,-4.75
21.419998,0.55,8.47,0.94
21.520004,0.32,14.12,20.01
21.630005,10.55,2.2,6.9
21.730003,-5.37,-2.9,-8.87
21.830002,0.92,5.61,9.22
21.93,0.47,17.65,10.94
22.029999,0.39,4.59,7.45
22.14,1.96,2.2,-0.71
22.240005,3.06,17.85,8.32
22.340004,3.88,4.71,18.2
22.440002,3.3,-3.73,-11.41
22.54,0.31,2.2,0.43
22.650002,14.47,14.83,20.01
22.75,0.02,2.35,16.79
22.849998,2.2,-1.45,0.82
22.950005,0.59,7.34,-0.43
23.050003,0.9,10.63,20.01
23.160004,0.67,0.12,8.83
23.260002,10.04,-2.39,-8.08
23.36,2.16,-4.47,15.3
23.46,0.87,14.98,8.55
23.560005,0.3,2.55,6.16
23.669998,0.84,2.2,-2.63
23.770004,0.08,18.87,17.97
23.870003,1.29,15.06,13.18
23.970001,0.59,-5.84,-0.67
24.080002,0.73,5.65,3.02
24.18,0.01,20.01,14.16
24.279999,0.45,3.61,11.85
24.380005,0.88,0.31,-2
24.480003,0.06,14.08,0.35
24.580002,0.1,5.53,15.65
24.690002,0.98,-2.86,-0.71
24.79,0.65,1.14,2.47
24.89,0.67,14.04,6.94
24.990005,0.06,2.82,17.69
25.090004,3.53,1.33,1.06
25.200005,0.43,5.65,1.29
25.300003,0.65,17.5,8.04
25.400002,0.73,3.37,6.83
25.5,7.57,-1.41,-4.12
25.61,0.14,6.86,6.63
25.71,0.79,9.1,9.26
25.810005,0.02,4.12,3.37
25.910004,0.59,0.16,-0.2
26.010002,0.88,11.81,13.53
26.11,5.18,-1.73,16.63
26.220001,-4.04,-2.35,-2.9
26.32,3.65,0.63,0.86
26.419998,20.01,11.57,19.3
26.520004,5.06,1.53,12.43
26.620003,0.26,1.53,-2.12
26.730003,0.35,2.86,5.18
26.830002,0.01,5.22,20.01
26.93,5.96,1.22,1.45
27.029999,1.22,0.04,-1.14
27.14,0.45,13.1,2.67
27.240005,4.75,-0.63,20.01
27.340004,0.82,-2.31,-0.9
27.440002,1.77,5.53,1.02
27.54,0.44,6.98,20.01
27.64,10.2,1.61,6.79
27.75,-6.63,0.31,-5.1
27.849998,4.55,8.71,1.88
27.950005,0.14,7.3,16.36
28.050003,7.18,1.49,2.63
28.150002,3.18,4.86,-1.06
28.260002,10.9,14.55,10.98
28.36,11.1,0.43,11.89
28.46,0.31,-2.04,-6.32
28.560005,0.86,0.43,10
28.660004,0.01,14.44,11.34
28.770004,0.96,2.98,5.22
28.870003,0.12,2.82,-4.43
28.970001,0.94,9.53,10.28
29.07,0.08,-0.67,18.44
29.169998,0.43,3.33,-6.24
29.279999,0.59,1.06,2.24
29.380005,0.36,19.81,6.35
29.480003,0.61,-0.16,12.04
29.580002,0.73,5.02,-3.92
29.68,3.26,8.43,4.24
29.79,1.45,0.71,17.65
29.89,0.47,5.88,-3.14
29.990005,5.06,2.12,-3.8
30.090004,0.59,11.85,18.32
30.190002,2.59,5.77,1.06
30.300003,2,2.2,-3.41
30.400002,0.35,11.65,-0.47
30.5,6.83,6.79,20.01
30.599998,0.78,0.16,-0.47
30.700005,0.78,0.35,-1.57
30.810005,14.16,14.32,16.83
30.910004,5.06,-0.16,20.01
31.010002,-0.39,0.98,-4.98
31.11,0.88,15.65,0
31.220001,0.87,7.69,20.01
31.32,-3.22,1.57,-6.32
31.419998,0.79,0.08,-0.94
31.520004,13.14,12.67,11.45
31.620003,0.59,2.82,20.01
31.720001,0.16,0.08,-3.49
31.830002,0.63,6.75,0.98
31.93,0.77,12.2,20.01
32.03,0.63,3.33,4.08
32.08,4.16,-0.08,-8
32.230003,0.39,9.69,3.26
32.340004,0.16,10.24,15.18
32.440002,0.43,4.35,0.55
32.54,0.98,7.81,-0.04
32.64,0.14,15.97,12.87
32.75,5.65,4.28,6.24
32.85,4.79,2.31,-9.02
32.950005,0.2,7.49,1.73
33.050003,16.04,-6.63,18.51
33.15,0.69,-0.27,-1.26
33.25,3.45,4.24,3.06
33.36,0.96,8.08,20.01
33.46,0.79,4.55,6.04
33.560005,6.04,0.75,-3.57
33.660004,0.55,2.31,8.67
33.760002,0.39,7.85,13.38
33.870003,0.3,4.16,2.94
33.97,1.96,4.55,1.57
34.07,0.73,19.14,14.91
34.17,0.08,4.39,7.77
34.270004,4.47,1.29,-8.63
34.380005,0.26,13.81,5.53
34.480003,0.88,-5.57,20.01
34.58,0.63,-1.41,-2.98
34.68,0.71,2.55,4.2
34.78,0.49,18.04,20.01
34.89,0.61,4.08,0.98
34.990005,-2.16,-1.69,-2.63
35.090004,0,11.92,5.26
35.190002,0.63,8.16,17.22
35.29,0.2,4.79,0.63
35.4,0.33,5.41,1.37
35.5,0.3,19.57,18.95
35.6,10.43,4.79,12.55
35.700005,7.92,0.08,-3.37
35.800003,3.37,10.9,3.33
35.910004,9.49,19.93,13.06
36.010002,2.63,4.59,7.96
36.11,0.04,-3.06,1.69
36.21,0.04,15.34,0.51
36.310005,0.71,11.38,20.01
36.42,2.31,-0.16,-5.96
36.520004,1.53,0.67,0.04
36.620003,2.82,15.18,4.86
36.72,0.79,12.59,16.91
36.83,3.3,0.16,4.12
36.93,1.26,11.02,-1.65
37.03,0.04,-1.96,20.01
37.130005,0.04,1.26,6.12
37.230003,-4.94,2.31,-8.47
37.33,9.18,3.61,9.18
37.440002,0.28,-1.88,17.61
37.54,0.83,0.08,0.2
37.64,-0.9,3.88,1.77
37.740005,0.81,10.43,16.83
37.840004,0.73,-0.24,11.81
37.950005,3.45,2.12,-8.94
38.050003,9.45,4.55,6.35
38.15,0.92,4.35,15.85
38.25,0.55,3.92,4.59
38.36,0.51,2.08,-0.12
38.46,0.82,11.06,9.3
38.560005,0.24,0.59,18.51
38.660004,0.51,1.69,-6.51
38.760002,0.22,-0.24,5.3
38.86,0.01,11.77,18.95
38.97,4.67,2.24,6.12
39.07,0.51,1.41,-0.47
39.17,0.87,11.81,2.51
39.270004,0.41,2.24,20.01
39.370003,0.73,4.59,-6
39.480003,2.47,-1.37,4.79
39.58,0.01,8.16,19.93
39.68,2.86,1.84,13.96
39.78,0.82,2.04,-3.49
39.89,0.63,9.14,5.88
39.990005,0.94,2.63,20.01
40.090004,0.57,4.31,-3.14
40.190002,0.59,6.43,-7.34
40.29,0.49,9.06,14.16
40.39,0.57,0.12,19.06
40.5,0.28,0.08,-0.59
40.6,0.18,-0.16,-0.86
40.700005,10.87,12.24,15.89
40.800003,0.47,3.69,15.3
40.9,2.98,-0.04,-6.94
41.010002,0.06,2.24,5.41
41.11,0.51,7.26,13.3
41.21,0.96,3.37,3.73
41.310005,0.43,2.28,-1.45
41.410004,0.84,11.26,3.3
41.520004,0.96,2.82,18.12
41.620003,2.67,1.88,-10.24
41.72,0.96,-2.47,1.45
41.82,0.01,15.65,19.97
41.92,0.79,3.3,5.06
42.03,0.12,-0.08,-2.82
42.130005,0.04,6.12,3.14
42.230003,0.73,0.9,20.01
42.33,0,2.59,-0.55
42.43,2.55,-0.94,-3.22
42.54,0.45,7.18,3.3
42.64,12.51,4.98,20.01
42.740005,0.85,1.57,4.12
42.840004,0.59,3.65,-1.96
42.940002,0.73,19.85,19.3
43.050003,0.67,1.26,12.71
43.15,0.67,2.75,-6.79
43.25,0.9,-8.83,18.32
43.35,0.02,13.81,11.38
43.450005,15.49,5.69,10.59
43.560005,5.02,2.79,-4.39
43.660004,0.45,16.95,6.43
43.760002,0.04,2,16.75
43.86,0.75,3.92,-3.49
43.97,1.61,0.82,-0.08
44.07,0.79,11.81,16.59
44.17,0.53,3.41,10.47
44.270004,0.67,-0.98,-2.43
44.370003,0.9,10.59,0.86
44.47,0.77,4.82,20.01
44.58,0.94,4.98,-5.1
44.68,5.1,-2.47,2.51
44.78,0.1,9.89,5.1
44.880005,0.81,1.26,20.01
44.980003,0.33,2.04,-0.47
45.090004,0.94,4.94,3.3
45.190002,0.44,12.94,19.77
45.29,0.06,1.33,8.32
45.39,10.32,-2.2,-4.63
45.5,0.41,6.04,6.9
45.6,0.65,11.53,13.45
45.700005,0.81,1.61,1.57
45.800003,-0.2,3.41,-2.63
45.9,0.81,16.2,12.47
46,0.71,7.53,12.08
46.11,5.1,4.9,-4.2
46.21,0.55,-1.96,8.75
46.310005,0.01,9.18,17.14
46.410004,0.18,0.59,2.47
46.510002,0.67,3.92,-2.24
46.620003,0.92,14.28,4.63
46.72,0.57,1.22,20.01
46.82,0.94,2.67,-10.28
46.92,0.69,-3.41,6.59
47.020004,0.01,11.38,19.97
47.130005,0.37,4.04,6
47.230003,1.53,1.69,-4.31
47.33,0.2,17.57,0.47
47.43,0.77,2.51,18.91
47.53,0.35,0.59,-6.2
47.64,0.06,0.78,2
47.740005,0.99,13.1,9.77
47.840004,0.75,2.75,7.69
47.940002,0.33,-0.63,1.77
48.04,0.1,4.12,2.71
48.15,0.3,4.08,20.01
48.25,0.1,3.69,1.73
48.35,2.71,0.04,-3.3
48.450005,0.77,11.45,3.96
48.550003,0.96,-0.86,20.01
48.660004,0.51,2.43,2.79
48.760002,0.51,7.14,0.35
48.86,0.22,9.45,18.01
48.96,0.14,0.12,10.43
49.060005,-9.3,-6.35,1.57
49.17,0.75,6.9,6.08
49.270004,0.08,8.79,13.1
49.370003,0.41,4.82,4.24
49.47,4.43,2.9,-1.41
49.58,0.9,12.32,4.55
49.68,0.91,6.71,17.5
49.78,0.86,5.02,-4.94
49.880005,0.37,0.9,-2.75
49.980003,0.01,9.06,20.01
50.08,12.59,3.57,13.77
50.190002,1.57,-3.73,0.67
50.29,1.02,5.37,5.61
50.39,0.06,8.24,20.01
50.490005,0.33,3.18,2.31
50.590004,7.85,-5.06,-1.22
50.700005,0.08,13.69,5.1
50.800003,7.34,14.91,14.12
50.9,0.29,1.65,0.43
51,3.84,4.43,-2.24
51.11,0,13.81,18.08
51.21,0.24,-0.82,11.38
51.310005,9.02,-3.88,-3.26
51.410004,0.2,2.71,9.38
51.510002,0.84,10.04,15.1
51.61,0.71,1.49,0.98
51.72,0.27,3.84,0
51.82,0.77,19.5,15.53
51.92,0.24,3.73,12.67
52.020004,3.65,-2.51,-4.63
52.120003,0.45,1.41,0.86
52.230003,0.4,20.01,20.01
52.33,0.1,4.31,15.34
52.43,0.77,3.65,-4.39
52.53,0.37,7.41,5.45
52.64,0.81,3.14,20.01
52.740005,0.75,4.24,2.82
52.840004,3.26,-1.18,-2.98
52.940002,0.61,9.77,5.3
53.04,0.45,4.67,19.53
