"NAME:","run_4_1.csv"
"EXPERIMENT TIME:","05/06/2023 18:54"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","133"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-3.73","9.1","-3.3"
"0.10107422","-2.94","9.22","-3.02"
"0.2019043","-3.92","10.4","-2.16"
"0.30297852","-3.3","8.71","-2.47"
"0.40405273","-4.16","9.22","-2.35"
"0.5048828","-3.41","8.71","-1.69"
"0.60595703","-1.92","11.26","-2.82"
"0.70703125","-4.9","13.96","-2.79"
"0.8078613","-2.35","9.77","-6.39"
"0.90893555","-3.18","20.01","-5.53"
"1.0100098","-3.41","9.1","-3.92"
"1.111084","-3.61","-2.82","-0.82"
"1.2119141","2.35","5.49","0.55"
"1.3129883","-4.39","18.01","-1.45"
"1.4140625","-7.77","15.49","-3.88"
"1.5148926","-2.28","1.49","-4.04"
"1.6159668","2.12","-0.04","1.29"
"1.717041","-0.82","19.97","-12.2"
"1.8178711","-5.33","6.98","-4.24"
"1.9189453","-1.02","-2.43","-0.35"
"2.0200195","-0.27","7.61","-1.61"
"2.1208496","-5.73","17.14","-3.77"
"2.2219238","-2.79","10.4","-2.0"
"2.322998","-1.69","-0.9","0.59"
"2.4240723","1.73","11.06","-2.47"
"2.5249023","-2.59","20.01","-11.18"
"2.6259766","-5.45","5.77","-6.63"
"2.7270508","-1.49","-2.55","-0.39"
"2.8278809","6.04","8.39","-7.06"
"2.928955","-8.0","18.48","-4.43"
"3.0300293","-4.75","8.43","-2.59"
"3.1308594","2.08","-1.14","-0.59"
"3.2319336","4.67","11.26","-3.26"
"3.3330078","-12.36","20.01","-8.75"
"3.434082","-1.8","2.35","1.37"
"3.534912","8.32","-3.06","-3.18"
"3.6359863","-9.89","18.71","2.55"
"3.7370605","-9.92","14.75","-6.08"
"3.8378906","-3.1","6.24","1.22"
"3.9389648","3.33","3.14","0.31"
"4.040039","-7.1","20.01","-7.77"
"4.140869","-12.91","18.67","-6.24"
"4.2419434","0.94","0.55","2.12"
"4.3430176","-1.06","3.77","-3.02"
