"NAME:","walk_1_1.csv"
"EXPERIMENT TIME:","08/06/2023 09:15"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","123"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","0.16","-9.81","-4.08"
"0.105","0.35","-9.14","-3.96"
"0.207","0.55","-9.65","-4.24"
"0.285","0.82","-9.18","-3.69"
"0.387","1.29","-8.47","-3.49"
"0.494","0.43","-10.04","-3.41"
"0.594","-0.24","-10.2","-2.9"
"0.715","0.27","-10.0","-2.39"
"0.816","0.63","-10.2","-2.47"
"0.9","1.02","-10.4","-3.65"
"1.008","0.55","-10.12","-4.35"
"1.102","0.0","-9.57","-4.75"
"1.209","-0.04","-7.81","-4.28"
"1.315","-0.04","-7.65","-3.61"
"1.42","0.0","-7.77","-2.9"
"1.5","0.24","-11.02","-3.61"
"1.599","0.59","-12.51","-4.86"
"1.707","1.29","-11.61","-5.73"
"1.804","0.78","-8.08","-4.71"
"1.932","-0.27","-7.96","-3.02"
"2.409","-0.04","-8.87","-2.75"
"2.421","0.71","-9.02","-3.06"
"2.45","1.22","-11.06","-4.79"
"2.455","0.04","-11.49","-5.02"
"2.461","0.12","-8.08","-5.18"
"2.523","-0.55","-7.53","-2.75"
"2.626","0.35","-8.75","-3.57"
"2.727","0.31","-10.16","-2.82"
"2.812","1.29","-13.02","-6.0"
"2.935","1.18","-10.51","-5.3"
"3.036","0.35","-6.98","-3.02"
"3.13","-0.08","-6.94","-2.35"
"3.236","0.31","-8.43","-2.24"
"3.333","0.31","-11.96","-4.12"
"3.418","-0.59","-12.47","-4.24"
"3.586","-0.2","-8.39","-5.1"
"3.623","0.16","-6.9","-3.14"
"3.729","-0.08","-8.2","-2.35"
"3.835","0.9","-9.85","-3.26"
"3.936","0.08","-10.87","-3.14"
"4.04","0.94","-10.98","-4.9"
"4.138","0.16","-9.41","-3.96"
"4.24","0.2","-6.98","-3.33"
"4.339","-0.16","-8.08","-2.35"
"4.437","0.47","-11.34","-3.77"
"4.537","0.51","-11.3","-3.88"
"4.643","-0.27","-10.0","-5.41"
"4.744","-0.55","-6.71","-2.82"
"4.853","-0.04","-7.34","-2.82"
"4.933","-0.51","-9.1","-1.8"
"5.041","1.73","-13.77","-5.33"
"5.142","2.16","-11.49","-6.71"
"5.248","1.02","-7.81","-4.9"
"5.349","0.12","-5.77","-3.22"
"5.449","-0.43","-7.49","-1.77"
"5.555","0.35","-10.75","-3.57"
"5.655","1.06","-12.79","-5.26"
"5.758","-0.12","-9.45","-4.39"
"5.905","-0.47","-7.45","-2.47"
"5.969","0.35","-7.77","-2.94"
"6.05","0.51","-8.39","-3.45"
"6.226","0.78","-11.18","-3.33"
"6.259","2.82","-14.51","-5.69"
"6.354","0.59","-8.32","-3.61"
"6.459","0.12","-7.57","-3.02"
"6.562","0.47","-8.12","-2.39"
"6.662","0.35","-11.34","-3.33"
"6.759","0.59","-11.45","-3.65"
"6.861","0.51","-9.1","-4.04"
"6.964","-0.2","-8.87","-2.63"
"7.064","0.47","-7.37","-2.43"
"7.169","0.39","-9.1","-2.28"
"7.272","0.43","-11.41","-2.94"
"7.371","0.98","-9.96","-3.65"
"7.909","-0.35","-7.88","-2.59"
"7.917","-0.2","-7.06","-1.65"
"7.925","1.33","-9.57","-3.65"
"7.945","1.26","-11.22","-4.86"
"7.95","0.67","-12.67","-4.47"
"7.964","-0.08","-7.53","-2.71"
"8.068","0.24","-7.1","-2.0"
"8.167","1.22","-8.9","-3.45"
"8.268","0.43","-11.73","-3.45"
"8.38","1.65","-12.24","-4.71"
"8.489","-0.04","-11.81","-2.86"
"8.585","0.12","-6.83","-2.12"
"8.678","0.43","-7.49","-1.8"
"8.778","1.57","-10.43","-4.24"
"8.882","1.53","-11.77","-4.67"
"8.981","0.67","-8.59","-4.24"
"9.085","-0.04","-8.94","-2.39"
"9.186","0.55","-8.0","-2.39"
"9.286","1.49","-8.08","-2.71"
"9.392","1.26","-12.0","-3.49"
"9.488","1.49","-11.26","-4.28"
"9.587","0.2","-7.41","-2.28"
"9.69","0.12","-7.06","-1.77"
"9.793","1.29","-10.51","-3.84"
"9.885","1.18","-11.92","-4.35"
"9.986","0.59","-10.2","-5.41"
"10.088","1.41","-8.36","-4.86"
"10.2","0.27","-7.18","-2.2"
"10.295","0.51","-9.06","-2.55"
"10.393","0.31","-11.96","-3.14"
"10.489","1.65","-12.04","-5.33"
"10.59","1.02","-9.73","-4.28"
"10.696","0.75","-6.28","-2.28"
"10.794","0.71","-8.98","-2.79"
"10.891","-0.2","-11.57","-4.24"
"10.994","-0.67","-11.45","-2.51"
"11.101","0.27","-9.22","-3.61"
"11.206","0.43","-7.49","-2.43"
"11.31","0.75","-7.96","-2.79"
"11.438","0.86","-9.02","-2.75"
"11.512","0.98","-12.59","-3.84"
"11.617","0.0","-9.02","-3.02"
"11.717","0.16","-9.22","-2.75"
"11.821","0.47","-7.92","-2.79"
"11.901","0.24","-9.53","-2.51"
"12.005","0.9","-10.94","-4.31"
"12.115","0.67","-11.18","-4.16"
"12.225","0.51","-9.92","-3.84"
"12.306","0.08","-7.61","-2.24"
"12.417","0.86","-8.55","-2.94"
"12.519","1.29","-9.49","-3.14"
"12.621","1.8","-12.94","-4.08"
"12.724","0.63","-10.12","-3.26"
"12.814","0.47","-8.9","-3.14"
"12.918","0.43","-7.61","-2.28"
"13.408","0.82","-10.87","-2.94"
"13.418","2.55","-10.55","-4.43"
"13.438","-0.78","-10.08","-2.08"
"13.443","0.04","-7.73","-3.65"
"13.448","-0.08","-6.9","-1.49"
"13.526","1.96","-7.45","-2.86"
"13.628","1.06","-12.63","-4.24"
"13.731","2.0","-12.12","-6.12"
"13.835","0.47","-11.65","-4.51"
"13.936","0.2","-5.92","-2.51"
"14.093","-0.04","-7.85","-1.92"
"14.129","1.06","-8.87","-3.18"
"14.234","0.78","-13.81","-5.1"
"14.338","2.43","-12.43","-7.77"
"14.437","-0.35","-6.16","-2.51"
"14.54","0.0","-6.04","-1.92"
"14.64","1.45","-8.47","-3.26"
"14.742","1.37","-14.0","-4.35"
"14.845","2.24","-13.42","-6.79"
"14.944","0.86","-5.57","-3.77"
"15.042","0.16","-6.16","-2.47"
"15.141","2.2","-6.67","-3.26"
"15.24","0.67","-13.93","-3.06"
"15.37","1.29","-13.81","-6.08"
"15.44","0.2","-6.9","-4.39"
"15.538","0.08","-7.06","-2.71"
"15.64","0.67","-7.53","-3.26"
"15.772","0.12","-9.3","-2.67"
"15.847","1.65","-13.3","-5.53"
"15.95","1.8","-11.92","-5.06"
"16.058","0.55","-7.88","-3.18"
"16.157","0.75","-7.45","-3.06"
"16.248","0.98","-9.1","-2.67"
"16.366","1.69","-9.85","-3.8"
"16.462","0.75","-11.34","-6.24"
"16.56","0.12","-8.79","-5.65"
"16.663","-0.2","-6.67","-2.67"
"16.762","0.67","-8.28","-3.02"
"16.866","1.33","-10.24","-3.88"
"16.97","1.65","-13.14","-4.28"
"17.074","2.08","-8.9","-3.92"
"17.153","0.55","-6.79","-2.79"
"17.256","0.94","-7.26","-2.39"
"17.361","1.1","-10.12","-2.98"
"17.457","1.18","-11.96","-4.35"
"17.56","0.82","-12.59","-6.12"
"17.667","0.2","-7.65","-4.82"
"17.779","-0.16","-6.04","-2.28"
"17.864","0.24","-9.02","-2.04"
"17.964","2.16","-11.14","-3.96"
"18.062","2.16","-13.14","-4.75"
"18.184","0.75","-9.65","-3.41"
