,walk_5_1.csv,,
EXPERIMENT TIME:,05/06/2023 20:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,98,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
32.8,9.3,-7.53,-11.49
32.841,6.79,-4.31,-13.42
32.882,3.41,-5.81,-10.94
32.923,3.37,-5.57,-7.96
32.964,4.63,-5.33,-5.69
33.005,5.18,-3.33,-6.86
33.046,6.16,-3.92,-5.14
33.087,4.59,-2.55,-3.77
33.128,2.47,-1.33,-2.47
33.169,5.06,-3.33,-1.61
33.21,7.06,-5.69,-5.73
33.251,8.32,-8.08,-11.14
33.292,7.96,-10.47,-5.57
33.333,5.45,-9.14,-8.98
33.374,4.51,-8.43,-18.4
33.415,4.47,-6,-10.43
33.456,3.02,-1.61,-6.08
33.497,3.53,0,-5.14
33.538,1.88,-1.41,-6.79
33.579,7.81,-5.1,-5.02
33.62,7.22,-4.98,-6.71
33.661,5.02,-4.28,-5.06
33.702,5.61,-4.39,-4.12
33.743,7.22,-3.92,-4.28
33.784,6.63,-3.14,-4.82
33.825,6.67,-4.08,-5.77
33.866,10.4,-6.67,-5.22
33.907,9.65,-6.75,-9.3
33.948,7.1,-4.08,-14.55
33.989,5.18,-6.98,-13.42
34.005,3.18,-6.9,-9.65
34.112,5.41,-2.98,-6.08
34.153,5.26,-3.65,-4.2
34.296,5.65,-2.47,-5.61
34.522,3.92,-7.49,-14.87
34.563,3.3,-3.57,-8.98
34.604,3.57,-1.06,-6.47
34.645,2.75,-0.9,-3.18
34.686,3.92,-4.71,-6.51
34.727,5.84,-5.69,-8.36
34.768,5.1,-4.9,-5.3
34.809,5.33,-4,-5.41
34.85,6.32,-3.65,-4.08
34.891,7.3,-3.1,-4.59
34.932,6.67,-3.69,-5.96
34.973,8.98,-6.35,-5.37
35.014,9.65,-7.06,-6.12
35.055,8.71,-5.3,-10.79
35.096,7.69,-4.59,-13.81
35.137,5.53,-5.18,-12.75
35.178,2.04,-6.32,-8.67
35.219,2,-5.33,-5.73
35.26,4.51,-4.2,-5.26
35.301,4.86,-4.43,-5.41
35.342,6.9,-4.12,-5.84
35.383,3.49,-1.69,-4.39
35.424,3.3,-2.51,-1.57
35.465,5.41,-4.67,-2.63
35.506,6.63,-7.22,-8.63
35.547,9.1,-9.45,-8.55
35.588,7.65,-11.45,-4.94
35.629,5.18,-6.55,-13.96
35.67,4.79,-7.45,-14.63
35.711,4.04,-3.41,-8.98
35.752,4.63,-0.04,-6.32
35.793,1.8,-1.37,-4.47
35.834,5.41,-4.04,-7.06
35.875,7.1,-5.77,-8.59
35.916,5.84,-5.02,-5.37
35.957,5.22,-4.12,-4.04
35.998,4.82,-2.51,-3.33
36.039,6.39,-3.84,-4.67
36.08,8.63,-6.2,-6.28
36.121,10.79,-6.55,-5.26
36.162,8.43,-4.79,-6.51
36.203,7.96,-4.67,-11.45
36.244,5.22,-4.94,-14.79
36.285,4.16,-7.96,-11.14
36.326,4.59,-7.06,-7.61
36.367,5.92,-4.08,-7.14
36.408,5.73,-3.02,-5.14
36.449,4.98,-2.31,-4.82
36.49,3.14,-0.47,-4.16
36.531,2.47,-2.39,-2.04
36.572,4.86,-4.63,-2.24
36.613,7.18,-7.37,-7.3
36.654,6.47,-8.51,-10.51
36.695,9.61,-13.26,-3.18
36.736,6.71,-9.02,-8.79
36.777,6.04,-6.75,-16.48
36.818,3.57,-4.51,-10.04
36.859,3.3,-1.02,-6.71
36.9,2.24,-0.71,-3.41
36.941,2.79,-4.51,-6.59
36.982,6.75,-6,-7.61
37.023,5.45,-5.69,-5.69
37.064,4.94,-3.92,-5.49
37.105,6.35,-3.96,-4
37.146,6.98,-3.41,-4.28
37.187,7.3,-3.96,-5.22
37.228,8.24,-5.77,-6
37.269,8.67,-6.79,-4.71
37.31,8,-6.16,-10.98
37.351,6.63,-4.24,-14.91
37.392,4.86,-5.3,-13.14
37.433,6.2,-7.45,-10.08
37.474,5.14,-5.69,-7.69
37.515,5.14,-2.47,-5.73
37.556,4.24,-2.63,-3.65
37.597,5.06,-2.08,-4.39
37.638,3.18,-2.43,-4.35
37.679,1.77,-2.67,-3.1
37.72,5.02,-5.92,-3.69
37.761,5.73,-7.41,-7.3
37.802,5.96,-9.18,-10.51
37.843,8.94,-14.2,-4.98
37.884,5.18,-6.67,-12.51
37.925,7.26,-7.53,-13.69
37.966,3.02,-2.51,-9.06
38.007,3.57,-0.24,-7.49
38.048,2.94,-0.31,-4.12
38.089,6.2,-5.33,-5.45
38.13,5.73,-5.37,-8.79
38.171,4.28,-5.06,-5.81
38.212,4.35,-4.9,-5.14
38.253,5.69,-4.35,-4.63
38.294,6.86,-3.37,-4.31
38.335,6.75,-3.73,-5.33
38.376,8.75,-4.82,-7.1
38.417,10.9,-6.9,-4.71
38.458,8.36,-5.84,-10
38.499,7.37,-4.12,-13.06
38.54,5.22,-6,-14.4
38.581,4.16,-8.43,-9.92
38.622,4.47,-6.39,-7.06
38.663,5.18,-3.22,-6.47
38.704,5.1,-3.69,-4.63
38.745,5.22,-2.08,-4.98
38.786,3.92,-1.84,-3.57
38.827,2.43,-2.39,-3.1
38.868,4.82,-4.98,-3.45
38.909,5.73,-8,-7.22
38.95,5.3,-9.65,-9.69
38.991,7.06,-13.02,-4.24
39.032,6.28,-10.16,-8.79
39.073,7.06,-7.45,-16.83
39.114,3.88,-4,-9.57
39.155,4.12,-1.26,-7.1
39.196,2.82,-0.31,-5.22
39.237,2.08,-4.2,-3.92
39.278,8.83,-5.69,-5.45
39.319,5.69,-5.3,-5.88
39.36,5.22,-3.92,-4
39.401,5.57,-4.08,-3.88
39.442,6.51,-3.69,-3.61
39.483,6.32,-4.2,-4.79
39.524,6.35,-3.65,-7.41
39.565,10.75,-8.32,-4.79
39.739,8.79,-7.3,-9.73
40.016,4.31,-4.9,-2.75
40.057,6.35,-7.41,-7.34
40.098,5.77,-9.65,-11.3
40.139,9.22,-15.73,-5.57
40.18,5.02,-6.86,-15.97
40.221,3.33,-5.69,-13.69
40.262,3.73,-1.69,-6.75
40.303,4.59,0.16,-6.43
40.344,3.1,-2,-4.35
40.385,6.28,-4.35,-5.96
40.426,4.63,-4.28,-6.83
40.467,4.55,-4.98,-4.47
40.508,5.88,-5.96,-4.63
40.549,6.86,-4.79,-4.9
40.59,6.08,-3.1,-4.43
40.631,6.35,-3.18,-5.61
40.672,11.06,-6.47,-5.02
40.713,8.87,-7.22,-8.43
40.754,8.04,-4.94,-13.06
40.795,6.08,-4.43,-12.94
40.836,3.1,-6.12,-10.87
40.877,4.12,-7.41,-8.51
40.918,4.31,-6.16,-5.84
40.959,4.67,-2.12,-5.57
41,6.98,-4.08,-4.75
41.041,5.53,-2,-5.1
41.082,2.51,-1.45,-4.16
41.123,3.37,-3.02,-1.84
41.164,5.96,-6.24,-3.26
41.205,4.04,-7.18,-10.63
41.246,10.51,-15.18,-5.53
41.287,7.22,-11.02,-10.98
41.328,6.24,-5.73,-18.24
41.369,4.2,-4.04,-7.02
41.41,2.59,-1.33,-6.12
41.451,1.69,-1.84,-3.53
41.492,2.43,-4.55,-7.77
41.533,7.96,-6.39,-6.75
41.574,4.43,-5.37,-6.55
41.615,4.86,-4.94,-4.82
41.656,5.57,-3.69,-4.16
41.697,6.35,-3.22,-4.9
41.738,8.55,-4.59,-5.96
41.779,10.79,-5.3,-5.61
41.82,9.57,-6.35,-7.22
41.861,7.92,-5.14,-13.65
41.902,5.37,-5.1,-14.98
41.943,3.69,-8.59,-9.61
41.984,2.63,-6.08,-7.45
42.025,3.06,-2.75,-5.69
42.066,5.77,-3.73,-4.63
42.107,7.34,-3.33,-5.18
42.148,3.26,-0.39,-4.9
42.189,2.79,-2.08,-1.73
42.23,5.18,-4.79,-2.31
42.271,6.32,-6.94,-7.96
42.312,6.59,-9.57,-11.22
42.353,8.71,-13.93,-3.1
42.394,5.14,-8.04,-11.18
42.435,5.49,-6.51,-16
42.476,4,-2.79,-8.79
42.517,4.08,0.31,-7.3
42.558,2.24,-0.71,-4.59
42.599,5.41,-5.53,-4.79
42.64,6.35,-5.26,-9.1
42.681,5.14,-5.57,-6.12
42.722,5.1,-4.51,-4.67
42.763,6.24,-3.41,-4.43
42.804,7.73,-3.73,-4.24
42.845,7.41,-3.73,-5.49
42.886,9.61,-5.06,-5.1
42.927,10.55,-6.43,-7.37
42.968,9.69,-5.33,-11.92
43.009,4.75,-5.53,-14.28
43.05,2.51,-7.49,-10.28
43.091,3.06,-6.55,-6.63
43.132,5.84,-4.71,-7.96
43.173,6.28,-5.45,-4.82
43.214,6.83,-4.08,-5.3
43.255,4.28,-1.41,-3.37
43.296,3.53,-0.82,-1.41
43.337,4.35,-2.24,-1.37
43.378,6.47,-6.32,-5.61
43.419,6.2,-7.92,-11.38
43.46,9.73,-12.98,-5.69
43.501,5.69,-11.61,-6.47
43.542,7.73,-7.88,-17.46
43.583,3.77,-5.41,-10.04
43.624,2.86,-0.16,-7.65
43.665,3.06,-0.39,-3.61
43.706,1.33,-0.63,-6.71
43.747,6.63,-4.24,-7.14
43.788,5.77,-5.61,-7.1
43.829,4.75,-5.1,-4.9
43.87,6.71,-4.47,-5.73
43.911,6.71,-3.45,-4.28
43.952,6.71,-3.53,-4.24
43.993,6.71,-3.88,-6.51
44.034,9.77,-6.67,-4.82
44.075,8.51,-4.98,-9.22
44.116,9.69,-4.63,-11.22
44.157,8.16,-6.9,-12.91
44.198,2.39,-5.84,-12.28
44.239,1.88,-4.94,-7.69
44.28,4.08,-6.35,-5.96
44.321,4.71,-4.47,-6.24
44.362,6.63,-3.61,-6.59
44.403,4.9,-1.69,-4.51
44.444,3.69,-1.37,-2.31
44.485,4.24,-2.82,-2.24
44.526,5.41,-4.94,-4.59
44.567,6.04,-8.36,-9.69
44.608,7.26,-11.26,-6.86
44.649,6.55,-12.12,-5.84
44.69,5.96,-9.61,-12.08
44.731,3.41,-7.34,-15.69
44.772,3.96,-3.45,-8.55
44.813,3.61,-0.51,-7.34
44.854,3.65,-0.31,-6.47
44.895,4.63,-2.35,-3.37
44.936,7.06,-4.28,-6.9
44.977,4.82,-3.92,-6.08
45.018,4.2,-5.61,-5.53
45.059,4.98,-6.55,-4.79
45.202,5.96,-4.9,-5.37
45.337,10.79,-4.79,-6.47
45.469,7.34,-5.69,-6.12
45.51,5.45,-2.82,-7.1
45.551,2.98,-2.04,-4.47
45.592,3.18,-3.77,-1.69
45.633,4.31,-4.59,-1.65
45.674,7.53,-6.63,-4.71
45.715,11.22,-8.79,-8.63
45.756,8.04,-9.57,-6.98
45.797,8.08,-9.85,-9.22
45.838,1.8,-6.47,-13.61
45.879,2.51,-3.84,-7.69
45.92,3.57,-1.96,-6.47
45.961,2.47,-1.88,-5.77
46.002,4.9,-4.9,-6.59
46.043,5.88,-5.65,-7.61
46.084,4.94,-4.75,-6.12
46.125,4.98,-2.98,-5.26
46.166,6.86,-3.45,-4.67
46.207,8.28,-3.88,-4.94
46.248,7.92,-4.12,-6.71
46.289,9.61,-5.69,-5.45
46.33,9.18,-6.35,-7.88
46.371,9.1,-6.39,-12.79
46.412,6.28,-5.33,-12.2
46.453,2.24,-4.71,-8.16
46.494,2.31,-4.39,-7.18
46.535,3.92,-5.41,-7.18
46.576,5.26,-4.86,-7.02
46.617,6.71,-3.73,-5.49
46.658,3.22,-1.8,-4.2
46.699,3.65,-2.67,-2.28
46.74,5.26,-4.67,-2.98
46.781,7.77,-6.63,-5.96
46.822,8.2,-8.79,-9.49
46.863,7.85,-11.41,-5.02
46.904,5.73,-8.04,-12.94
46.945,0.82,-6.2,-13.26
46.986,3.53,-3.26,-7.22
47.027,4.12,-0.94,-6
47.068,2.75,-1.61,-5.96
47.109,5.33,-3.65,-7.1
47.15,6.08,-4.98,-8.04
47.191,5.3,-4.71,-6.12
47.232,5.06,-3.92,-5.45
47.273,6.43,-3.3,-5.06
47.314,7.34,-3.84,-5.02
47.355,7.69,-4.79,-6.35
47.396,8.63,-5.92,-6.98
47.437,9.81,-7.96,-4.98
47.478,7.22,-5.49,-11.02
47.519,6.16,-2.39,-13.06
47.56,4.51,-4.2,-10.67
47.601,5.84,-6.16,-8.32
47.642,4.16,-5.06,-6.9
47.683,4.98,-3.14,-6.04
47.724,6.63,-5.06,-4.94
47.765,3.88,-2.86,-5.92
47.806,1.92,-2.2,-3.73
47.847,2.28,-3.77,-1.41
47.888,5.14,-6.39,-3.92
47.929,8.43,-7.1,-10.12
47.97,9.65,-9.61,-5.1
48.011,7.92,-8.04,-5.22
48.052,4.9,-7.02,-13.26
48.093,0.39,-6.63,-14.4
48.134,3.02,-4.71,-7.61
48.175,4.24,-0.98,-6.28
48.216,1.61,-3.41,-4.98
48.257,4,-3.14,-8.87
48.298,6.67,-5.53,-6.94
48.339,6.98,-4.51,-5.53
48.38,6.04,-2.63,-5.81
48.421,5.69,-1.96,-3.73
48.462,7.14,-4.39,-5.77
48.503,9.1,-7.06,-6.75
48.544,8.83,-7.18,-6.04
48.585,7.69,-5.41,-10.12
48.626,7.14,-4.39,-12.79
48.667,5.3,-5.18,-12.94
48.708,4,-5.53,-9.14
48.749,4.28,-5.26,-6.59
48.79,4.9,-3.41,-7.14
48.831,5.92,-4.31,-5.14
48.872,5.02,-2.75,-5.77
48.913,3.02,-2.08,-4.43
48.954,2.51,-2.94,-3.02
48.995,5.1,-6.04,-3.61
49.036,6.94,-6.67,-7.41
49.077,9.53,-8.9,-7.41
49.118,9.02,-9.53,-4.2
49.159,6.55,-7.69,-9.73
49.2,2.79,-6.71,-14.24
49.241,2.79,-5.3,-7.85
49.282,3.3,-1.14,-6.55
49.323,3.84,-1.65,-7.14
49.364,5.06,-5.26,-6
49.405,6.16,-5.02,-8.67
49.446,4.67,-4.12,-5.65
49.487,4.47,-3.45,-5.41
49.528,6.98,-3.88,-4.63
49.569,7.92,-3.77,-4.9
49.61,7.06,-3.77,-5.37
49.651,7.26,-4.67,-6.28
49.692,9.14,-6.94,-5.53
49.733,8.67,-7.34,-7.45
49.774,7.61,-4.47,-12.67
49.815,5.84,-4.55,-13.1
49.856,4.86,-6.63,-9.89
49.897,3.84,-4.94,-7.73
49.938,3.96,-3.69,-5.84
49.979,4.39,-3.8,-6.04
50.02,5.92,-3.84,-4.98
50.061,3.8,-2.67,-3.73
50.102,2.55,-2.35,-2.55
50.143,4.39,-3.8,-3.22
50.184,7.1,-6.55,-5.57
50.225,7.34,-7.61,-9.89
50.266,7.57,-12.16,-6.04
50.307,5.3,-9.57,-9.77
50.348,2.2,-6.35,-14.36
50.389,3.84,-5.73,-9.69
50.43,3.06,-1.41,-7.45
50.471,4.79,-0.67,-8.12
50.512,5.22,-4.86,-1.1
50.704,6.79,-4.16,-8.24
50.882,4.04,-4.55,-4.2
50.963,7.26,-5.53,-14.79
51.004,7.02,-8.28,-12.83
51.045,1.96,-6.04,-7.61
51.086,4.28,-6.08,-5.14
51.127,4.59,-4.24,-8.28
51.168,5.61,-6.47,-5.77
51.209,4.82,-3.06,-6.47
51.25,3.06,-1.53,-5.41
51.291,2.51,-2.12,-4.35
51.332,2.86,-4.55,-4.63
51.373,4.86,-6.43,-4.82
51.414,5.65,-6.35,-7.65
51.455,8,-8.98,-8.08
51.496,8.12,-10.98,-5.22
51.537,5.53,-8.28,-7.65
51.578,4.59,-7.1,-16.67
51.619,2.08,-4.86,-10.59
51.66,3.84,-1.92,-6.83
51.701,4,-1.57,-4.08
51.742,1.88,-4.35,-5.1
51.783,3.92,-4.04,-9.96
51.824,6.47,-6.51,-5.02
51.865,5.18,-4.59,-6.43
51.906,5.53,-2.86,-5.14
51.947,6.04,-2.43,-4.2
51.988,7.45,-3.53,-5.73
52.029,10.08,-5.49,-6.59
52.07,10.71,-6.39,-5.84
52.111,8.59,-5.41,-11.06
52.152,5.88,-4.71,-13.57
52.193,4,-6.43,-12.28
52.234,2.51,-6.79,-9.26
52.275,3.02,-6.2,-6.86
52.316,4.55,-4.82,-5.3
52.357,5.37,-3.88,-4.86
52.398,5.69,-2.43,-5.53
52.439,3.37,-2.08,-4.12
52.48,3.02,-3.1,-2.39
52.521,5.3,-4.94,-3.3
52.562,7.41,-6.63,-6.67
52.603,8.04,-9.02,-8.67
52.644,8.36,-11.57,-5.37
52.685,5.61,-7.53,-13.45
52.726,0.47,-6.28,-13.61
52.767,3.26,-5.18,-7.49
52.808,3.49,-0.98,-6.16
52.849,3.06,-0.75,-6.47
52.89,4.86,-4.94,-5.57
52.931,7.34,-5.22,-7.34
52.972,5.14,-4.43,-6.51
53.013,4.98,-4.16,-4.98
53.054,5.96,-3.73,-4.16
53.095,7.61,-3.73,-5.1
53.136,7.14,-4.31,-6.71
53.177,7.61,-4.98,-5.57
53.218,9.34,-6.28,-5.65
53.259,10.43,-7.34,-10.04
53.3,8.67,-5.45,-12.91
53.341,3.88,-3.14,-12.79
53.382,2.82,-5.81,-8.55
53.423,4.71,-7.18,-6.12
53.464,4.59,-4.28,-7.61
53.505,5.02,-3.49,-4.59
53.546,4.9,-2.47,-4.67
53.587,3.49,-1.49,-3.77
53.628,4,-2.71,-1.88
53.669,5.33,-5.41,-4.12
53.71,8.55,-7.96,-8.28
53.751,7.73,-9.81,-9.3
53.792,6.75,-11.49,-4.31
53.833,3.49,-7.14,-11.22
53.874,4.08,-6.12,-15.73
53.915,4.47,-3.33,-8.94
53.956,4.51,-0.75,-6.32
53.997,2.63,-0.51,-4.12
54.038,3.88,-3.65,-5.81
54.079,7.22,-5.06,-7.69
54.12,5.96,-5.61,-6.55
54.161,5.33,-4.51,-4.67
54.202,5.65,-3.02,-4.51
54.243,6.47,-3.69,-3.88
54.284,6.79,-4.51,-6.04
54.325,8.75,-6.47,-6.51
54.366,8.83,-7.45,-6.75
54.407,8.12,-6.51,-11.26
54.448,5.73,-4.04,-14.24
54.489,4.28,-5.65,-8.75
54.53,4.24,-5.1,-7.37
54.571,5.57,-4.67,-6.2
54.612,6.04,-3.37,-6.83
54.653,6,-3.45,-6.32
54.694,2.39,-2.98,-5.02
54.735,1.29,-3.57,-2.16
54.776,2.75,-4.9,-2.63
54.817,5.14,-6.55,-5.14
54.858,8.83,-7.02,-8.16
54.899,11.1,-7.96,-5.73
54.94,9.22,-8.2,-9.96
54.981,1.1,-7.1,-15.3
55.022,1.49,-5.81,-8.59
55.063,3.18,-4.59,-5.06
55.104,3.77,-1.77,-5.92
55.145,2.04,-3.41,-7.96
55.186,5.92,-5.65,-6.9
55.227,5.73,-4.31,-6.71
55.268,4.63,-3.33,-6.43
55.309,6.16,-3.73,-5.53
55.35,7.77,-4.28,-4.24
55.391,5.88,-2.98,-4.86
55.432,5.45,-4.31,-6.2
55.473,9.3,-9.34,-6.59
55.514,9.77,-7.3,-10.2
55.555,8.83,-4.63,-10.2
55.596,5.22,-3.06,-14.47
55.637,2.63,-4.79,-9.96
55.678,4.28,-5.22,-7.22
55.719,4.31,-4.55,-6.83
55.76,4.24,-3.61,-6.35
55.801,5.61,-4.16,-4.9
55.842,3.61,-2.71,-4.63
55.883,3.1,-2.94,-3.3
55.924,4.35,-4.59,-2.51
55.965,6.24,-6.63,-5.26
56.006,6.67,-7.61,-8.59
56.047,10.08,-10.28,-4
56.119,6.67,-7.96,-6.51
56.396,0.63,-6.08,-12.32
56.457,5.84,-2.67,-5.45
56.498,6.51,-3.18,-3.84
56.539,6.98,-4.04,-5.33
56.58,5.84,-4.9,-6.08
56.621,8.55,-7.37,-6.32
56.662,9.45,-8.16,-9.18
56.703,8.98,-5.26,-11.41
56.744,5.3,-3.61,-13.18
56.785,3.26,-5.1,-8.79
56.826,4.55,-6.2,-7.22
56.867,5.53,-4.94,-7.06
56.908,4.9,-3.18,-6.51
56.949,6.16,-3.73,-5.41
56.99,4.16,-2.43,-4.98
57.031,2.31,-2.79,-2.9
57.072,3.49,-4.82,-2.59
57.113,6.24,-7.41,-6.2
57.154,7.1,-7.18,-8.63
57.195,8.75,-9.14,-4.16
57.236,7.53,-8.55,-6.86
57.277,3.88,-7.26,-16.44
57.318,3.53,-7.02,-9.26
57.359,2.59,-3.02,-7.14
57.4,3.92,-0.35,-6.71
57.441,2.31,-2.82,-6.79
57.482,6.35,-5.37,-5.49
57.523,6.39,-5.57,-7.73
57.564,4.16,-3.88,-5.41
57.605,4.98,-3.06,-4.86
57.646,6.98,-3.84,-4.82
57.687,8.67,-4.47,-5.18
57.728,7.49,-3.84,-6.24
57.769,7.3,-3.84,-5.88
57.81,10.12,-8.59,-7.22
57.851,7.22,-5.81,-13.93
57.892,5.96,-4.08,-12.75
57.933,2.51,-5.26,-10.04
57.974,2.24,-5.41,-9.65
58.015,4.82,-6.04,-6.51
58.056,5.81,-3.73,-6.28
58.097,5.53,-3.57,-6.08
58.138,5.22,-2.35,-5.06
58.179,2.79,-2.16,-3.37
58.22,2.2,-2.75,-2.2
58.261,5.22,-6,-3.33
58.302,7.18,-7.92,-7.65
58.343,8.24,-9.65,-7.57
58.384,9.61,-10.87,-7.18
58.425,5.96,-6.94,-14.32
58.466,0.9,-5.26,-11.45
58.507,2.75,-3.96,-6.24
58.548,3.49,-0.59,-6.28
58.589,2.71,-2.63,-6.86
58.63,6.9,-4.71,-6.86
58.671,6.24,-5.14,-8.71
58.712,4.59,-4.47,-5.53
58.753,4.31,-3.84,-5.65
58.794,5.81,-3.77,-4.82
58.835,6.75,-3.57,-4.67
58.876,6.2,-4.47,-5.81
58.917,7.73,-5.65,-7.45
58.958,9.77,-8.43,-6.63
58.999,7.85,-6.43,-12.16
59.04,7.34,-3.84,-13.1
59.081,4.63,-4.31,-12.67
59.122,2.82,-5.57,-9.45
59.163,3.92,-5.69,-6.24
59.204,4.9,-4.28,-7.02
59.245,5.22,-4.12,-5.88
59.286,5.77,-2.71,-5.33
59.327,4.28,-1.92,-3.61
59.368,3.84,-1.92,-2.39
59.409,5.18,-4.12,-3.14
59.45,6.35,-6.71,-5.02
59.491,5.1,-7.81,-9.53
59.532,6.24,-10.51,-6.35
59.573,5.65,-12.16,-6.12
59.614,6.24,-7.37,-17.77
59.655,0.86,-5.96,-13.18
59.696,3.88,-2.94,-8.47
59.737,4.31,0.16,-6.83
59.778,2.39,-0.86,-3.37
59.819,2.28,-4.35,-6.51
59.86,6.63,-5.69,-8.08
59.901,5.65,-6.32,-7.26
59.942,4.82,-4.04,-6.55
59.983,5.41,-3.02,-4.94
60.024,6.79,-2.71,-4.51
60.065,7.69,-2.9,-5.14
60.106,7.41,-3.88,-6.35
60.147,7.77,-6.32,-6.12
60.188,7.57,-7.06,-8.24
60.229,8.36,-5.96,-12.63
60.27,6.59,-5.06,-14.08
60.311,3.84,-5.22,-11.57
60.352,3.88,-5.33,-7.26
60.393,4.2,-5.02,-6.94
60.434,4.82,-2.9,-6.94
60.475,5.26,-3.84,-5.88
60.516,4.71,-2.94,-6.24
60.557,3.14,-2.71,-4.98
60.598,4.04,-4.59,-4.28
60.639,6.55,-6.2,-5.65
60.68,5.33,-3.8,-5.81
60.721,5.57,-3.22,-5.26
60.762,5.96,-5.77,-11.85
60.803,7.73,-5.45,-17.77
60.844,3.53,-5.69,-8.04
60.885,2.2,-3.22,-3.37
60.926,3.06,-2.79,-10.08
60.967,5.1,-2.82,-12.12
61.008,10.71,-9.65,0.39
61.049,4.94,-3.77,-9.38
61.09,3.84,-2.08,-9.14
61.131,4.79,-4.35,-7.37
61.172,6.51,-6.59,-7.65
61.213,4.82,-5.02,-7.92
61.254,5.53,-5.96,-7.49
61.295,5.37,-5.26,-7.26
61.336,5.45,-4.59,-6.43
61.377,6.24,-4.67,-6.12
61.418,6.35,-5.22,-7.06
61.459,5.14,-5.69,-6.63
61.5,4.9,-5.96,-6.71
61.541,4.98,-6,-6.43
61.582,5.41,-5.73,-6.24
61.666,5.73,-5.53,-6.24
61.951,5.81,-6.12,-6.16
61.992,5.88,-5.53,-5.84
62.033,6.32,-5.65,-5.53
62.074,5.84,-6.24,-5.92
62.115,5.53,-5.88,-5.84
