,walk_5_1.csv,,
EXPERIMENT TIME:,05/06/2023 20:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,98,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
7.749,7.02,-4.75,-3.69
7.79,4.51,-2.28,-4.28
7.831,4.04,-0.31,-1.02
7.872,6,-1.49,-0.04
7.913,7.96,-3.92,-2.2
7.954,8.9,-7.73,-9.26
7.995,6.75,-10.71,-9.65
8.036,9.06,-12.4,-16.75
8.077,2.12,-7.49,-10.75
8.118,1.33,-3.26,-4.71
8.159,2.39,0.43,-4.16
8.2,2.63,-1.49,-2.71
8.241,3.77,-2.86,-8.43
8.282,11.38,-5.73,-3.61
8.323,5.61,-3.61,-6.12
8.364,6,-3.1,-4.51
8.405,6.51,-3.69,-3.57
8.446,5.69,-3.8,-5.37
8.487,9.18,-5.49,-6.12
8.528,11.65,-6.16,-8.16
8.569,11.57,-5.69,-12.55
8.61,6.86,-5.73,-15.18
8.651,3.06,-5.53,-8.79
8.692,1.41,-3.53,-5.69
8.733,2.67,-4.35,-4.82
8.774,5.49,-6.28,-4.94
8.815,8.32,-4.08,-4.94
8.856,4.31,-1.37,-4.35
8.897,3.14,-1.29,-2.47
8.938,5.06,-3.41,-1.06
8.979,6.83,-4.55,-4.98
9.02,13.22,-10.98,-9.96
9.061,10.47,-13.49,-8.39
9.102,5.49,-8,-18.44
9.143,3.88,-5.61,-8.51
9.184,2.2,-1.92,-5.1
9.225,2.51,-0.27,-4.55
9.266,1.22,0.67,-7.88
9.307,6.16,-4.82,-6.35
9.348,8,-5.02,-7.34
9.389,5.22,-3.1,-5.1
9.43,6,-2.35,-3.96
9.471,7.45,-3.18,-4.59
9.512,8.39,-3.92,-5.81
9.553,9.92,-6.08,-5.96
9.594,8.98,-7.34,-6.79
9.635,8.51,-5.65,-17.26
9.676,4.79,-4.71,-13.06
9.717,6.51,-7.96,-8.2
9.758,2.98,-3.84,-7.57
9.799,5.14,-2.12,-5.73
9.84,4.79,-2.98,-3.3
9.881,4.63,-2.35,-4.16
9.922,1.69,-1.84,-3.37
9.963,4.35,-4.24,-1.29
10.004,6.35,-6.32,-5.41
10.045,6.67,-7.34,-8.08
10.086,11.1,-10.94,-5.49
10.127,8.04,-9.06,-7.02
10.168,6.24,-7.81,-18.67
10.209,3.06,-5.84,-10.9
10.25,3.02,-1.49,-6.12
10.291,3.57,-1.33,-4.75
10.332,1.29,-4.71,-4.63
10.373,5.49,-4.59,-7.81
10.414,5.77,-4.47,-5.65
10.455,4.39,-3.92,-5.1
10.496,6.47,-3.65,-4.59
10.537,7.49,-3.26,-4.63
10.578,7.1,-3.57,-5.37
10.619,9.81,-5.3,-6.39
10.66,10.94,-5.96,-6.94
10.701,10.08,-4.82,-13.1
10.742,5.88,-5.26,-16.79
10.783,4.47,-7.61,-10.36
10.824,2.63,-4.98,-6.75
10.865,3.18,-3.96,-5.61
10.906,3.57,-3.49,-5.33
10.947,7.18,-4.47,-4.04
10.988,4.04,-2.31,-4.24
11.029,3.53,-2.2,-2.67
11.07,5.57,-5.22,-2.94
11.111,6.16,-6.32,-7.06
11.152,10.67,-10.16,-7.41
11.193,8.43,-10.87,-4.2
11.234,4.98,-6.2,-13.53
11.275,5.33,-7.57,-15.61
11.316,3.53,-3.1,-10.12
11.357,4.55,-1.57,-5.96
11.398,2.12,-0.2,-3.1
11.439,3.77,-3.53,-6.47
11.48,7.88,-5.33,-7.22
11.521,6.79,-4,-4.28
11.562,5.73,-2.12,-4.59
11.603,6.67,-2.63,-2.63
11.644,7.45,-4.2,-4.55
11.685,8.83,-5.53,-6.2
11.726,11.26,-7.85,-6.43
11.767,9.18,-5.49,-10.47
11.808,4.98,-2.86,-14.16
11.849,4.67,-7.26,-11.85
11.89,5.73,-7.81,-8.39
11.931,4.04,-5.18,-7.65
11.972,6,-3.18,-5.77
12.013,5.1,-1.96,-4.63
12.054,2.9,-1.33,-3.61
12.095,4.04,-2.31,-1.77
12.136,4.28,-3.02,-1.96
12.184,7.49,-6.32,-5.37
12.259,9.61,-11.69,-7.65
12.31,4.9,-7.49,-15.3
12.587,6.79,-4.47,-4.63
12.628,6.47,-2.63,-4.71
12.669,7.41,-2.63,-3.18
12.71,6.9,-2.51,-4.16
12.751,7.06,-4.24,-4.98
12.792,11.38,-7.14,-5.84
12.833,10.2,-6.94,-10.2
12.874,6.98,-4.31,-13.61
12.915,5.18,-5.96,-13.18
12.956,5.49,-7.06,-8.39
12.997,3.49,-5.02,-6.39
13.038,4.16,-2.9,-4.86
13.079,5.22,-3.84,-3.96
13.12,4.24,-2.35,-4.51
13.161,3.02,-1.65,-2.98
13.202,5.41,-3.73,-1.49
13.243,6.9,-4.9,-5.22
13.284,8.04,-7.96,-9.92
13.325,8.2,-11.96,-6.35
13.366,3.73,-8.36,-12.2
13.407,5.37,-7.06,-16.63
13.448,3.92,-5.02,-10.67
13.489,3.57,-1.02,-5.96
13.53,2.39,0.04,-4.08
13.571,2.94,-2.63,-6.71
13.612,9.02,-5.45,-6.75
13.653,6.9,-4.55,-6.12
13.694,6.24,-3.92,-3.8
13.735,6.79,-3.26,-3.8
13.776,6.28,-3.3,-4.43
13.817,6.94,-5.06,-6.51
13.858,12.55,-8.2,-6.94
13.899,9.81,-5.73,-12.2
13.94,5.37,-4.24,-13.93
13.981,3.33,-6.75,-11.26
14.022,3.57,-7.18,-8
14.063,3.65,-5.41,-6.71
14.104,4.35,-2.39,-5.69
14.145,6.43,-3.22,-4.94
14.186,4.35,-1.26,-3.96
14.227,3.14,-0.9,-1.92
14.268,5.06,-3.3,-1.29
14.309,7.61,-5.92,-4.2
14.35,9.57,-9.61,-11.06
14.391,9.73,-14.32,-4.35
14.432,3.37,-7.1,-12.98
14.473,4.04,-5.1,-17.5
14.514,3.77,-4.08,-9.61
14.555,3.65,-1.77,-6.9
14.596,1.96,-2.2,-2.39
14.637,5.57,-4.51,-6.16
14.678,5.1,-4.47,-7.49
14.719,5.33,-4.98,-4.98
14.76,5.69,-4.2,-4.59
14.801,6.55,-3.8,-4.35
14.842,7.37,-3.22,-4.94
14.883,9.77,-4.31,-6.12
14.924,12.24,-5.65,-4.86
14.965,9.26,-5.37,-8.71
15.006,6.39,-4.31,-12.51
15.047,5.06,-5.26,-13.73
15.088,5.06,-8.94,-11.45
15.129,3.69,-7.02,-7.92
15.17,4.08,-2.63,-6
15.211,4.79,-2.86,-4.08
15.252,5.96,-2.59,-4.63
15.293,4.12,-0.78,-3.77
15.334,3.96,-2.24,-1.96
15.375,5.06,-3.84,-4
15.416,6.79,-5.96,-7.65
15.457,8.63,-11.02,-10.75
15.498,6.35,-12.32,-4.51
15.539,2.94,-8,-9.57
15.58,7.14,-7.73,-16.55
15.621,2.59,-5.53,-12.32
15.662,4.35,-1.88,-7.69
15.703,2.55,-1.37,-4.9
15.744,3.37,-4.86,-4.43
15.785,5.14,-3.33,-7.45
15.826,5.26,-4.31,-6.2
15.867,7.22,-5.92,-4.79
15.908,7.06,-3.92,-4.55
15.949,6.28,-2.75,-3.57
15.99,6.55,-2.9,-5.37
16.031,10.04,-5.41,-5.69
16.072,10.71,-6.86,-5.14
16.113,7.96,-6,-9.34
16.154,6.35,-3.53,-15.46
16.195,4.39,-7.06,-12.08
16.236,5.14,-7.57,-9.22
16.277,4.24,-5.1,-7.37
16.318,5.84,-2.51,-5.88
16.359,6.16,-3.33,-4.24
16.4,4.28,-1.26,-5.37
16.441,2.71,0.08,-4.28
16.482,3.26,-2.67,-1.26
16.523,6.67,-7.26,-4.2
16.564,6.59,-8.2,-10.63
16.605,7.96,-11.69,-8.16
16.646,6.28,-10.32,-6.16
16.687,5.33,-6.55,-18.79
16.728,3.26,-6.08,-12
16.769,4.98,-2.04,-7.41
16.81,5.06,-0.31,-7.22
16.851,0.94,-5.14,-2.43
16.892,5.1,-4.24,-6.86
16.933,4.16,-4.9,-6.2
16.974,5.22,-2.39,-5.57
17.015,6.67,-4.04,-3.84
17.056,7.22,-3.18,-5.1
17.097,7.96,-3.3,-5.49
17.138,11.1,-5.37,-4.86
17.179,10.28,-6,-6.2
17.22,7.14,-5.22,-13.18
17.261,4.43,-4.98,-14.87
17.302,6.32,-9.65,-10.67
17.343,4.79,-6.71,-8.9
17.384,5.61,-3.37,-6.28
17.425,4.75,-1.92,-3.8
17.466,5.45,-1.96,-3.18
17.507,4.47,-1.29,-4.24
17.548,3.65,-2.75,-3.41
17.645,4.63,-4.47,-2.59
17.792,5.14,-9.06,-10.04
17.91,4.55,-7.77,-9.96
18.04,5.81,-6,-5.1
18.081,5.65,-4.47,-4.12
