NAME:,run_2_1.csv,,
EXPERIMENT TIME:,06/06/2023 12:25,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,70,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,-1.65,-7.85,-0.16
0.08996582,0.35,-11.69,-1.1
0.17004395,0.67,-6.63,-1.02
0.26000977,-1.37,-5.06,-5.92
0.33996582,1.77,-8.83,-8.67
0.4300537,0.43,-3.26,-10.28
0.52001953,-1.61,-12.98,-6.71
0.5999756,0.71,-15.77,-1.92
0.6900635,2.24,-19.77,-3.1
0.7800293,1.45,0.98,-1.61
0.85998535,1.49,-0.55,-0.12
0.95007324,-2.16,-17.65,5.3
1.0300293,6.9,-19.73,-3.14
1.1199951,-2.31,-0.12,-3.18
1.2000732,-5.84,5.84,-3.69
1.2900391,4.31,-5.61,-2.51
1.3800049,-3.53,-16.08,-0.47
1.4599609,2.2,-19.69,-0.59
1.5500488,4.39,1.57,-0.24
1.6300049,2.94,1.53,-1.69
1.7199707,-1.37,-20.01,1.49
1.8100586,14.79,-20.01,-3.26
1.8900146,-4.31,1.37,-2.2
1.9799805,-0.78,1.29,0.82
2.0700684,-9.69,6.67,11.89
2.1500244,5.37,-6.0,-0.04
2.2399902,1.41,-18.63,0.71
2.3200684,4.59,1.1,-0.67
2.4100342,-0.12,1.33,-1.77
2.4899902,-2.55,-20.01,7.14
2.579956,12.2,-20.01,-2.55
2.670044,-2.71,8.39,-2.51
2.75,-1.18,-0.08,-2.63
2.8399658,-18.2,13.1,18.04
2.9300537,8.24,-6.51,-0.39
3.0100098,1.96,-20.01,2.47
3.0999756,4.82,-1.61,-2.98
3.1800537,-1.96,-0.51,-2.71
3.2700195,-6.63,-20.01,6.08
3.3499756,11.49,-20.01,-0.08
3.4400635,-2.67,7.37,-3.41
3.5300293,1.41,-3.57,6.39
3.6099854,-14.0,-4.43,10.51
3.7000732,-3.57,-19.22,1.8
3.790039,5.1,-19.57,-1.06
3.869995,4.2,-1.69,-2.51
3.959961,-1.53,-0.16,-1.49
4.040039,-3.88,-20.01,2.82
4.130005,15.49,-16.99,1.45
4.209961,-4.24,5.53,-2.75
4.300049,3.1,-4.79,5.53
4.3900146,-18.4,7.49,13.93
4.4699707,0.67,-19.93,2.71
4.5600586,2.51,-20.01,-1.14
4.6500244,5.61,-1.14,-1.96
4.7299805,0.35,0.47,-1.92
4.8200684,-3.18,-20.01,1.14
4.9000244,10.47,-20.01,-1.14
4.98999,-2.12,2.12,-1.84
5.079956,-5.1,2.2,-0.31
5.160034,-1.29,-1.88,3.92
5.25,4.43,-9.96,4.0
5.329956,-2.67,-20.01,-2.82
5.420044,9.61,4.08,0.04
5.5,-3.22,0.2,-1.73
5.589966,-2.39,-18.08,2.59
5.6800537,15.53,-20.01,-5.33
5.76001,-4.24,2.51,-4.79
5.8499756,-3.65,1.88,0.2
5.9400635,-3.88,7.88,16.4
6.0200195,3.65,-10.12,-2.35
6.1099854,3.77,-20.01,2.08
6.1900635,3.1,4.12,-1.29
6.2800293,-4.08,-0.12,-0.94
6.3599854,0.55,-18.67,5.57
6.4500732,11.02,-20.01,-6.71
6.540039,-0.12,5.53,-3.88
