NAME:,run_2_1,,
EXPERIMENT TIME:,06/06/2023 12:45,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
11.859,5.88,8.51,-9.85
11.926,-20.01,19.3,20.01
11.993,-4.51,1.26,3.84
12.06,-1.45,1.92,-0.35
12.127,-1.26,-3.65,2.86
12.194,0.59,1.69,1.41
12.261,-12.63,-9.1,19.97
12.328,-7.69,-7.22,10.12
12.395,-1.22,11.92,-2.86
12.462,-1.06,-7.81,16.75
12.529,0.82,-7.3,2.39
12.596,-1.53,3.73,18.4
12.663,-8.98,-4.86,13.38
12.73,-2.47,-0.59,-1.96
12.797,0.24,-0.55,0.31
12.864,0.51,-1.14,-2.16
12.931,-10.67,-20.01,20.01
12.998,-3.65,2.82,2.08
13.065,-6.39,8.24,3.33
13.132,-5.3,-3.02,11.69
13.199,6.08,-8.75,6.04
13.266,2.86,14.4,-9.22
13.333,-18.48,-8.59,20.01
13.4,-3.14,4.55,-0.51
13.467,-2.04,-1.26,0.75
13.534,0.04,-4,0.08
13.601,-4.39,-1.49,7.92
13.668,-14.04,-5.37,12.12
13.735,-4.35,4.04,-0.39
13.802,-4.08,0.04,3.22
13.869,16.24,2.94,-0.2
13.936,-0.04,-6.98,1.22
14.003,-0.9,-20.01,20.01
14.07,-7.69,-5.37,15.53
14.137,-3.06,-0.12,-3.14
14.204,-1.41,-3.77,1.1
14.271,2,-1.49,-6.51
14.338,-12.63,-20.01,20.01
14.405,-11.34,-5.96,12
14.472,-4.9,4.2,2.47
14.539,-9.1,-12.08,12.75
14.606,2.08,-8.16,2.16
14.673,2.59,7.41,-11.1
14.74,-20.01,-20.01,20.01
14.807,-5.18,-0.2,8.08
14.874,-2.39,2.35,-2.63
14.941,-1.18,-4.86,1.53
15.008,-4.12,-5.26,2.08
15.075,-20.01,20.01,20.01
15.142,-14.2,-10.36,15.34
15.209,-4.28,9.1,1.29
15.276,-12.32,-20.01,20.01
15.343,-2.31,-11.38,7.69
15.41,11.14,20.01,-16.95
15.477,-19.73,6.83,20.01
15.544,-4.24,0.71,1.96
15.611,-3.06,-3.37,1.69
15.678,-1.69,-4.12,-0.71
15.745,-9.41,-20.01,20.01
15.812,-15.38,-5.65,19.77
15.879,-6.43,-4.43,5.84
15.946,-2.63,3.02,3.3
16.013,20.01,-5.14,20.01
16.08,2.98,-6.86,-1.22
16.147,-6.47,-20.01,20.01
16.214,-6.55,-5.14,16.36
16.281,-2.28,2.47,-2.63
16.348,-0.31,-4.71,0.12
16.415,1.45,6.35,-9.18
16.482,-5.84,-10.51,20.01
16.549,-4.35,3.22,2.28
16.616,-4.28,8.98,5.3
16.683,-2.94,-9.81,13.69
16.75,0.75,-15.34,4.71
16.817,-0.94,15.42,-1.37
16.884,-10.16,-1.29,12.4
16.951,-4.39,1.69,-0.24
17.018,-2.82,-3.84,0.51
17.085,0.55,-0.47,-2.59
17.152,-1.69,-4.39,20.01
17.219,-6.47,1.73,4.59
17.286,-4.39,3.96,4.82
17.353,-4.16,-9.96,17.65
17.42,7.22,-2.82,0.94
17.487,2.79,1.45,-3.45
17.554,-7.57,20.01,20.01
17.621,-6.98,-2.59,8.47
17.688,-2.86,3.37,-1.65
17.755,-0.16,-2.24,0.31
17.822,-0.94,3.45,-3.45
17.889,20.01,20.01,20.01
17.956,-12.12,-2,6.94
18.023,-1.57,3.33,2.43
18.09,-9.14,-13.53,17.93
18.157,3.3,-11.14,0.82
18.224,6.63,13.53,-15.65
18.291,-13.22,-1.57,18.44
18.358,-5.14,3.45,-0.51
18.425,-2.55,0.08,1.57
18.492,-0.98,-3.02,0.12
18.559,-9.77,-5.22,10.87
18.626,-7.1,2.24,13.14
18.693,-6.39,0.08,8.16
18.76,-1.92,1.29,8.32
18.827,-4.55,-10,9.41
18.894,3.06,-10.9,2.16
18.961,12.83,-20.01,20.01
19.028,-7.18,-4,11.14
19.095,-3.06,2.67,-2.12
19.162,-0.71,-1.41,0.71
19.229,-0.59,-5.18,-1.26
19.296,-11.06,-20.01,20.01
19.363,-9.65,-5.96,10.79
19.43,-19.81,-8.39,18.95
19.497,-4.04,3.8,0.82
19.564,20.01,-12.94,20.01
19.631,0.75,-9.41,5.37
19.698,-18.63,-20.01,20.01
19.765,-9.61,-3.06,14.16
19.832,-4.43,-0.12,0.9
19.899,-0.51,2.63,-0.43
19.966,0.12,-4.16,0.43
20.033,-3.49,-11.85,19.93
20.1,-12.16,-11.3,13.73
20.167,-12.2,8.79,0.86
20.234,-7.81,-5.53,9.92
20.301,20.01,-11.77,13.49
20.368,3.65,-11.26,-0.63
20.435,-7.69,-20.01,20.01
20.502,-7.77,-5.81,13.38
20.569,-5.69,-1.88,0.55
20.636,-1.57,-2.51,-0.86
20.703,1.22,-0.16,-4.24
20.77,-8,-16.08,20.01
20.837,-8.08,-1.26,8.51
20.904,-8.51,-4.55,9.73
20.971,-3.37,-10.59,18.24
21.038,6.28,-11.85,-1.41
21.105,7.53,5.49,-8.98
21.172,-20.01,20.01,20.01
21.239,-4.04,1.22,3.45
21.306,-1.18,1.65,-1.02
21.373,-0.94,-4.31,2.35
21.44,-2.04,1.84,3.65
21.507,0.47,11.89,-2.35
21.574,-9.06,-4.35,8.28
21.641,-2.24,4.86,2.82
21.708,17.06,-10.32,19.34
21.775,2.2,-4.2,-2.98
21.842,-17.22,-20.01,20.01
21.909,-9.26,-6.04,15.57
21.976,-4.24,2.31,-1.61
22.043,-0.43,-4.98,0.16
22.11,4.35,5.81,-11.3
22.177,-8.67,-20.01,20.01
22.244,-10.28,-4.51,7.34
22.311,-6.94,13.02,-0.35
22.378,-8.28,-9.69,18.95
22.445,1.1,-15.26,4.2
22.512,-9.02,2.55,20.01
22.579,-10.9,-4.75,18.2
22.646,-4.59,0.71,0.04
22.713,-2.71,-6.04,0.08
22.78,-0.67,1.8,-3.53
22.847,-16.08,-20.01,20.01
22.914,-12.51,-5.41,9.49
22.981,-1.73,2.47,-2.51
23.048,-7.65,-3.8,12.43
23.115,6.59,-13.57,-2.55
23.182,4.51,2.51,-6.98
23.249,-20.01,16.24,20.01
23.316,-10.63,-11.81,15.89
23.383,-12.79,0.67,0.08
23.45,-2.08,-3.3,-2.2
23.517,-3.14,-0.16,-2.98
23.584,-20.01,-19.34,20.01
23.651,-19.22,4.16,5.22
23.718,-7.49,7.37,-2.59
23.785,-6.51,-12.08,19.93
23.852,0.35,-9.1,1.53
23.919,7.14,12.91,-13.38
23.986,-8.79,2.79,12.12
24.053,-4.79,-1.45,1.84
24.12,-1.53,-2.59,-0.12
24.187,-2.12,-3.8,-3.45
24.254,-4.75,-2.59,0.08
24.321,1.77,7.57,3.41
24.388,-0.67,-2.71,0.31
24.455,-3.41,6.94,8.63
24.522,20.01,17.73,6.16
24.589,-1.69,-13.42,4.79
24.656,18.91,-20.01,2.31
24.723,-5.81,-9.81,17.69
24.79,-3.41,-0.43,0.71
24.857,-1.26,-3.73,1.37
24.924,-0.31,-4.04,-1.88
24.991,-12.51,-20.01,20.01
25.058,-6.59,-0.27,2.79
25.125,-2.75,5.81,2.51
25.192,-2.79,2.28,9.14
25.259,20.01,0.12,20.01
25.326,2.51,-2.67,-0.71
25.393,-20.01,-6.98,20.01
25.46,-5.88,-4.31,6.9
25.527,-5.37,-3.92,1.8
25.594,-2.35,-0.67,-3.77
25.661,-8.32,5.88,-0.59
25.728,-17.06,-20.01,20.01
25.795,-3.69,1.92,-1.49
25.862,-5.92,11.41,3.53
25.929,-9.18,-8.04,13.34
25.996,3.49,-13.14,-0.12
26.063,7.41,16.79,-20.01
26.13,-15.1,1.57,19.61
26.197,-4.94,-1.37,2.55
26.264,-1.73,-1.22,-0.86
26.331,-0.71,-3.06,-4.24
26.398,-1.65,4.08,-4.43
26.465,-3.22,-14,19.34
26.532,-3.02,-3.49,2.79
26.599,-2.31,5.37,8.67
26.666,18.48,-0.12,20.01
26.733,1.8,-11.92,4.75
26.8,1.96,13.1,2.98
26.867,-9.96,1.33,11.38
26.934,-5.3,1.88,2.51
27.001,-2.71,1.53,-0.24
27.068,-0.43,-3.69,-0.98
27.135,-8.04,-7.06,13.02
27.202,-15.97,-5.65,19.46
27.269,-12.91,-7.41,3.3
27.336,2.51,10,-8.39
27.403,18.95,-8.9,17.26
27.47,-0.63,-9.77,6
27.537,-15.3,-20.01,20.01
27.604,-5.65,-1.61,8.16
27.671,-4.51,-0.63,-0.08
27.738,-2.94,-2.47,-1.37
27.805,2.24,-1.77,-5.18
27.872,-0.39,-14.36,20.01
27.939,-10.79,-6.86,7.81
28.006,-11.96,5.49,-8.75
28.073,-6.67,-9.26,4
28.14,5.88,-7.02,-0.94
28.207,4.24,0,-4.63
28.274,-18.99,20.01,20.01
28.341,-6.59,-8.04,7.34
28.408,-4.12,-3.18,-1.77
28.475,-1.73,-4.71,-2.71
28.542,1.18,-3.57,-7.81
28.609,-19.22,17.34,20.01
28.676,-6.35,-1.1,-1.37
28.743,-3.84,13.38,-1.57
28.81,-8.75,-10.79,20.01
28.877,-1.14,-13.45,5.92
28.944,2.63,20.01,-20.01
29.011,-15.97,-0.98,19.93
29.078,-4.24,-3.18,-2.31
29.145,-2.08,-7.49,0.98
