"NAME:","run_5_3.csv"
"EXPERIMENT TIME:","08/06/2023 10:51"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","147"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"15.558","2.71","-0.51","-13.69"
"15.661","-6.39","-1.65","-13.06"
"15.767","-4.94","-0.63","-6.9"
"15.869","-5.18","1.53","-9.45"
"15.968","-2.35","-1.41","-15.26"
"16.068","-2.43","-3.18","-9.34"
"16.183","1.06","-2.59","-9.57"
"16.283","0.35","-2.08","-8.0"
"16.363","-1.57","-2.98","-18.63"
"16.473","-2.47","0.43","-7.77"
"16.574","-3.45","1.26","-7.45"
"16.679","-6.51","0.04","-8.67"
"16.781","-5.02","0.2","-20.01"
"16.88","-1.02","-0.2","-11.81"
"16.966","2.71","-2.59","-4.2"
"17.074","0.75","0.71","-15.46"
"17.173","-4.67","-0.78","-19.97"
"17.289","-1.22","1.06","-2.86"
"17.364","-3.26","1.18","-6.75"
"17.491","-7.18","1.02","-11.34"
"17.59","-4.59","1.06","-20.01"
"17.681","0.59","-4.04","-4.47"
"17.778","4.75","-0.35","-7.02"
"18.254","1.1","-0.51","-18.99"
"18.263","-5.69","-1.26","-19.14"
"18.271","-4.04","-0.08","-4.16"
"18.286","-5.37","0.24","-4.98"
"18.293","-6.39","-5.41","-12.36"
"18.38","-3.61","-0.39","-15.1"
"18.483","0.94","-4.24","-5.26"
"18.589","2.94","-2.51","-9.22"
"18.711","-0.43","-6.39","-14.04"
"18.806","-1.88","-2.55","-15.02"
"18.903","-4.24","-1.61","-6.83"
"18.995","-3.77","2.12","-5.45"
"19.102","-5.88","-6.28","-17.65"
"19.203","0.24","-4.63","-12.32"
"19.303","0.55","-3.1","-6.86"
"19.403","1.61","-2.12","-6.55"
"19.504","-4.43","-1.26","-17.38"
"19.602","-3.26","-1.8","-16.08"
"19.703","-2.2","0.78","-5.06"
"19.792","-5.77","1.65","-4.9"
"19.895","-9.14","-3.18","-20.01"
"20.002","-2.59","-3.18","-11.92"
"20.093","2.24","-0.78","-7.73"
"20.214","-0.12","-2.04","-3.84"
"20.309","-4.28","-1.65","-16.55"
"20.399","-1.77","-2.67","-8.59"
"20.519","-3.69","1.1","-6.86"
"20.602","-8.94","6.24","-10.08"
"20.703","-4.51","6.59","-20.01"
"20.808","0.9","0.51","-13.22"
"20.921","3.49","-1.69","-5.88"
"21.026","-0.9","1.77","-14.04"
"21.105","-4.35","1.41","-20.01"
"21.228","-1.73","-1.53","-4.98"
"21.327","-5.69","-0.43","-2.39"
"21.435","-6.9","0.82","-14.2"
"21.511","-3.26","0.9","-17.85"
"21.655","0.98","0.31","-11.3"
"21.71","2.94","0.71","-4.35"
"21.807","1.18","-0.35","-13.06"
"21.914","-4.82","-1.26","-19.85"
"22.026","-3.53","-1.37","-8.39"
"22.123","-6.9","1.22","-7.57"
"22.227","-5.84","-0.2","-7.69"
"22.331","-3.18","-4.24","-13.02"
"22.426","2.47","-2.75","-7.37"
"22.524","0.94","-2.9","-7.14"
"22.631","-1.96","-7.69","-15.73"
"22.731","-3.92","0.0","-12.43"
"22.828","-5.65","0.55","-4.79"
"22.937","-7.26","2.94","-7.18"
"23.033","-10.2","-3.88","-10.94"
"23.139","-3.84","-1.65","-17.18"
"23.242","5.77","-0.63","-9.57"
"24.249","0.04","-3.8","-8.36"
"24.319","-0.12","-0.63","-13.69"
"24.355","-2.16","-0.2","-10.08"
"24.362","-5.84","-0.16","-5.22"
"24.367","-6.0","2.08","-10.12"
"24.374","-2.12","0.59","-19.69"
"24.379","-1.41","-2.94","-13.85"
"24.385","3.37","-1.45","-5.88"
"24.391","2.59","1.1","-11.41"
"24.397","-0.82","1.84","-19.97"
"24.413","-3.33","0.75","-7.65"
"24.43","-4.63","0.98","-3.96"
"24.553","-6.51","2.43","-10.36"
"24.722","-3.33","-1.96","-15.85"
"24.756","-4.2","-4.63","-17.06"
"24.84","4.0","-3.61","-3.41"
"24.95","3.8","-0.63","-8.87"
"25.048","-2.2","0.31","-17.06"
"25.154","-2.35","2.28","-9.49"
"25.255","-4.67","1.8","-5.37"
"25.346","-10.4","1.45","-8.71"
"25.446","-4.63","0.59","-13.73"
"25.542","2.51","-1.37","-12.47"
"25.664","4.79","-1.49","-9.41"
"25.752","-2.86","2.0","-16.28"
"25.855","-4.59","1.96","-15.46"
"25.974","-3.02","3.77","-8.08"
"26.078","-4.12","1.18","-4.98"
"26.183","-2.71","-1.37","-15.3"
"26.253","-2.51","-3.18","-13.69"
"26.361","1.73","-1.06","-6.08"
"26.469","2.2","-1.41","-7.96"
"26.577","-0.08","0.27","-17.73"
"26.679","-7.3","-0.94","-13.77"
"26.779","-4.35","-0.63","-3.41"
"26.877","-4.79","1.45","-5.77"
"26.974","-5.96","-0.08","-18.83"
