NAME:,walk1.csv,,
EXPERIMENT TIME:,03/06/2023 14:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,105,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-4.236473,-1.490611,-6.354709
0.071,-4.118793,-1.529837,-6.354709
0.142,-3.961887,-1.569064,-6.197803
0.213,-3.412714,-1.608291,-6.550843
0.284,-3.726527,-0.745305,-6.746975
0.355,-3.295035,-1.137571,-7.060789
0.426,-4.079566,-1.098345,-5.491724
0.497,-5.295591,-0.23536,-7.374601
0.568,-4.314926,-0.784532,-6.982335
0.639,-4.864099,-0.470719,-5.099459
0.71,-4.550286,-0.392266,-6.040897
0.781,-4.511059,-0.156906,-5.923217
0.852,-4.824872,0.039227,-5.648631
0.923,-4.550286,0.196133,-7.374601
0.994,-3.569621,-0.313813,-5.805537
1.065,-5.295591,0.431493,-6.354709
1.136,-7.060789,0.039227,-9.649744
1.207,-4.550286,-1.96133,-3.648074
1.278,-4.471833,-1.333704,-6.864655
1.349,-5.923217,-1.529837,-6.433163
1.42,-3.92266,-1.490611,-7.688414
1.491,-2.19669,-1.490611,-3.765754
1.562,-3.295035,-0.274586,-4.746419
1.633,-3.138128,0.196133,-4.511059
1.704,-4.667965,0.039227,-8.943666
1.775,-2.353596,2.863542,-9.492838
1.846,-0.862985,-4.628739,-15.533735
1.917,-6.11935,-4.471833,0.431493
1.988,-3.216581,-5.099459,-9.571291
2.059,-3.765754,-3.098902,-3.844207
2.13,-3.334261,-1.098345,-3.765754
2.201,-4.001113,-0.313813,-5.256365
2.272,-2.824315,0.862985,-4.471833
2.343,-5.021005,0.23536,-7.021562
2.414,-5.962444,0.039227,-8.629852
2.485,-8.355267,-1.216025,-9.728197
2.556,-1.490611,-5.609404,-4.589512
2.627,-6.943109,-2.902768,-8.472946
2.698,-3.373488,-1.569064,-2.902768
2.769,-2.745862,-0.823759,-2.31437
2.84,-2.549729,-0.039227,-2.588956
2.911,-2.07901,-0.078453,-7.178468
2.982,-1.96133,2.863542,-12.787872
3.053,-3.255808,-5.060232,-12.513286
3.124,-6.590069,-9.179025,0.509946
3.195,-6.00167,-4.2757,-9.885103
3.266,-1.529837,-2.824315,-4.118793
3.337,-4.354153,-0.862985,-3.844207
3.408,-3.530394,0.313813,-4.471833
3.479,-3.138128,1.059118,-4.785645
3.55,-4.432606,-0.588399,-7.296148
3.621,-2.824315,1.294478,-10.120463
3.692,-10.787315,-2.07901,-9.218252
3.763,-2.353596,-7.256921,-2.824315
3.834,-8.041453,-3.451941,-9.885103
3.905,-2.667409,-2.549729,-1.84365
3.976,-3.255808,-0.941438,-2.275143
4.047,-2.157463,0.23536,-3.412714
4.118,-2.902768,0.588399,-5.844764
4.189,-0.588399,1.569064,-13.023232
4.26,-4.15802,-5.805537,-7.413828
4.331,-4.903325,-6.903882,-3.92266
4.402,-7.609961,-1.294478,-4.785645
4.473,-2.510503,-2.863542,-7.178468
4.544,-2.432049,-1.686744,-3.295035
4.615,-3.765754,-0.862985,-3.412714
