NAME:,wqlk5.csv,,
EXPERIMENT TIME:,03/06/2023 14:42,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,124,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
10.082,-3.92266,-1.569064,-3.451941
10.153,-3.726527,-0.078453,-3.569621
10.224,-3.059675,0.902212,-5.413271
10.295,-5.844764,0.156906,-8.982892
10.366,-6.433163,-4.471833,-6.23703
10.437,-5.88399,-2.745862,-8.982892
10.508,-1.451384,-3.883434,-6.550843
10.579,-5.570178,-2.19669,-6.786202
10.65,-3.216581,-0.823759,-2.471276
10.721,-2.039783,-0.980665,-2.706636
10.792,-1.804424,0.156906,-3.687301
10.863,-4.589512,-2.471276,-5.452498
10.934,-0.470719,0.078453,-12.35638
11.005,-3.059675,-2.471276,-11.807208
11.076,-5.570178,-7.335374,0.823759
11.147,-5.962444,-6.158576,-7.256921
11.218,-1.019892,-2.157463,-2.667409
11.289,-4.550286,-1.647517,-3.098902
11.36,-3.687301,0.274586,-5.452498
11.431,-3.608848,0.823759,-4.824872
11.502,-5.609404,0.470719,-6.982335
11.573,-9.139798,-4.354153,-7.727641
11.644,-4.550286,-2.863542,-8.31604
11.715,-2.549729,-4.354153,-4.981779
11.786,-5.88399,-3.098902,-7.453054
11.857,-3.412714,-1.84365,-3.334261
11.928,-2.824315,-1.019892,-1.725971
11.999,-2.510503,0.078453,-3.92266
