NAME:,run_2_2.csv,,
EXPERIMENT TIME:,12/06/2023 22:36,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,90,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
1.232,1.8,-8.94,1.8
1.314,2.31,-8.75,3.57
1.396,-1.57,-9.89,-0.67
1.478,1.69,-9.53,-2
1.56,2.94,-20.01,2.24
1.642,-1.96,-12.94,3.69
1.724,-1.8,-1.49,2.35
1.806,-0.75,-3.88,-1.61
1.888,3.73,-16.55,6.12
1.97,6.32,-20.01,-0.35
2.052,2.86,0.35,-2.55
2.134,3.02,0.16,1.77
2.217,-2.71,-3.69,-2.47
2.299,10.28,-12.12,5.06
2.381,9.45,-18.87,-1.37
2.463,-2.04,-11.65,4.08
2.545,-2.59,2.59,0.27
2.627,1.1,2.16,0.86
2.709,10.75,0.63,11.41
2.791,0.08,-20.01,4.86
2.873,6.32,-9.3,-4.79
2.955,-1.37,6.12,0.75
3.037,-0.47,-8.43,2.79
3.119,5.57,-7.14,-5.88
3.201,6.94,-16.79,-5.33
3.283,-0.24,-12.08,4.04
3.365,-0.63,1.53,0.63
3.447,2.63,-0.86,-0.12
3.529,-4.2,-19.97,7.61
3.611,-7.96,-19.5,-2.28
3.693,3.92,-6.16,-2
3.777,1.18,3.84,0.16
3.86,-1.1,-2.16,-0.71
3.943,8.08,-9.96,0.55
4.026,7.1,-18.75,-4.98
4.674,-3.37,-7.18,0.51
4.757,7.53,-17.89,-2.51
4.839,7.81,-18.55,3.88
4.921,1.92,-9.69,2.63
5.003,-1.06,1.96,-1.22
5.085,1.02,0,0.71
5.167,4.28,-20.01,10.43
5.249,-3.22,-20.01,-1.1
5.331,5.73,-5.57,-2.75
5.413,3.37,3.53,0.71
5.495,-2.31,-5.26,-1.33
5.577,6.86,-8.9,0.12
5.659,4.51,-18.55,5.22
5.742,2.55,-7.92,0.63
5.824,0,2.24,1.29
5.906,2.94,0.71,0.12
5.988,9.41,-20.01,9.61
6.07,7.73,-17.81,-0.16
6.152,0.16,-0.75,-0.71
6.234,2.71,-2.08,0.12
6.316,0.24,-1.61,-3.3
6.398,0.43,-14.75,-3.22
6.48,5.92,-17.1,3.06
6.562,2.71,-4.98,-0.27
6.644,-0.27,0.9,-0.55
6.727,1.57,1.96,6.59
6.809,1.26,-20.01,10.28
6.891,8.2,-13.49,-4.31
6.973,-1.57,3.69,-1.14
7.055,2.86,-1.84,1.33
7.137,20.01,-16.4,9.89
7.219,6.75,-16.91,-5.53
7.301,-0.47,-15.06,-1.45
7.383,-0.98,1.22,2.51
7.465,1.02,1.41,0.47
7.547,5.88,-6.08,6.59
7.629,-0.82,-20.01,1.41
7.712,5.37,-6.94,-4.75
7.794,5.18,4.63,0.39
7.876,-5.81,-5.37,0.35
7.958,5.81,-13.06,-2.08
8.04,3.37,-20.01,5.49
8.122,4.98,-6.24,0.98
8.204,-1.18,0.31,-1.26
8.286,1.45,1.73,6.83
8.368,8.55,-20.01,7.81
8.45,4.86,-17.77,0.82
8.532,-1.22,1.73,-0.24
8.614,2.67,-0.86,1.88
8.696,10.87,1.29,19.89
8.778,-0.47,-17.46,-7.65
8.86,1.18,-11.49,3.61
8.942,3.1,-2.08,2.35
9.024,0,1.22,-1.06
9.106,7.22,-2.08,8.71
9.188,2.82,-20.01,4.12
9.27,5.06,-8.51,-2
9.352,2.75,3.96,-1.77
9.434,-3.77,-7.85,1.37
9.516,6.28,-13.89,-2.08
9.598,12.4,-20.01,1.57
9.68,2.63,-10.9,6.47
9.764,-0.67,2.63,-0.27
9.846,0.67,-0.08,1.49
9.928,8.79,-20.01,5.02
10.01,10.94,-15.38,-2.98
10.658,1.96,-16.91,10.32
10.74,-1.14,-19.65,-0.86
10.822,5.49,-7.34,-4.08
10.904,2,4.98,-0.39
10.986,-2.2,-5.73,0.86
11.068,5.77,-11.69,-1.18
11.151,8.59,-16.95,7.26
11.233,1.1,-8.04,3.57
11.316,1.1,0.82,-0.04
11.398,1.33,1.92,6.16
11.48,7.18,-20.01,8.63
11.562,9.73,-15.65,-4.12
11.644,0.82,4.75,-0.55
11.726,1.45,-3.73,0.71
11.808,11.65,4.31,20.01
11.891,2.71,-20.01,-1.57
11.973,2.82,-17.89,2.39
12.055,2.12,-1.92,-0.75
12.137,-2.47,0.51,1.37
12.219,12.36,-0.94,9.1
12.301,-2.43,-20.01,8.98
12.383,8.79,-13.96,-1.37
12.465,0.27,4.71,-0.71
12.547,3.3,-2.28,3.02
12.629,10.04,1.96,20.01
12.711,3.57,-20.01,-2.71
12.793,1.88,-16.71,5.37
12.876,2,-0.9,0
12.958,-0.2,0.55,1.73
13.041,1.18,-7.73,7.14
13.123,-3.77,-19.26,8.87
13.205,6.43,-9.02,-3.69
13.287,1.92,4.98,0.2
13.369,-3.41,-4.86,-0.86
13.452,7.85,-9.92,0.12
13.534,7.45,-20.01,9.89
13.616,2.16,-5.61,3.45
13.698,-0.24,0.59,3.3
13.78,7.65,0.78,16.51
13.862,-4.55,-17.06,5.65
13.944,9.89,-9.89,-4.28
14.026,-0.86,3.61,-0.55
14.108,3.37,-4.16,2.55
14.191,2,-14.51,-4.94
14.273,9.45,-9.92,-7.81
14.355,-1.92,-10.94,7.45
14.437,-0.86,0.47,2.51
14.519,-2.12,0.71,-0.9
14.601,14.95,-20.01,14.75
14.683,5.26,-13.1,-3.73
14.765,-3.06,5.26,0.82
14.847,3.57,-1.57,0.78
14.929,10.51,12,20.01
15.011,9.53,-19.42,-4.31
15.093,-0.9,-12.94,5.57
15.176,-1.33,1.73,3.14
15.258,2.04,1.02,0.24
15.34,4.04,-20.01,12.08
15.422,-0.75,-17.3,-1.18
15.504,-1.41,-4.43,-0.86
15.587,3.06,0.2,-1.14
15.669,7.81,-2.28,12.32
15.753,-2.12,-11.49,-0.71
15.835,0.16,-14.75,4.39
15.918,3.61,-3.22,-0.63
16.001,-0.08,2.31,-0.2
16.649,0.86,-7.92,3.65
16.732,-0.24,0.71,1.84
16.814,11.18,-1.37,15.53
16.896,2.24,-19.89,8.39
16.978,11.1,-13.18,-3.26
17.06,0,5.53,-0.51
17.142,1.49,-4.31,2.24
17.224,5.02,-14.59,-0.39
17.306,10.63,-18.95,11.22
17.388,3.53,-7.14,2.35
17.47,-0.12,1.18,2.51
17.552,5.41,2.04,7.45
17.634,5.88,-20.01,5.41
17.717,8.55,-12.2,-3.45
17.799,1.49,6.32,-0.55
17.881,-0.98,-5.1,0.51
17.963,1.73,-20.01,-3.22
18.045,9.14,-16.83,4.35
18.127,2.51,-10.24,6.47
18.209,0.12,0.78,1.8
18.291,-0.47,2,8.12
