NAME:,run_1_1.csv,,
EXPERIMENT TIME:,06/6/2023 13:08,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,110,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,9.466,1.423,-0.513
0.086,9.74,1.502,-1.062
0.172,10.054,1.502,-0.67
0.258,10.289,2.129,-0.905
0.344,9.152,1.423,-0.434
0.43,8.877,1.188,0.233
0.516,10.015,1.227,0.115
0.602,9.936,-0.342,2.429
0.688,12.565,3.306,-1.493
0.774,8.053,2.325,-3.259
0.86,8.799,0.717,-2.67
0.946,9.309,1.658,-2.278
1.032,8.21,-1.127,-1.807
1.118,8.995,-0.46,-0.552
1.204,11.741,0.835,-0.238
1.29,12.172,-1.048,-13.693
1.376,13.663,-0.656,-8.515
1.462,8.838,2.168,-2.513
1.548,4.602,0.795,-2.043
1.634,8.72,0.521,-0.513
1.72,8.014,0.325,1.998
1.806,8.014,3.502,4.234
1.892,17.978,5.15,-1.533
1.978,12.721,2.561,-2.513
2.064,4.366,1.502,-1.925
2.15,-0.733,-0.695,-3.219
2.236,2.797,3.267,-7.534
2.322,20.174,0.835,-0.356
2.408,20.174,3.894,-1.572
2.494,-4.852,-2.46,-2.317
2.58,2.679,0.874,-3.102
2.666,20.174,-2.735,5.96
2.752,20.174,6.679,-3.651
2.838,12.29,-2.813,-7.848
2.924,-2.342,0.913,0.115
3.01,0.797,-0.421,-4.396
3.096,16.605,6.209,-4.749
3.182,17.468,-4.069,-1.101
3.268,1.463,-1.637,-1.14
3.354,2.052,2.443,-1.846
3.44,7.897,9.268,-20.714
3.526,17.586,12.093,8.117
3.612,9.583,-5.245,-1.415
3.698,1.385,1.227,-2.592
3.784,0.718,-1.715,-2.239
3.87,20.174,-6.854,9.686
3.956,15.546,-1.558,-3.533
4.042,6.916,1.972,-0.984
4.128,-3.636,3.737,-0.277
4.214,2.326,-1.715,1.252
4.3,20.174,3.306,-6.397
4.386,12.251,-0.028,0.233
4.472,5.896,0.678,-1.415
4.558,-3.989,-1.323,1.213
4.644,0.836,1.031,-4.553
4.73,20.174,-1.833,-20.714
4.816,18.017,2.168,-1.376
4.902,-3.754,-2.853,-3.69
4.988,1.346,0.364,-3.847
5.074,4.798,8.052,-20.714
5.16,19.861,5.542,0.233
5.246,8.76,-3.284,-0.748
5.332,-1.792,-1.244,-1.376
5.418,1.11,0.913,-4.475
5.504,14.094,1.148,-20.714
5.59,11.741,-7.834,3.331
5.676,10.093,4.953,0.429
5.762,-2.812,2.678,-2.435
5.848,2.405,-1.872,0.311
5.934,20.174,-1.087,6.313
6.02,20.174,6.523,-2.16
6.106,8.289,-1.323,-5.495
6.192,-2.577,0.129,-0.787
6.278,0.522,0.835,-4.475
6.364,20.174,5.895,-13.732
6.45,13.663,2.718,-1.846
