"NAME:","walk_5_1.csv"
"EXPERIMENT TIME:","05/06/2023 18:22"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","67"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-2.79","-8.94","-3.65"
"0.10095215","-2.71","-9.1","-4.12"
"0.20202637","-2.67","-9.14","-4.39"
"0.30297852","-2.43","-9.02","-4.2"
"0.40405273","-2.59","-8.94","-4.55"
"0.5050049","-2.47","-9.1","-4.82"
"0.60595703","-2.51","-8.98","-4.43"
"0.70703125","-2.16","-9.1","-4.35"
"0.8079834","-1.96","-9.18","-3.77"
"0.9090576","-2.16","-9.61","-4.28"
"1.0100098","-2.59","-9.14","-3.88"
"1.1109619","-3.02","-9.34","-3.88"
"1.2120361","-3.22","-8.98","-3.45"
"1.3129883","-3.26","-9.06","-3.77"
"1.4140625","-3.37","-8.94","-3.1"
"1.5150146","-3.22","-9.02","-2.55"
"1.6159668","-3.8","-9.77","-1.45"
"1.717041","-3.92","-8.67","-2.47"
"1.8179932","-4.24","-8.55","-2.24"
"1.9190674","-3.53","-9.22","-2.08"
"2.0200195","-3.77","-9.14","-1.65"
"2.1209717","-4.12","-9.38","-0.67"
"2.222046","-3.8","-9.61","-1.06"
"2.322998","-3.14","-9.89","-0.31"
"2.4240723","-2.47","-8.32","-3.02"
"2.5250244","-0.67","-8.87","-2.28"
"2.6259766","-1.92","-9.34","-3.02"
"2.7270508","-1.88","-8.98","-3.1"
"2.828003","-2.24","-9.26","-3.84"
"2.928955","-2.28","-9.18","-4.28"
"3.0300293","-3.41","-9.96","-4.2"
"3.1309814","-1.18","-9.81","-5.26"
"3.2320557","0.0","-9.41","-2.35"
"3.3330078","-3.18","-9.61","-3.73"
"3.43396","-2.75","-8.0","-3.88"
"3.5350342","-2.51","-8.2","-2.47"
"3.6359863","-3.26","-8.43","-1.96"
"3.7370605","-3.3","-9.69","-2.31"
"3.8380127","-5.06","-10.43","-1.22"
"3.9389648","-3.92","-12.16","-2.43"
"4.040039","-1.57","-6.71","-5.18"
"4.140991","-0.67","-9.49","-4.2"
"4.2420654","-1.84","-9.22","-4.75"
"4.3430176","-2.79","-8.94","-4.67"
"4.4439697","-2.59","-8.55","-4.59"
"4.545044","-2.47","-9.61","-5.06"
"4.645996","-2.94","-10.36","-6.0"
"4.7470703","0.67","-9.53","-4.63"
"4.8480225","-0.63","-8.98","-5.14"
"4.9489746","-2.08","-9.18","-4.55"
"5.050049","-2.04","-8.08","-4.39"
"5.151001","-2.2","-8.39","-3.33"
"5.251953","-3.3","-8.67","-3.02"
"5.3530273","-3.57","-9.69","-3.14"
"5.4539795","-2.08","-10.63","-3.53"
"5.5550537","-2.79","-11.14","-0.9"
"5.656006","-2.12","-6.63","-5.22"
"5.756958","-1.96","-9.96","-4.04"
"5.858032","-2.94","-9.18","-5.61"
"5.9589844","-2.39","-8.87","-4.94"
"6.0600586","-2.12","-8.28","-5.37"
"6.1610107","-1.65","-8.87","-5.77"
"6.261963","-1.61","-9.18","-5.88"
"6.363037","-0.67","-9.38","-7.81"
"6.4639893","0.98","-7.73","-3.41"
"6.5650635","-1.77","-8.98","-5.81"
"6.6660156","-1.88","-8.51","-5.06"
"6.766968","-1.77","-8.2","-4.04"
"6.868042","-1.57","-8.28","-3.57"
"6.968994","-1.65","-8.87","-3.1"
"7.0700684","-2.86","-10.36","-2.55"
"7.1710205","-0.51","-13.06","-6.08"
"7.2719727","0.86","-7.37","-5.06"
"7.373047","0.59","-5.3","-5.69"
"7.473999","0.16","-9.85","-6.16"
"7.5750732","-1.02","-8.55","-5.69"
"7.6760254","-1.26","-8.67","-5.92"
"7.7769775","-1.14","-8.28","-5.84"
"7.8780518","-0.51","-9.1","-5.61"
"7.979004","-1.49","-10.04","-7.14"
"8.079956","-0.63","-8.75","-5.96"
"8.18103","0.55","-8.12","-4.0"
"8.281982","-1.41","-9.89","-5.77"
"8.383057","-1.14","-8.32","-5.33"
"8.484009","-1.14","-8.32","-4.39"
"8.584961","-1.49","-8.63","-3.73"
"8.686035","-1.88","-9.69","-4.28"
"8.786987","-1.53","-9.57","-3.73"
"8.888062","-0.35","-11.38","-6.43"
"8.989014","-0.12","-6.9","-8.0"
"9.089966","-0.51","-6.83","-6.67"
"9.19104","-1.02","-7.85","-7.1"
"9.291992","-1.06","-8.36","-7.14"
"9.393066","-1.14","-7.73","-7.53"
"9.494019","-0.94","-7.96","-7.1"
"9.594971","-1.73","-7.53","-7.81"
"9.696045","-1.1","-7.45","-7.06"
"9.796997","-0.86","-7.41","-7.65"
"9.898071","-1.37","-7.61","-8.47"
"9.999023","-0.75","-7.57","-7.53"
"10.099976","1.49","-7.57","-6.63"
"10.20105","0.31","-8.16","-7.22"
"10.302002","-0.55","-8.12","-6.32"
"10.402954","-1.29","-7.45","-5.22"
"10.504028","-0.78","-8.47","-3.88"
"10.60498","-0.55","-9.49","-3.45"
"10.706055","-1.69","-13.65","-4.2"
"10.807007","-1.02","-8.67","-5.65"
"10.907959","-1.06","-4.98","-6.35"
"11.009033","-1.49","-10.08","-6.67"
"11.109985","-1.41","-8.08","-5.45"
"11.21106","-0.98","-8.51","-5.69"
"11.312012","-2.24","-8.51","-5.77"
"11.412964","-1.96","-8.59","-6.39"
"11.514038","-3.3","-9.41","-6.04"
"11.61499","-1.53","-9.41","-8.04"
"11.716064","2.08","-8.24","-3.33"
"11.817017","-0.2","-9.61","-4.94"
"11.917969","-1.69","-7.96","-5.18"
"12.019043","-2.08","-7.77","-4.24"
"12.119995","-2.35","-8.67","-2.79"
"12.221069","-1.69","-10.16","-3.49"
"12.3220215","0.55","-13.45","-5.81"
"12.422974","0.78","-7.61","-6.2"
"12.524048","0.71","-6.51","-4.98"
"12.625","0.0","-8.71","-6.63"
"12.725952","-0.67","-8.16","-6.12"
"12.827026","-0.27","-8.43","-6.0"
"12.9279785","-0.63","-7.92","-6.67"
"13.029053","-1.61","-9.81","-6.2"
"13.130005","-0.27","-9.34","-7.88"
"13.230957","2.59","-6.59","-4.39"
"13.332031","0.39","-9.61","-5.26"
"13.432983","-0.51","-7.85","-5.57"
"13.534058","-1.61","-8.2","-4.75"
"13.63501","-1.49","-7.45","-3.26"
"13.735962","-1.84","-9.61","-4.51"
"13.837036","-3.8","-11.57","-3.22"
"13.937988","1.29","-11.18","-8.36"
"14.0390625","1.18","-6.43","-6.24"
"14.140015","1.57","-8.0","-5.77"
"14.240967","0.51","-7.65","-6.59"
"14.342041","0.12","-8.04","-6.24"
"14.442993","-1.1","-8.16","-6.2"
"14.544067","-0.75","-8.12","-6.59"
"14.64502","-1.65","-9.14","-6.43"
"14.745972","-0.59","-9.61","-8.24"
"14.847046","2.12","-7.61","-6.28"
"14.947998","1.57","-8.63","-4.86"
"15.049072","-0.27","-8.71","-5.37"
"15.150024","-1.22","-8.75","-4.86"
"15.250977","-1.41","-8.32","-3.69"
"15.352051","-0.9","-8.79","-3.57"
"15.453003","-1.96","-10.55","-2.98"
"15.553955","1.69","-11.3","-5.02"
"15.655029","0.59","-9.34","-4.28"
"15.755981","-0.04","-5.77","-7.26"
"15.857056","1.49","-8.63","-6.83"
"15.958008","0.63","-7.57","-6.0"
"16.05896","-0.2","-8.75","-5.77"
"16.160034","-0.94","-8.08","-6.43"
"16.260986","-0.78","-8.2","-6.63"
"16.36206","-1.69","-9.3","-6.2"
"16.463013","-1.33","-9.41","-7.06"
"16.563965","1.61","-8.24","-5.49"
"16.66504","0.67","-9.57","-4.79"
"16.765991","-1.1","-8.04","-4.79"
"16.867065","-1.26","-8.94","-3.65"
"16.968018","-1.77","-8.24","-3.53"
"17.06897","-1.41","-8.36","-3.77"
"17.170044","-2.67","-10.32","-3.14"
"17.270996","-0.51","-11.38","-5.33"
"17.37207","-0.08","-9.26","-3.84"
"17.473022","-0.98","-5.96","-6.28"
"17.573975","0.47","-9.34","-6.43"
"17.675049","-0.43","-7.69","-5.3"
"17.776001","-1.06","-8.51","-5.53"
"17.876953","-1.26","-8.0","-6.04"
"17.978027","-1.33","-9.73","-6.32"
"18.07898","-0.78","-10.12","-7.69"
"18.180054","1.69","-8.43","-7.26"
"18.281006","2.0","-8.51","-5.69"
"18.381958","-0.08","-8.67","-5.73"
"18.483032","-1.1","-8.63","-5.26"
"18.583984","-1.77","-8.51","-4.98"
"18.685059","-1.92","-8.59","-3.92"
"18.78601","-1.45","-10.43","-3.53"
"18.886963","-0.04","-11.45","-5.14"
"18.988037","0.63","-8.51","-5.22"
"19.08899","-0.08","-5.88","-5.88"
"19.190063","0.71","-9.38","-6.59"
"19.291016","0.16","-7.61","-5.45"
"19.391968","-1.1","-8.75","-5.61"
"19.493042","-1.14","-8.43","-5.49"
"19.593994","-1.06","-8.47","-6.28"
"19.695068","-1.49","-8.98","-5.69"
"19.79602","-0.51","-8.94","-7.57"
"19.896973","1.96","-7.96","-6.63"
"19.998047","1.61","-8.39","-5.96"
"20.098999","-0.24","-8.75","-5.37"
"20.200073","-0.67","-8.32","-4.67"
"20.301025","-0.94","-8.63","-4.0"
"20.401978","-1.1","-9.61","-3.22"
"20.503052","-1.02","-9.77","-3.73"
"20.604004","-0.16","-10.08","-3.53"
"20.704956","-0.75","-11.65","-4.2"
"20.80603","-0.51","-6.2","-6.35"
"20.906982","0.94","-8.2","-6.08"
"21.008057","0.51","-7.85","-5.84"
"21.109009","-0.2","-8.24","-6.04"
"21.20996","-0.55","-8.39","-6.0"
"21.311035","-0.63","-8.63","-5.57"
"21.411987","-0.43","-8.71","-6.08"
"21.513062","-0.08","-9.38","-7.18"
"21.614014","0.12","-9.1","-6.71"
"21.714966","1.53","-7.3","-5.49"
"21.81604","1.14","-10.51","-5.92"
"21.916992","-0.86","-8.0","-5.61"
"22.018066","-0.98","-8.79","-4.55"
"22.119019","-1.26","-8.59","-3.53"
"22.21997","-0.98","-9.73","-4.31"
"22.321045","-1.77","-10.71","-2.31"
"22.421997","-0.71","-12.67","-2.79"
"22.523071","0.0","-6.9","-6.12"
"22.624023","0.75","-7.37","-4.55"
"22.724976","0.39","-8.43","-5.49"
"22.82605","-0.86","-8.98","-5.18"
"22.927002","-1.02","-8.75","-5.69"
"23.027954","-0.98","-8.63","-5.53"
"23.129028","-1.06","-9.3","-5.77"
"23.22998","-1.06","-10.87","-6.71"
"23.331055","0.98","-9.89","-5.45"
"23.432007","1.92","-6.83","-3.84"
"23.532959","-0.16","-10.08","-5.3"
"23.634033","-0.55","-8.47","-4.75"
"23.734985","-0.59","-8.43","-4.43"
"23.83606","-0.59","-8.55","-3.45"
"23.937012","-0.9","-9.18","-3.57"
"24.037964","-1.49","-9.73","-3.06"
"24.139038","2.16","-12.2","-6.83"
"24.23999","0.67","-8.39","-4.51"
"24.341064","0.63","-6.67","-4.75"
"24.442017","0.12","-10.32","-6.12"
"24.542969","0.9","-7.81","-5.26"
"24.644043","-0.9","-8.59","-5.49"
"24.744995","-0.9","-8.87","-5.49"
"24.84607","-0.59","-8.98","-6.08"
"24.947021","-1.53","-9.02","-5.92"
"25.047974","-0.16","-9.45","-7.02"
"25.149048","2.0","-7.3","-5.57"
"25.25","2.28","-9.02","-5.14"
"25.350952","-0.12","-8.47","-5.37"
"25.452026","-0.59","-8.55","-4.16"
"25.552979","-0.55","-8.24","-3.84"
"25.654053","-0.31","-9.1","-3.77"
"25.755005","-0.9","-9.89","-3.41"
"25.855957","-1.18","-10.51","-2.86"
"25.957031","-0.67","-11.77","-2.35"
"26.057983","-0.39","-7.41","-5.06"
"26.159058","1.18","-7.77","-5.22"
"26.26001","1.14","-8.9","-5.84"
