NAME:,run_3_1.csv,,
EXPERIMENT TIME:,5/22/2023 9:01,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,180,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,6.0409,-1.3337,5.21714
0.071,6.00167,-0.94144,5.29559
0.142,6.00167,-1.1376,5.13869
0.213,5.92322,-0.86299,5.33482
0.284,6.43316,-1.4122,5.37404
0.355,6.7862,-0.23536,4.11879
0.426,7.53151,-2.589,4.55029
0.497,8.19836,-0.31381,4.07957
0.568,6.66852,-0.5884,3.25581
0.639,6.7862,-1.9613,3.56962
0.71,6.98234,-3.4912,4.2757
0.781,8.43372,-0.27459,4.23647
0.852,9.61052,-5.1779,6.94311
0.923,5.25636,-3.5304,4.07957
0.994,9.68897,-0.66685,5.41327
1.065,8.78676,-0.07845,9.57129
1.136,4.98178,1.60829,3.41271
1.207,1.64752,0.392266,1.84365
1.278,8.08068,0.039227,5.33482
1.349,10.1205,-3.0204,6.82543
1.42,9.64974,2.70664,7.02156
1.491,4.00111,-2.589,1.41216
1.562,-0.70608,-4.3934,-2.7066
1.633,11.2973,-11.18,4.47183
1.704,10.1205,-4.0796,6.0409
1.775,8.47295,6.00167,11.3365
1.846,2.00056,2.43205,1.21602
1.917,0.470719,0.588399,0.313813
1.988,12.4348,-9.8851,13.2194
2.059,12.5917,-0.11768,9.10057
2.13,8.90444,1.29448,3.6873
2.201,7.41383,-1.4514,1.1768
2.272,-1.8437,-3.5696,-2.3144
2.343,7.88455,-14.592,6.94311
2.414,11.6503,-6.2763,7.64919
2.485,8.59063,4.35415,11.0619
2.556,2.5105,0.941438,2.23592
2.627,-1.8437,1.72597,-3.2558
2.698,20.0056,-8.316,1.37293
2.769,13.5724,4.62874,12.7879
2.84,8.04145,4.07957,6.55084
2.911,6.43316,-2.942,3.13813
3.124,7.17847,2.03978,15.0238
3.195,8.39449,7.33537,7.25692
3.266,2.98122,2.5105,2.00056
3.337,-3.4912,2.39282,-0.86299
3.408,5.68786,1.41216,-1.0199
3.479,11.5326,5.37404,12.631
3.55,4.90333,9.92433,8.5514
3.621,5.25636,0.039227,1.52984
3.692,0.392266,-5.3348,-0.74531
3.763,8.15913,-11.101,0.980665
3.834,18.868,5.64863,18.7111
3.905,6.7862,10.9442,9.17902
