NAME:,walk_1_1.csv,,
EXPERIMENT TIME:,06/6/2023 13:06,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,9.74,1.031,-1.258
0.086,9.858,0.717,-1.297
0.172,9.976,0.795,-1.415
0.258,9.858,0.599,-1.729
0.344,9.976,0.952,-1.846
0.43,9.544,0.913,-1.062
0.516,9.858,0.913,-1.258
0.602,9.819,0.835,-1.533
0.688,9.505,-0.224,-1.768
0.774,10.211,0.286,-1.376
0.86,10.093,1.07,-1.101
0.946,9.466,-0.146,-1.14
1.032,9.426,-0.342,-0.709
1.118,9.662,-0.617,-0.944
1.204,10.211,-0.068,-0.395
1.29,10.368,-0.774,-0.081
1.376,13.741,0.364,-3.533
1.462,9.819,0.246,-4.671
1.548,10.093,0.403,-3.259
1.634,7.23,-0.656,-1.533
1.72,7.544,0.835,-0.277
1.806,7.857,-0.342,0.429
1.892,12.839,-0.774,1.919
1.978,16.291,2.365,-0.513
2.064,8.76,0.599,-4.828
2.15,7.308,1.737,-0.434
2.236,7.151,0.286,-1.258
2.322,7.269,-0.695,-0.67
2.408,9.034,-1.44,-0.591
2.494,10.995,-3.166,-0.748
2.58,12.878,-0.617,-8.829
2.666,11.505,0.678,-5.259
2.752,8.367,0.835,-1.14
2.838,5.504,-0.46,-0.434
2.924,7.308,0.717,1.409
3.01,10.721,0.952,1.645
3.096,15.546,1.227,-1.925
3.182,12.525,1.305,-2.16
3.268,10.525,2.521,-0.827
3.354,6.406,1.345,-0.709
3.44,8.524,-1.205,-0.944
3.526,7.897,-0.931,-0.356
3.612,12.251,-1.833,0.664
3.698,13.035,-1.244,-9.025
3.784,11.231,-0.421,-2.631
3.87,7.857,-1.166,-1.376
3.956,5.072,0.207,-0.434
4.042,7.308,0.089,1.37
4.128,13.545,1.933,2.155
4.214,16.095,1.148,-1.454
4.3,8.956,0.129,-4.435
4.386,8.799,3.031,-1.337
4.472,6.994,0.521,-1.14
4.558,8.524,-1.127,-1.14
4.644,8.995,-1.44,-1.101
4.73,12.329,-1.087,0.036
4.816,12.721,-1.205,-9.064
4.902,12.211,-0.381,-3.925
4.988,8.799,-0.303,-1.807
5.074,5.425,0.521,-0.63
5.16,7.073,0.403,1.684
5.246,10.682,1.07,0.546
5.332,15.977,0.952,-1.023
5.418,10.917,0.756,-3.337
5.504,9.897,3.541,-2.16
5.59,7.897,1.462,-1.572
5.676,8.524,-1.754,-0.944
5.762,8.367,-2.107,-1.297
5.848,11.309,-1.99,0.154
5.934,12.682,-2.303,-8.633
6.02,11.937,-0.185,-2.513
6.106,9.466,-0.303,-2.043
6.192,4.366,0.364,-1.023
6.278,7.426,-0.146,1.174
6.364,11.427,1.423,0.742
6.45,16.409,1.619,-1.964
6.536,11.309,0.835,-2.553
6.622,10.486,3.11,-1.925
6.708,7.23,1.384,-0.827
6.794,7.779,-1.44,-0.63
6.88,7.818,-2.107,-1.14
6.966,10.25,-1.127,0.35
7.052,13.428,-1.048,-5.455
7.138,11.035,0.874,-4.043
7.224,10.25,0.403,-1.415
7.31,6.014,-0.068,-0.67
7.396,7.936,0.089,1.292
7.482,8.132,0.286,-0.591
7.568,14.644,0.05,-2.2
7.654,13.114,3.345,-2.003
7.74,11.545,0.913,-2.592
7.826,7.779,1.855,-1.219
7.912,6.563,-1.087,-0.552
7.998,7.936,-1.087,0.036
8.084,10.564,-0.577,-0.866
8.17,11.388,-0.107,-2.749
8.256,11.702,0.286,-4.945
8.342,12.957,-0.381,-2.435
8.428,6.21,-0.656,-1.14
8.514,6.72,1.07,0.35
8.6,8.916,-0.303,0.429
8.686,13.114,-0.97,1.566
8.772,16.801,2.482,-4.788
8.858,9.426,-0.381,-3.023
8.944,11.78,1.855,-1.729
9.03,5.935,0.795,-0.63
9.116,7.622,-1.401,0.35
9.202,10.172,-0.499,-1.376
9.288,11.231,-2.264,0.272
9.374,11.192,-0.421,-9.378
9.46,13.428,-0.342,-4.239
9.546,7.073,-0.499,-1.925
9.632,5.308,0.599,-0.63
9.718,7.151,0.835,0.978
9.804,8.995,0.56,-0.317
9.89,13.074,2.678,-3.494
9.976,12.29,0.717,-3.455
10.062,10.878,3.855,-3.259
10.148,7.034,1.502,-2.2
10.234,7.034,-0.695,-1.376
10.32,7.465,-0.421,-1.023
10.406,10.642,-2.343,-0.16
10.492,14.094,1.148,-1.65
10.578,13.702,2.757,-7.456
10.664,10.211,0.011,-2.003
10.75,5.661,-0.146,-1.454
10.836,6.916,1.345,-0.199
10.922,9.073,1.345,-0.395
11.008,12.29,-1.833,2.39
11.094,13.271,6.483,-5.612
11.18,10.486,0.129,-3.18
11.266,9.426,2.09,-2.16
11.352,6.406,0.639,-1.611
11.438,7.936,-1.676,0.233
11.524,9.701,-0.028,-0.905
11.61,13.624,0.795,-4.71
11.696,13.584,3.463,-7.064
11.782,10.25,-0.303,-2.513
11.868,5.974,0.05,-0.787
11.954,6.681,0.325,-0.238
12.04,7.112,0.089,0.939
12.126,15.232,0.521,3.214
12.212,14.761,5.071,-7.613
12.298,9.976,-1.009,-3.533
12.384,9.897,2.404,-1.69
12.47,5.425,0.403,-1.533
12.556,8.603,-1.166,0.233
12.642,9.348,-1.323,-1.376
12.728,11.545,-0.381,0.586
12.814,13.035,2.051,-11.496
12.9,12.996,-3.049,-3.612
12.986,6.759,-0.617,-1.415
13.072,5.818,-0.146,-0.238
13.158,6.916,0.482,1.449
13.244,12.8,1.031,2.861
13.33,15.232,1.227,-2.709
13.416,7.19,1.07,-4.435
13.502,9.505,1.658,-2.082
13.588,6.328,1.188,-2.003
13.674,9.073,-1.048,-0.944
13.76,10.289,-0.46,-1.062
13.846,12.447,-1.284,0.782
13.932,9.936,0.325,-9.574
14.018,13.781,-0.46,-6.397
14.104,5.857,0.442,-1.807
14.19,6.092,1.266,-0.748
14.276,7.151,0.717,1.331
14.362,13.859,1.384,3.057
14.448,16.016,2.796,-3.769
14.534,8.838,1.031,-5.338
14.62,8.446,2.561,-1.493
14.706,6.406,0.286,-1.493
14.792,8.053,-1.715,-0.434
14.878,10.132,-1.166,-2.16
14.964,11.505,-1.637,1.174
15.05,12.957,-0.734,-8.162
15.136,10.956,-0.538,-3.18
15.222,8.21,0.325,-2.003
15.308,5.229,0.717,-0.67
15.394,7.269,1.345,1.252
15.48,12.604,1.815,3.331
15.566,15.938,0.011,0.586
15.652,7.19,0.913,-2.592
15.738,8.289,2.247,-1.062
15.824,7.544,1.541,-1.533
15.91,7.661,-0.891,-1.219
15.996,7.779,-1.99,-0.63
16.082,10.956,-2.068,1.292
16.168,14.487,-0.342,-9.535
16.254,11.466,-0.891,-5.416
16.34,7.975,1.07,-1.533
16.426,5.974,-0.264,-0.827
16.512,7.583,0.874,0.507
16.598,10.015,-0.46,-1.023
16.684,13.114,0.089,-4.357
16.77,11.937,4.051,-0.944
16.856,10.995,0.678,-2.984
16.942,6.955,2.6,-2.003
17.028,6.916,-0.891,-0.944
17.114,7.465,-1.715,-1.18
17.2,10.211,-1.558,0.507
17.286,15.036,0.364,-4.004
