NAME:,walk_3_1,,
EXPERIMENT TIME:,30/05/2023 13:13,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,111,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,4.24,-7.61,-5.1
0.067,4.55,-6.79,-4.39
0.134,4.43,-8.16,-4.16
0.201,6.43,-8.08,-6
0.268,6.28,-6.59,-5.81
0.335,4.08,-5.88,-4.39
0.402,3.77,-7.88,-3.18
0.469,4.51,-10.36,-4.98
0.536,5.1,-10,-7.02
0.603,4.43,-9.34,-7.85
0.67,4.9,-4.75,-5.61
0.737,2.24,-8.63,-1.73
0.804,2.9,-7.3,-5.77
0.871,3.57,-6.08,-6.59
0.938,2.16,-8.04,-2.39
1.005,3.73,-7.88,-3.06
1.072,4.35,-7.41,-4.2
1.139,6.12,-8.63,-5.57
1.206,4.55,-9.77,-7.14
1.273,6.98,-6.79,-6.35
1.34,2.35,-5.37,-3.41
1.407,2.28,-7.18,-4.24
1.474,4.75,-6,-6.67
1.541,3.61,-7.18,-4.39
1.608,5.22,-7.65,-5.41
1.675,4.12,-8.71,-5.1
1.742,4.35,-8.87,-7.34
1.809,7.37,-7.45,-8.55
1.876,4.39,-7.65,-3.88
1.943,1.61,-8.16,-2.75
2.01,4.59,-7.41,-5.69
2.077,3.88,-5.1,-4.67
2.144,4,-6.2,-2.51
2.211,5.1,-7.22,-2.08
2.278,7.41,-7.53,-6.43
2.345,5.37,-9.1,-7.53
2.412,6.79,-7.26,-6.47
2.479,3.3,-6.98,-4.79
2.546,4.35,-7.53,-4.82
2.613,4.79,-7.61,-5.49
2.68,3.45,-6.51,-3.53
2.747,5.65,-7.18,-4.04
2.814,5.06,-9.02,-2.9
2.881,5.92,-8.43,-7.02
2.948,6.43,-8.75,-9.89
3.015,5.84,-5.73,-5.18
3.082,2.43,-7.1,-2.79
3.149,4.28,-6.67,-4.39
3.216,4.9,-6.43,-4.2
3.283,5.22,-6.2,-4.55
3.35,5.41,-8.16,-4.51
3.417,5.84,-9.18,-4.9
3.484,5.45,-9.41,-6.24
3.551,5.53,-7.96,-3.88
3.618,3.57,-6.39,-5.22
3.685,4.82,-6.83,-4.79
3.752,3.92,-5.45,-5.14
3.819,3.37,-6.79,-3.77
3.886,4.94,-7.77,-5.92
3.953,4.47,-9.92,-4.98
