NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,06/06/2023 12:09,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,0.39,-9.18,-4.04
0.08001709,1.06,-7.92,-5.18
0.17004395,1.41,-7.65,-5.57
0.25,1.92,-8.63,-5.33
0.34002686,0.16,-10.43,-6.59
0.4300537,1.53,-18.83,-3.61
0.51000977,0.59,-19.34,0.67
0.6000366,0.08,-9.26,-1.33
0.6800537,1.29,-9.38,-0.31
0.77001953,1.61,-9.81,-0.08
0.8600464,1.41,-8.67,-0.39
0.94000244,0.86,-9.45,-0.86
1.0300293,3.26,-10.98,-0.39
1.1100464,1.69,-13.22,2.39
1.2000122,-4.0,-13.49,-2.75
1.2900391,2.98,-8.83,0.78
1.3700562,-0.51,-7.53,-1.69
1.460022,-2.12,-3.73,-4.71
1.5400391,2.59,-8.9,-4.31
1.6300049,5.02,1.26,-12.12
1.710022,-4.31,-12.47,-0.16
1.8000488,-1.02,-13.34,6.39
1.8900146,-2.16,-8.08,-2.08
1.9700317,2.67,-6.98,-0.24
2.0599976,0.35,-9.77,-1.26
2.1400146,4.12,-9.06,2.82
2.2300415,0.43,-12.71,3.06
2.3200073,-3.61,-14.16,-1.29
2.4000244,2.35,-7.96,-0.47
2.4900513,-0.98,-4.24,0.04
2.5700073,-1.14,-2.04,-4.24
2.6600342,-1.37,-15.1,0.16
2.75,2.39,-3.77,-10.51
2.830017,-2.39,-3.18,-2.43
2.920044,-0.16,-10.28,-0.9
3.0,-0.27,-7.18,0.35
3.0900269,3.06,-7.69,-0.55
3.1800537,2.55,-8.98,-1.45
3.2600098,1.37,-13.38,0.9
3.3500366,1.49,-11.81,7.34
3.4300537,0.63,-16.59,-0.27
3.5200195,1.18,-6.9,-0.12
3.6100464,-1.33,-2.9,-3.41
3.6900024,1.77,-3.45,-8.2
3.7800293,-3.73,-20.01,-4.75
3.8700562,0.82,-17.81,1.18
3.9500122,-0.51,-13.42,4.2
4.040039,-3.96,-7.77,-2.2
4.120056,3.53,-6.16,0.51
4.210022,2.35,-10.28,-1.37
4.300049,2.79,-10.2,4.75
4.380005,0.31,-13.22,2.71
