"NAME:","run3.csv"
"EXPERIMENT TIME:","08/06/2023 11:04"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","165"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"16.220001",".73","-1.57","-5.26"
"16.32",".98","-11.34","3.61"
"16.420002",".14","12.67","10.63"
"16.529999",".94","6.86","2.90"
"16.630001",".73","-1.73","-2.24"
"16.73","12.55","-1.49","-10.67"
"16.830002","0.59","5.92","1.41"
"16.93","1.29","-8.39","-0.27"
"17.029999","11.73","14.00","16.67"
"17.14","3.65","2.12","2.67"
"17.240002",".16","0.51","0.24"
"17.34","5.06","3.96","-0.35"
"17.439999","4.20","20.01","1.26"
"17.55","-1.80","6.75","10.24"
"17.650002","5.14","-8.90","-8.79"
"17.75","-13.14","18.08","0.55"
"17.849998",".43","-12.40","12.83"
"17.95",".57","-3.49","1.10"
"18.060001",".12","-4.20","9.53"
"18.16","2.08","11.81","16.20"
"18.260002",".22","4.43","-1.14"
"18.36",".08","4.71","-6.75"
"18.46",".30","8.16","17.34"
"18.57",".51","17.89","4.20"
"18.670002",".59","-5.61","-0.31"
"18.77",".16","-0.39","8.43"
"18.869999",".01","20.01","10.59"
"18.970001","12.87","-6.08","-2.51"
"19.080002","8.47","-5.06","-0.63"
"19.18","1.33","7.18","12.43"
"19.279999",".65","7.85","7.88"
"19.380001",".41","-1.88","-0.86"
"19.48",".55","-1.29","9.30"
"19.59",".32","20.01","8.51"
"19.689999","-14.44","9.96","-16.87"
"19.79","7.18","-3.37","-1.57"
"19.89","1.45","9.96","19.73"
"19.990002","0.31","10.79","7.22"
"20.099998",".00","-4.98","-2.94"
"20.2","2.39","6.79","5.18"
"20.3",".79","20.01","20.01"
"20.400002","-2.79","2.82","6.90"
"20.5",".71","-6.59","-15.22"
"20.599998","11.14","4.98","-7.45"
"20.71",".37","20.01","6.00"
"20.810001",".75","2.24","2.24"
"20.91","2.90","10.51","2.79"
"21.010002","4.86","12.71","19.65"
"21.119999",".75","0.04","-2.79"
"21.220001","1.41","-1.45","0.12"
"21.32","1.57","-12.79","13.42"
"21.420002","13.77","20.01","6.63"
"21.52","4.86","2.90","5.65"
"21.630001",".80","-7.06","-0.12"
"21.73",".73","-3.22","13.26"
"21.830002",".85","17.26","14.08"
"21.93","6.79","-2.75","6.43"
"22.029999","3.18","-5.41","8.94"
"22.14",".00","-11.89","19.81"
"22.240002",".98","-1.73","6.20"
"22.34",".59","-7.41","3.37"
"22.439999",".91","1.88","12.43"
"22.54",".26","12.87","16.95"
"22.650002","7.85","-4.98","-4.67"
"22.75","1.10","-10.43","16.51"
"22.849998",".12","8.79","16.08"
"22.95",".79","0.59","-3.33"
"23.05",".61","-4.28","-0.94"
"23.16",".28","-20.01","16.40"
"23.260002",".80","10.98","10.43"
"23.36","-2.12","-9.81","-3.65"
"23.46","2.12","20.01","-20.01"
"23.560001","2.94","15.81","2.12"
"23.670002",".88","-1.26","2.28"
"23.77","4.31","7.49","-2.35"
"23.869999",".36","3.49","13.42"
"23.970001","0.31","2.39","3.53"
"24.07","1.84","-15.97","-2.98"
"24.18","15.85","-20.01","4.08"
"24.279999","0.39","4.31","10.59"
"24.380001","5.14","-4.16","-3.80"
"24.48",".75","-1.02","9.53"
"24.580002",".30","18.08","20.01"
"24.689999","6.71","-10.47","-3.73"
"24.79","2.08","-3.69","4.12"
"24.89",".28","9.49","20.01"
"24.990002","2.31","1.57","3.18"
"25.09",".20","-2.16","-1.77"
"25.2","7.65","1.57","12.79"
"25.3","7.30","11.73","13.96"
"25.400002","-4.12","-2.98","4.47"
"25.5","0.47","-14.79","6.08"
"25.599998",".86","-6.98","20.01"
"25.71",".06","-7.34","1.02"
"25.810001","3.26","-6.67","-0.04"
"25.91",".14","-1.33","15.18"
"26.010002",".00","11.73","14.16"
"26.11","4.04","-4.08","-2.90"
"26.21",".06","-7.69","3.41"
"26.32","1.49","-0.24","20.01"
"26.420002",".27","4.16","8.00"
"26.52","3.22","-7.06","-6.20"
"26.619999",".83","-2.43","12.40"
"26.720001",".96","14.36","14.83"
"26.830002","2.79","-5.26","-0.78"
"26.93","0.59","-7.41","0.27"
"27.029999",".84","1.92","20.01"
"27.129997",".27","15.10","3.69"
"27.239998","1.77","-6.90","-5.53"
"27.340004",".92","2.55","6.32"
"27.440002","6.98","20.01","14.91"
"27.54","5.65","5.26","3.77"
"27.64","0.27","-13.49","-5.10"
"27.739998",".47","-4.12","19.77"
"27.849998",".63","12.91","14.47"
"27.949997",".80","-3.65","-2.67"
"28.050003",".94","1.92","5.57"
"28.150002",".59","20.01","13.61"
"28.25","4.79","7.06","8.36"
"28.36",".78","-7.26","-6.35"
"28.46",".73","-2.24","20.01"
"28.559998",".02","11.22","9.34"
"28.660004",".33","-2.47","1.10"
"28.760002",".69","1.65","5.33"
"28.870003",".91","-20.01","0.08"
"28.970001","1.10","4.59","4.82"
"29.07",".69","-13.02","-4.71"
"29.169998",".43","-6.71","17.38"
"29.269997","3.37","16.24","8.43"
"29.379997","3.57","-4.94","4.04"
"29.480003",".77","-1.57","4.59"
"29.580002",".32","20.01","17.14"
"29.68","0.12","-8.90","-5.81"
"29.779999","1.77","-4.86","1.26"
"29.89","7.65","8.98","19.18"
"29.989998",".69","9.92","8.87"
"30.090004",".16","0.27","0.78"
"30.190002",".20","-1.57","6.43"
"30.29",".81","4.35","19.26"
"30.400002","5.84","-3.80","-2.79"
"30.5",".20","-5.14","4.71"
"30.599998",".43","3.53","4.04"
"30.699997",".90","1.10","9.96"
"30.800003",".22","-1.26","0.82"
"30.910004","8.98","-4.63","18.28"
"31.010002",".10","12.12","17.18"
"31.111","2.75","-2.04","-4.04"
"31.21",".22","-9.49","8.12"
"31.32",".63","9.96","19.97"
"31.419998","4.35","2.20","10.20"
"31.519997",".04","-2.75","-2.08"
"31.620003",".12","-2.12","18.48"
"31.720001",".36","3.61","7.53"
"31.82","1.80","-1.80","-3.10"
"31.93",".22","-8.36","8.71"
"32.03",".73","-0.59","20.01"
"32.129997",".33","-6.83","8.98"
"32.230003",".16","0.55","-0.55"
"32.33",".31","0.12","19.34"
"32.440002","1.65","12.63","12.98"
"32.54",".16","-7.18","-3.26"
"32.64",".43","-12.12","8.63"
"32.739998",".04","-5.14","20.01"
"32.85","0.04","10.43","4.47"
"32.949997",".35","-13.38","-1.84"
"33.050003",".39","-6.75","20.01"
"33.15",".94","13.85","12.67"
"33.25","1.61","-3.92","-3.61"
"33.35","0.75","-9.77","2.86"
"33.46",".47","-1.02","20.01"
"33.559998","5.84","3.53","10.16"
"33.660004",".61","-4.28","-1.92"
"33.760002",".16","-1.37","3.88"
"33.86",".16","20.01","16.04"
"33.97","-7.30","7.30","4.08"
"34.07","0.98","-4.43","-4.59"
"34.17",".75","-6.32","20.01"
"34.269997",".94","12.20","13.89"
"34.370003",".86","-7.26","-0.24"
"34.480003",".61","3.61","0.98"
"34.58",".01","20.01","5.49"
"34.68","5.14","-5.10","0.94"
"34.78","1.02","-2.24","-6.24"
"34.879997",".71","-6.39","13.22"
"34.989998",".08","6.51","11.96"
"35.090004",".33","-1.06","0.43"
"35.190002",".02","10.00","1.88"
"35.29",".01","15.89","2.82"
"35.39","-3.92","2.75","4.08"
"35.5",".71","-8.39","-3.53"
"35.6",".32","-0.55","14.63"
"35.699997",".36","19.53","11.41"
"35.800003",".94","-1.29","-0.35"
"35.9",".84","8.59","3.96"
"36.010002",".89","-14.28","17.77"
"36.11","-2.67","2.79","8.67"
"36.21",".94","-8.43","-4.94"
"36.309998","10.63","-4.39","11.30"
"36.410004",".67","18.36","17.46"
"36.519997",".55","0.51","2.59"
"36.620003",".02","11.81","5.02"
"36.72",".94","19.65","18.16"
"36.82","1.29","3.45","7.37"
"36.93",".51","-13.14","-7.26"
"37.03",".90","-0.16","-20.01"
"37.129997",".37","1.45","20.01"
"37.230003",".88","-3.77","1.41"
"37.33",".96","5.45","5.73"
"37.43",".24","7.34","20.01"
"37.54",".49","-3.53","4.39"
"37.64",".33","-9.81","-8.47"
"37.739998","2.43","0.00","5.57"
"37.840004",".37","8.00","15.10"
"37.940002",".36","-4.47","-2.79"
"38.050003",".90","4.20","5.06"
"38.15",".10","20.01","20.01"
"38.25",".29","-3.73","2.43"
"38.35",".18","-9.10","-4.12"
"38.46",".88","-20.01","8.75"
"38.559998","4.82","4.31","10.75"
"38.660004",".84","-0.98","0.55"
"38.760002",".69","-1.53","5.81"
"38.86","8.98","18.28","18.71"
"38.96",".47","-16.55","-2.43"
"39.07",".92","-10.20","-7.30"
"39.17",".57","-16.87","14.98"
"39.269997","2.86","17.18","8.28"
"39.370003",".55","-0.24","-1.92"
"39.47",".22","11.26","8.47"
"39.58",".51","17.89","-0.94"
"39.68","3.61","3.45","8.51"
"39.78",".55","-13.42","-14.83"
"39.879997",".43","-7.34","-7.85"
"39.989998","3.26","9.92","9.49"
"40.090004",".33","-6.59","0.08"
"40.190002",".57","-4.71","7.41"
"40.29",".82","3.77","7.69"
"40.39",".31","-3.37","6.16"
"40.489998","4.75","-19.81","-10.51"
"40.6",".75","9.57","9.26"
"40.699997","0.90","12.51","8.47"
"40.800003",".65","3.73","-0.31"
"40.9","1.65","-1.73","7.30"
"41.0","2.67","7.57","17.61"
"41.11",".02","1.45","8.98"
"41.21","12.40","-0.90","6.16"
"41.309998",".94","-10.04","7.77"
"41.410004","0.39","19.06","18.44"
"41.510002",".77","-6.83","2.71"
"41.620003",".96","-5.33","-0.24"
"41.72","6.75","0.47","11.65"
"41.82","3.41","1.14","11.92"
"41.92","3.49","-4.04","0.71"
"42.019997","3.57","-5.41","-1.14"
"42.129997",".81","4.94","18.63"
"42.230003",".20","7.77","15.22"
"42.33",".47","-2.94","-0.47"
"42.43","4.90","6.39","-0.75"
"42.53",".01","-20.01","20.01"
"42.64","0.86","6.51","4.24"
