"NAME:","run_1_1.csv"
"EXPERIMENT TIME:","05/06/2023 18:42"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","136"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-1.22","3.06","-9.1"
"0.10107422","-3.53","2.59","-6.79"
"0.2019043","-4.04","6.28","-4.12"
"0.30297852","-1.8","9.73","0.47"
"0.40405273","-1.22","11.81","2.28"
"0.50512695","-0.9","11.1","1.96"
"0.60595703","-3.73","10.47","4.39"
"0.70703125","-0.71","17.34","9.89"
"0.80810547","2.43","20.01","9.77"
"0.90893555","0.04","11.77","2.04"
"1.0100098","3.3","0.47","-2.0"
"1.111084","1.22","-3.22","-6.55"
"1.2119141","-3.53","14.2","-6.43"
"1.3129883","-7.1","20.01","1.49"
"1.4140625","-6.16","3.57","0.55"
"1.5148926","-1.77","-2.43","1.45"
"1.6159668","-13.61","16.91","6.32"
"1.717041","-7.92","20.01","-4.2"
"1.8181152","6.16","-3.3","-4.39"
"1.9189453","5.22","-3.02","-3.45"
"2.0200195","-8.24","20.01","-9.14"
"2.1210938","-5.61","14.98","1.69"
"2.2219238","-1.96","-1.33","1.69"
"2.322998","-3.73","-4.16","0.12"
"2.4240723","-20.01","20.01","-3.33"
"2.5249023","2.47","14.4","-3.73"
"2.6259766","4.28","-5.06","-6.24"
"2.7270508","6.04","-2.2","-2.2"
"2.828125","-8.32","20.01","-17.81"
"2.928955","-5.14","7.88","1.18"
"3.0300293","-2.51","-2.39","1.26"
"3.1311035","3.3","-0.43","0.16"
"3.2319336","-3.88","20.01","-9.06"
"3.3330078","0.27","9.61","1.18"
"3.434082","5.69","2.31","4.43"
"3.534912","5.77","10.4","-6.63"
"3.6359863","-6.2","20.01","-12.59"
"3.7370605","-0.12","3.14","0.2"
"3.8378906","6.47","-6.94","-0.31"
"3.9389648","-3.45","8.08","6.67"
"4.040039","-0.71","17.02","-6.67"
"4.1411133","-4.51","5.18","-3.96"
"4.2419434","3.57","-4.63","-0.39"
"4.3430176","-1.49","20.01","-12.16"
"4.444092","-6.08","11.02","-7.88"
"4.544922","-2.55","-3.33","-2.35"
"4.645996","1.14","5.45","-8.94"
"4.7470703","-4.71","17.57","-8.98"
"4.8479004","-1.18","11.02","-7.1"
"4.9489746","1.1","1.26","2.0"
"5.050049","4.31","4.28","-1.84"
"5.151123","5.84","16.91","-16.51"
"5.251953","-1.53","4.82","-1.61"
"5.3530273","6.32","-5.41","0.75"
"5.4541016","7.85","16.87","-5.92"
"5.5549316","-0.78","19.93","-9.92"
"5.656006","0.63","5.53","-6.39"
"5.75708","0.2","1.84","0.39"
"5.85791","7.26","19.85","-5.49"
"5.9589844","-2.16","18.95","-12.08"
"6.0600586","-0.94","-0.67","2.31"
"6.1608887","6.83","2.63","-2.0"
"6.261963","-0.59","20.01","-10.63"
"6.363037","-4.71","-2.55","-1.61"
"6.4641113","-2.55","0.31","-2.86"
"6.5649414","1.65","-0.16","-0.59"
"6.6660156","3.1","20.01","-20.01"
"6.76709","-6.55","6.79","-7.41"
"6.86792","-2.0","-6.04","-2.79"
"6.968994","-3.33","4.39","-12.51"
"7.0700684","-1.22","16.24","-11.61"
"7.1708984","-1.65","9.41","-7.45"
"7.2719727","0.55","0.59","7.77"
"7.373047","8.04","2.55","-0.35"
"7.474121","7.34","14.24","-14.95"
"7.574951","-2.67","2.2","-0.16"
"7.6760254","4.24","-3.26","-0.86"
"7.7770996","0.08","18.51","-16.24"
"7.8779297","3.06","19.42","-7.06"
"7.979004","2.47","5.88","-11.06"
"8.080078","7.85","-0.55","6.43"
"8.180908","9.53","20.01","-5.22"
"8.281982","1.02","19.53","-11.14"
"8.383057","-0.78","-1.37","0.71"
"8.483887","4.55","-2.63","0.12"
"8.584961","6.2","20.01","-11.73"
"8.686035","-2.43","17.3","-11.14"
"8.787109","-2.35","4.51","-7.61"
"8.887939","0.2","0.24","-1.96"
"8.989014","7.45","20.01","1.02"
"9.090088","-0.59","13.3","-9.38"
"9.190918","-1.84","-1.69","1.1"
"9.291992","-0.94","7.61","-4.75"
"9.393066","1.77","15.49","-9.96"
"9.4938965","-1.57","12.04","-8.0"
