NAME:,walk_1_5.csv,,
EXPERIMENT TIME:,09/06/2023 20:06,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,125,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-10.221,0.259,-0.916
0.086,-10.26,0.141,-0.877
0.172,-10.221,0.22,-0.76
0.258,-10.299,0.141,-0.838
0.344,-10.182,0.141,-0.877
0.43,-10.26,0.102,-0.563
0.516,-10.495,-0.016,-0.681
0.602,-9.986,0.416,-0.956
0.688,-9.476,0.651,-0.838
0.774,-10.966,0.181,-0.25
0.86,-10.103,1.24,-1.034
0.946,-9.907,1.161,-0.524
1.032,-9.789,0.73,-0.524
1.118,-10.221,0.926,-0.406
1.204,-10.064,2.024,-0.485
1.29,-13.79,2.377,-1.936
1.376,-11.868,0.651,-5.114
1.462,-11.829,-0.251,-1.701
1.548,-9.789,0.259,-1.309
1.634,-7.044,-0.8,-0.367
1.72,-7.946,-0.29,1.79
1.806,-8.769,-0.29,-0.524
1.892,-12.653,0.141,1.084
1.978,-15.36,-4.213,-0.053
2.064,-10.495,0.22,-2.015
2.15,-8.534,-1.153,-1.073
2.236,-6.651,0.651,-1.269
2.322,-8.966,0.926,1.319
2.408,-11.202,0.259,-0.053
2.494,-17.125,-2.801,-0.406
2.58,-13.437,-2.918,-3.074
2.666,-10.182,0.494,-1.976
2.752,-4.729,0.024,-1.505
2.838,-7.71,-1.035,1.79
2.924,-9.789,-0.447,-0.053
3.01,-13.83,0.416,2.026
3.096,-16.615,-4.958,-0.838
3.182,-11.79,-2.958,-0.995
3.268,-7.083,-0.761,0.025
3.354,-7.318,0.181,-0.014
3.44,-8.691,1.75,-0.603
3.526,-9.868,4.299,0.378
3.612,-11.398,1.161,-5.702
3.698,-14.34,-0.957,-2.368
3.784,-8.416,-0.996,-0.093
3.87,-5.278,-0.604,-0.76
3.956,-7.475,-0.251,1.594
4.042,-13.751,-4.409,4.732
4.128,-16.026,-0.761,-4.251
4.214,-9.358,3.005,-4.8
4.3,-9.476,-3.154,-1.897
4.386,-6.259,0.22,-0.838
4.472,-8.142,2.103,0.496
4.558,-11.633,-0.172,1.045
4.644,-16.811,-2.251,-0.916
4.73,-13.594,-2.644,-2.917
4.816,-10.221,-0.212,-2.211
4.902,-4.925,0.494,-0.838
4.988,-7.357,-1.428,1.398
5.074,-9.672,0.612,-0.014
5.16,-13.673,0.612,0.339
5.246,-18.419,-4.644,0.182
5.332,-11.28,-2.33,-2.368
5.418,-7.24,-0.408,0.103
5.504,-7.2,0.494,0.849
5.59,-8.024,1.044,-1.073
5.676,-10.652,3.711,1.594
5.762,-12.653,0.926,-11.586
5.848,-16.066,-2.212,-4.055
5.934,-7.71,1.475,-0.367
6.021,-4.886,-0.329,0.3
6.107,-6.965,0.063,0.221
6.193,-15.438,-1.663,4.811
6.279,-13.477,-7.39,-7.624
6.365,-9.632,3.75,-6.447
6.451,-9.711,-3.86,-0.995
6.537,-6.102,0.73,-1.034
6.623,-8.573,1.593,0.378
6.709,-11.751,2.024,0.81
6.795,-16.026,-2.369,-2.015
6.881,-13.006,-4.527,-3.976
6.967,-10.064,0.651,-1.779
7.053,-4.533,-0.408,-0.563
7.139,-7.946,-0.565,2.143
7.225,-11.319,0.494,-1.309
7.311,-16.576,1.083,0.064
7.397,-10.692,-1.742,-2.995
7.483,-10.221,-2.958,-1.544
7.569,-7.357,-0.29,-0.563
7.655,-6.377,1.828,0.26
7.741,-13.124,0.024,0.025
7.827,-12.418,2.338,-1.505
7.913,-12.731,-1.114,-5.231
7.999,-10.26,0.926,-2.682
8.085,-6.259,0.063,-1.269
8.171,-7.044,-1.035,0.927
8.257,-9.319,0.22,1.437
8.343,-13.359,-0.839,3.124
8.429,-13.908,-2.84,0.143
8.515,-10.692,1.593,-2.525
8.601,-8.613,-1.545,-0.563
8.687,-6.063,1.004,0.182
8.773,-8.299,1.279,-0.289
8.859,-10.221,1.985,0.966
8.945,-17.007,0.063,-2.682
9.031,-12.692,-0.839,-3.27
9.117,-11.398,-0.722,-0.093
9.203,-4.533,-0.486,-0.563
9.289,-7.397,-0.486,1.633
9.375,-12.143,-0.369,0.692
9.461,-15.124,1.553,-0.76
9.547,-8.848,0.573,-4.721
9.633,-10.142,-2.722,-0.877
9.719,-7.161,-0.29,-0.014
9.805,-7.436,1.279,0.456
9.891,-11.515,-0.133,0.025
9.977,-13.594,0.455,-2.211
10.063,-12.692,-2.251,-2.368
10.149,-11.358,0.965,-1.466
10.235,-6.259,-0.016,-1.23
10.321,-6.769,-0.996,0.927
10.407,-9.083,-0.918,0.731
10.493,-12.025,1.553,4.026
10.579,-14.457,-4.801,-2.446
10.665,-10.025,0.926,-4.015
10.751,-9.476,-0.526,-0.132
10.837,-7.122,0.691,-0.642
10.923,-9.946,1.789,0.653
11.009,-10.927,1.867,-0.289
11.095,-16.379,-2.016,-0.642
11.181,-12.457,-3.036,-3.192
11.267,-9.907,-0.447,-2.015
11.353,-6.22,-0.133,-1.191
11.439,-8.809,-1.859,1.163
