NAME:,walk_5_2.csv,,
EXPERIMENT TIME:,05/06/2023 20:53,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,301,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,-0.08,-1.33,8.63
0.08999634,-0.47,-1.29,8.9
0.16999817,0.67,-3.06,7.18
0.2599945,0.35,-0.16,11.89
0.33999634,-0.2,-0.51,9.14
0.4300003,2.04,-0.04,8.51
0.51999664,0.27,1.06,7.88
0.5999985,1.77,0.0,10.0
0.6899948,1.69,-1.77,16.08
0.76999664,2.04,-2.94,7.88
0.8600006,0.9,-2.59,9.02
0.94999695,-0.12,-2.0,6.98
1.0299988,-1.92,-0.55,7.41
1.1199951,-0.78,0.16,9.65
1.199997,-1.29,-0.27,13.53
1.2899933,-1.33,-6.24,9.1
1.3799973,-0.63,-1.29,9.49
1.4599991,-1.61,-0.51,4.75
1.5499954,2.43,-0.31,5.92
1.6299973,0.31,1.88,9.02
1.7199936,1.26,-0.31,13.57
1.8099976,4.55,-6.79,11.85
1.8899994,0.04,-2.43,9.81
1.9799957,1.26,-2.12,4.55
2.0599976,-2.0,-1.1,6.51
2.149994,-0.98,-0.2,7.77
2.2399979,-2.43,-1.77,12.83
2.3199997,-0.98,-6.32,11.45
2.409996,-1.22,-1.73,11.06
2.4899979,-2.59,-0.9,4.0
2.5799942,1.77,-0.24,5.92
2.6699982,2.94,0.08,11.49
2.75,4.35,1.73,9.53
2.8399963,2.16,-7.49,12.43
2.9199982,0.78,-1.73,9.41
3.0099945,1.06,-0.31,5.14
3.0999985,-2.0,-1.41,7.45
3.1800003,-0.71,-0.63,8.63
3.2699966,-0.08,-0.59,11.89
3.3499985,1.77,-6.9,12.47
3.4399948,-0.78,0.04,8.16
3.5299988,-1.57,0.39,4.51
3.6100006,0.67,0.12,4.67
3.699997,0.43,1.22,6.43
3.7799988,3.22,1.61,9.89
3.869995,2.98,-8.08,13.49
3.959999,-1.29,-1.57,9.57
4.0399933,1.96,-0.55,4.16
