"NAME:","run_5_2.csv","",""
"EXPERIMENT TIME:","06/06/2023 14:02","",""
"ACTIVITY TYPE:","Running","",""
"COUNT OF ACTUAL STEPS:","145","",""

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","2.79","7.37","-0.08"
"0.08996582","2.59","7.65","2.16"
"0.17993164","5.84","8.08","4.98"
"0.27001953","5.10","6.86","-0.35"
"0.35998535","1.69","6.00","-2.00"
"0.44995117","1.96","15.22","-2.00"
"0.54003906","3.41","16.20","0.78"
"0.6300049","-1.61","4.04","0.27"
"0.7199707","1.57","0.63","-5.81"
"0.8099365","0.78","7.69","-3.96"
"0.9100342","6.24","19.69","4.94"
"1.0","6.04","4.39","2.20"
"1.0899658","2.04","-2.86","-1.69"
"1.1799316","-0.78","7.69","-5.96"
"1.2700195","3.14","19.93","2.82"
"1.3599854","2.79","19.89","-7.96"
"1.4499512","-6.24","-1.57","-5.02"
"1.5400391","1.57","-1.26","-6.24"
"1.6300049","5.61","17.97","0.12"
"1.7199707","3.33","8.87","2.75"
"1.8099365","6.24","-0.78","-1.69"
"1.9100342","-2.94","2.67","-2.43"
"2.0","7.45","19.85","1.18"
"2.0899658","-0.08","19.77","0.59"
"2.1799316","-2.75","5.30","-1.45"
"2.2700195","1.57","0.67","-5.45"
"2.3599854","4.24","20.01","-7.06"
"2.4499512","5.26","19.57","3.96"
"2.540039","2.90","1.26","-0.67"
"2.630005","0.43","3.45","-4.51"
"2.7199707","0.51","7.30","0.24"
"2.8199463","2.98","17.69","6.00"
"2.9100342","4.75","20.01","-5.77"
"3.0","-1.61","0.39","-4.16"
"3.0899658","0.75","-0.31","-4.59"
"3.1799316","2.86","14.67","1.26"
"3.2700195","3.65","6.35","2.08"
"3.3599854","6.04","1.06","-3.73"
"3.4499512","-1.61","2.24","-3.96"
"3.540039","6.79","14.59","3.26"
"3.6400146","-2.35","10.08","2.35"
"3.7299805","-4.86","1.57","-5.06"
"3.8199463","3.14","-1.26","-3.88"
"3.9100342","12.20","20.01","-8.08"
"4.0","5.96","15.49","4.28"
"4.089966","3.84","1.02","-1.02"
"4.1799316","1.18","2.00","-4.51"
"4.2700195","5.10","18.36","-3.18"
"4.3599854","1.14","19.89","2.39"
"4.449951","5.02","10.55","-0.71"
"4.540039","-1.41","0.20","-5.53"
"4.6400146","1.37","2.82","-9.73"
"4.7299805","3.37","15.18","3.69"
"4.8199463","3.06","4.71","2.79"
"4.910034","4.82","-2.28","-3.57"
"5.0","-0.67","3.18","-5.96"
"5.089966","3.33","14.47","-1.45"
"5.1799316","-0.43","11.41","-0.94"
"5.2700195","-2.59","0.39","-4.63"
"5.3599854","2.67","-0.43","-4.28"
"5.449951","7.49","20.01","-6.71"
"5.5499268","6.08","16.63","6.51"
"5.6400146","4.75","3.02","-1.92"
"5.7299805","0.39","2.79","-4.79"
"5.8199463","2.75","18.79","-3.10"
"5.910034","2.79","19.53","1.02"
"6.0","2.47","10.98","-1.61"
"6.089966","0.94","1.61","-4.79"
"6.1799316","-0.71","0.59","-5.22"
"6.2700195","3.77","15.73","3.92"
"6.369995","0.00","6.16","0.51"
"6.459961","5.81","-1.69","-3.92"
"6.5499268","-0.47","5.92","-5.22"
"6.6400146","5.49","17.06","-0.31"
"6.7299805","-2.86","8.39","-2.59"
"6.8199463","-2.90","0.04","-5.06"
"6.910034","1.61","-1.45","-4.55"
"7.0","1.45","18.36","-3.02"
"7.089966","2.98","12.04","1.29"
"7.1799316","4.04","1.18","-0.51"
"7.2800293","-0.16","2.20","-4.12"
"7.369995","4.43","15.02","-0.39"
"7.459961","1.92","19.22","0.35"
"7.5499268","-0.86","9.57","-2.20"
"7.6400146","0.98","1.65","-4.98"
"7.7299805","7.22","20.01","0.12"
"7.8199463","5.73","18.95","1.73"
"7.910034","6.16","4.86","-1.49"
"8.0","-0.08","0.43","-3.61"
"8.089966","1.77","19.73","-2.67"
"8.179932","4.47","20.01","1.29"
"8.280029","2.79","10.40","-1.33"
"8.369995","0.67","1.41","-4.67"
"8.459961","0.86","1.61","-7.22"
"8.549927","2.35","13.42","2.16"
"8.640015","1.45","7.45","2.39"
"8.72998","4.16","0.16","-3.10"
"8.819946","-3.84","0.04","0.08"
"8.910034","5.30","17.50","1.84"
"9.0","-0.43","12.00","-0.71"
"9.089966","-3.77","3.18","-4.12"
