NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,08/06/2023 17:38,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,53,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
1.6319962,0,-6.08,-7.18
2.687996,-0.75,-10.43,-10.51
2.7389908,-0.08,-6.67,-7.65
2.790001,0.2,-4.39,-5.49
2.8409958,-0.9,-5.81,-8.24
2.8919907,0.12,-4.94,-8.43
2.9430008,0.12,-4.47,-7.37
2.9939957,-2.28,-5.26,-10.63
3.0449905,-0.31,-5.57,-10.83
3.0960007,0.2,-10.2,-9.18
3.1469955,2.08,-12.67,-5.02
3.2999954,0.08,-5.26,-7.1
3.3509903,1.41,-3.22,-4.9
3.4020004,1.18,-4.24,-6.43
3.4529953,-0.9,-3.84,-8.55
3.5039902,2,-5.84,-10.12
3.5550003,0.86,-11.1,-11.02
3.6059952,0.9,-2.51,-11.14
3.65699,-0.82,-16.51,-10.83
3.7080002,2.9,-5.26,-4
3.758995,0.16,-8.47,-7.65
3.80999,0.31,-8.39,-7.57
3.861,0,-4.59,-5.81
3.911995,-0.59,-5.73,-7.69
3.9629898,-0.9,-4.82,-8.55
4.014,-0.43,-4.43,-8.24
4.064995,-0.51,-6.51,-8.98
4.1159897,-1.92,-3.88,-10.67
4.167,-0.63,-8.47,-10.04
4.2179947,0.35,-12.59,-5.53
4.2689896,2.24,-8.2,-8.59
4.3199997,-1.61,-6.94,-13.38
4.3709946,-0.47,-5.33,-7.61
4.4220047,1.29,-3.61,-5.14
4.4729996,1.06,-4.16,-5.77
4.5239944,0.47,-4.31,-7.69
4.5750046,0.94,-4.75,-9.73
4.6259995,0.27,-8.51,-12.04
4.6769943,3.06,-4,-12.47
4.7280045,0.08,-12.47,-11.77
4.7789993,1.41,-6.94,-4.55
4.829994,0.43,-8.12,-7.1
4.8810043,0.43,-7.77,-7.65
4.931999,0.08,-5.3,-7.1
4.982994,-0.24,-5.41,-6.79
5.034004,-0.63,-5.22,-8.2
5.084999,-1.06,-4.31,-8.98
5.135994,-0.82,-5.1,-8.87
5.187004,-0.55,-6.79,-9.22
5.237999,-2.08,-4.28,-10.24
5.288994,-1.18,-9.53,-6.83
5.340004,1.02,-13.89,-9.02
5.390999,-1.18,-5.69,-12
5.4419937,-1.49,-4.9,-8.98
5.493004,-1.18,-7.69,-6.35
5.5439987,-0.12,-4,-7.22
5.5949936,-2.55,-3.77,-8.71
5.6460037,-1.65,-7.18,-9.53
5.6969986,-4.16,-5.02,-10
5.7479935,-4.31,-15.49,-1.96
5.7990036,-0.24,-10.55,-4.08
