"NAME:","walk_3_1.csv"
"EXPERIMENT TIME:","08/06/2023 09:20"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","107"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","0.59","-9.22","1.69"
"0.091","1.45","-9.02","1.57"
"0.188","2.28","-7.3","1.14"
"0.291","0.2","-10.43","3.1"
"0.39","0.43","-6.83","1.8"
"0.513","0.86","-9.22","2.16"
"0.58","1.61","-11.57","1.84"
"0.705","1.33","-12.43","2.2"
"0.814","1.06","-11.02","0.16"
"0.905","0.59","-7.34","-1.1"
"0.995","-0.24","-7.92","0.27"
"1.089","0.82","-8.36","0.08"
"1.205","0.67","-10.0","1.61"
"1.322","0.86","-11.92","1.69"
"1.42","2.43","-11.77","-1.06"
"1.509","1.45","-8.04","-0.35"
"1.599","1.18","-7.14","0.12"
"1.7","0.67","-8.08","1.22"
"1.798","0.94","-10.2","1.53"
"1.903","0.75","-11.89","1.26"
"1.997","0.08","-11.69","0.9"
"2.101","0.98","-6.71","-1.1"
"2.199","-0.12","-4.67","0.24"
"2.301","1.06","-9.18","0.78"
"2.4","1.33","-11.49","1.49"
"2.509","2.47","-11.57","0.31"
"3.035","0.12","-10.55","0.35"
"3.04","2.12","-8.63","-1.96"
"3.111","2.12","-6.71","-0.47"
"3.119","0.55","-10.83","1.22"
"3.127","0.71","-12.87","1.84"
"3.136","1.29","-12.12","0.27"
"3.202","0.98","-8.98","-2.39"
"3.309","0.67","-6.98","0.63"
"3.414","0.59","-8.83","1.73"
"3.514","2.55","-10.75","0.63"
"3.624","2.28","-13.38","1.69"
"3.721","1.18","-7.57","0.04"
"3.837","0.0","-6.94","1.33"
"3.915","0.9","-7.53","1.06"
"4.029","2.08","-11.1","1.41"
"4.129","1.14","-10.71","2.31"
"4.219","1.57","-10.87","0.04"
"4.329","-0.16","-8.79","0.24"
"4.424","1.14","-6.24","0.04"
"4.525","1.61","-9.69","1.45"
"4.634","2.94","-10.47","0.35"
"4.733","-0.78","-12.59","3.14"
"4.833","0.16","-8.59","0.67"
"4.918","0.31","-8.08","0.55"
"5.024","2.55","-9.57","0.04"
"5.125","1.26","-9.34","1.14"
"5.221","2.94","-10.47","-0.31"
"5.351","0.63","-12.32","0.31"
"5.457","0.51","-7.06","0.12"
"5.587","1.22","-6.04","0.24"
"5.689","2.28","-9.89","0.47"
"5.734","1.77","-14.36","1.14"
"5.833","3.49","-12.24","-2.47"
"5.937","2.0","-7.92","-1.18"
"6.041","0.86","-6.08","-0.08"
"6.143","1.37","-7.26","0.98"
"6.248","1.96","-12.12","1.8"
"6.351","2.31","-15.61","0.39"
"6.455","1.88","-5.84","-1.26"
"6.559","0.86","-5.57","-0.08"
"6.65","2.08","-7.77","0.2"
"6.751","2.9","-12.16","0.51"
"6.855","3.1","-13.3","-0.43"
"6.953","2.12","-8.32","-1.22"
"7.058","0.9","-5.37","-0.67"
"7.152","1.1","-7.02","0.67"
"7.258","1.29","-12.91","1.18"
"7.364","3.37","-11.22","-1.45"
"7.466","0.35","-12.0","-0.39"
"7.546","0.47","-6.71","-0.43"
"7.651","1.33","-5.41","0.0"
"7.752","1.61","-9.45","1.26"
"7.858","2.47","-14.4","0.55"
"7.967","2.86","-11.34","-1.73"
"8.05","1.37","-6.98","-0.35"
"8.545","2.31","-5.1","-0.94"
"8.557","1.57","-9.92","1.02"
"8.565","1.73","-11.69","0.59"
"8.586","-0.31","-15.34","4.2"
"8.593","1.49","-7.22","-2.24"
"8.666","0.35","-6.71","0.82"
"8.763","1.41","-7.57","0.0"
"8.868","2.39","-10.36","-0.04"
"8.966","1.02","-13.49","-0.27"
"9.076","2.2","-7.18","-0.59"
"9.182","0.67","-6.47","0.12"
"9.297","1.41","-7.37","0.35"
"9.373","1.61","-11.57","1.18"
"9.478","2.39","-12.08","0.27"
"9.585","1.29","-10.75","-1.57"
"9.685","1.61","-5.65","-2.39"
"9.793","2.28","-6.47","-1.29"
"9.889","1.65","-10.24","0.31"
"9.981","1.88","-11.73","1.33"
"10.089","4.2","-13.45","-2.2"
"10.189","3.41","-8.16","-2.51"
"10.286","0.59","-6.24","-0.27"
"10.386","1.02","-7.88","0.94"
"10.494","1.96","-11.92","1.29"
"10.599","1.73","-10.36","0.35"
"10.701","1.33","-10.36","-1.65"
"10.804","0.67","-7.85","-0.59"
"10.903","1.57","-6.32","-0.39"
"11.002","2.63","-10.0","0.12"
"11.096","1.84","-13.73","1.02"
"11.199","3.14","-10.08","-1.49"
"11.3","1.29","-8.24","-1.18"
"11.402","1.53","-7.22","-0.55"
"11.502","1.61","-9.65","0.9"
"11.603","0.86","-12.32","0.82"
"11.701","2.35","-10.51","-0.27"
"11.806","0.98","-7.45","-1.96"
"11.9","0.35","-6.39","-0.04"
"12.0","0.31","-8.51","0.94"
"12.106","1.84","-10.04","0.67"
"12.214","2.67","-14.47","0.35"
"12.304","2.43","-10.0","-1.65"
"12.406","2.35","-8.63","-2.16"
"12.509","0.98","-6.43","-0.27"
"12.609","1.49","-11.57","0.94"
"12.781","1.29","-11.89","-0.04"
"12.816","1.37","-9.69","-2.9"
"12.908","-1.57","-5.02","2.08"
"13.011","0.59","-6.12","0.04"
"13.166","1.22","-10.0","0.63"
"13.242","2.63","-10.98","-0.75"
"13.366","2.24","-13.22","-0.08"
"13.494","3.02","-7.81","-1.73"
"13.566","0.24","-7.02","0.43"
"14.051","1.18","-8.08","0.67"
"14.061","1.65","-11.18","0.63"
"14.072","1.41","-10.51","-0.08"
"14.086","1.88","-13.14","-1.61"
"14.093","0.86","-8.63","-1.14"
"14.127","0.94","-6.75","-0.51"
"14.24","0.67","-9.14","0.39"
"14.344","2.0","-11.89","0.71"
"14.422","3.26","-11.14","-0.55"
"14.528","1.18","-7.3","-0.16"
"14.635","0.75","-7.06","1.29"
"14.739","1.22","-7.81","0.24"
"14.835","2.51","-10.59","0.27"
"14.943","2.0","-11.61","-0.27"
"15.05","1.33","-11.57","0.08"
"15.151","0.59","-7.06","-0.35"
"15.258","0.63","-6.59","-0.24"
"15.341","1.88","-8.32","-0.82"
"15.453","1.37","-9.89","0.31"
"15.542","1.73","-12.87","0.12"
"15.656","1.33","-9.1","-0.31"
"15.755","0.43","-7.85","-0.43"
"15.856","1.06","-7.49","-0.35"
"15.958","1.53","-10.59","0.31"
"16.085","0.9","-12.24","0.51"
"16.14","2.51","-13.69","-1.92"
"16.244","1.53","-7.34","-2.55"
"16.344","1.14","-5.77","-0.94"
"16.441","1.06","-10.0","0.67"
"16.565","2.47","-10.94","0.08"
"16.646","1.22","-12.75","1.57"
"16.753","2.79","-8.55","-0.63"
"16.853","0.71","-7.1","0.16"
"16.962","1.02","-7.88","0.47"
"17.066","2.2","-11.02","-0.31"
"17.157","3.8","-11.49","-1.61"
"17.254","0.71","-12.4","0.43"
"17.376","2.2","-7.49","-0.86"
"17.465","1.29","-7.22","0.43"
"17.56","1.37","-8.63","0.39"
"17.667","2.0","-11.65","0.67"
"17.761","2.9","-12.67","-0.16"
"17.858","2.24","-9.65","-0.9"
"17.968","1.49","-7.45","-0.59"
"18.068","0.78","-7.96","0.71"
"18.174","1.77","-10.79","0.39"
"18.279","2.2","-10.47","-0.63"
"18.378","2.12","-13.14","-1.33"
"18.487","1.26","-8.67","-1.65"
"18.587","0.78","-7.02","-0.2"
"18.692","1.22","-8.59","0.08"
"18.765","1.65","-11.77","0.39"
"18.863","2.79","-13.38","0.43"
"18.976","1.88","-9.06","-0.39"
"19.081","1.37","-7.02","-0.39"
"20.035","1.77","-8.39","-0.2"
"20.531","1.29","-9.1","0.47"
"20.571","1.45","-11.26","0.04"
"20.58","1.18","-10.55","0.08"
"20.586","1.18","-9.57","-1.53"
"20.591","0.08","-6.28","0.71"
"20.598","1.65","-8.08","0.24"
"20.603","2.16","-10.4","0.0"
"20.609","2.28","-11.61","0.35"
"20.613","2.08","-10.24","-0.59"
"20.619","1.69","-8.55","-1.29"
"20.632","1.61","-7.53","-0.82"
"20.663","2.35","-9.85","0.24"
"20.698","1.02","-9.73","-1.1"
"20.789","0.51","-7.06","0.08"
"20.876","1.02","-8.71","0.27"
"20.998","2.12","-8.98","-0.43"
"21.091","-0.78","-12.36","2.67"
"21.192","2.47","-10.59","-0.59"
"21.296","3.1","-8.12","-1.77"
"21.39","1.26","-7.53","0.43"
"21.506","1.22","-9.14","0.98"
"21.589","1.92","-11.18","0.27"
"21.721","2.55","-12.67","-0.2"
"21.798","0.82","-6.59","-1.88"
"21.914","0.04","-6.39","0.67"
"22.015","1.06","-8.94","0.16"
"22.099","2.0","-10.71","0.24"
"22.216","2.94","-12.04","0.16"
"22.303","1.49","-8.55","-0.12"
"22.401","0.39","-7.73","0.31"
"22.507","0.71","-7.53","0.31"
"22.632","2.04","-10.04","0.04"
"22.706","1.69","-11.69","0.2"
"22.816","3.1","-17.77","-0.9"
"22.927","1.1","-7.57","-1.61"
"23.011","0.59","-4.82","0.31"
"23.115","0.94","-8.16","-0.08"
"23.215","2.55","-12.04","0.04"
"23.311","2.63","-11.89","0.43"
"23.415","2.75","-9.61","-0.35"
"23.514","0.98","-6.04","-0.39"
"23.612","0.94","-7.69","0.16"
"23.715","2.08","-10.51","0.16"
"23.874","2.08","-11.38","0.35"
"23.926","1.02","-12.87","-0.98"
"24.031","0.35","-7.65","-1.69"
"24.111","0.0","-5.96","0.08"
"24.214","1.57","-8.04","0.2"
"24.312","3.26","-11.85","0.08"
"24.43","2.04","-12.0","-0.16"
"24.516","1.18","-9.34","-0.04"
"24.627","0.47","-7.57","0.35"
"24.741","1.26","-8.83","0.71"
"24.841","1.61","-9.61","0.55"
"24.944","1.88","-10.32","-0.67"
"25.039","1.02","-13.45","-0.9"
"25.164","-0.51","-10.83","-3.3"
"25.241","0.04","-7.34","1.18"
"25.34","1.26","-8.28","0.16"
"25.446","1.18","-11.41","0.82"
"25.54","2.0","-12.4","0.16"
"26.045","0.78","-8.36","0.27"
"26.055","1.1","-8.36","-0.08"
"26.066","1.26","-8.0","0.12"
"26.076","1.69","-8.98","0.04"
"26.095","1.22","-11.57","0.55"
