"NAME:","run_5_3.csv","",""
"EXPERIMENT TIME:","08/06/2023 01:53","",""
"ACTIVITY TYPE:","Running","",""
"COUNT OF ACTUAL STEPS: ","150","",""
"","","",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","0.00","-11.92","-6.39"
"0.07098389","0.47","-10.12","-3.73"
"0.14196777","0.12","-9.81","-4.82"
"0.21295166","-0.63","-8.51","-4.59"
"0.28399658","-0.55","-8.90","-6.98"
"0.35498047","-1.02","-7.18","-7.22"
"0.42596436","-0.94","-5.96","-8.75"
"0.49700928","1.22","-5.81","-10.24"
"0.56799316","-0.86","-5.45","-9.85"
"0.63897705","-4.82","-6.94","-7.14"
"0.70996094","-5.10","-7.41","-7.81"
"0.78100586","-0.67","-10.16","-10.59"
"0.85198975","1.18","-14.79","-7.18"
"0.92297363","2.08","-10.79","-5.88"
"0.9939575","2.67","-1.84","-4.86"
"1.0650024","0.94","-1.84","1.22"
"1.1359863","0.90","-20.01","2.39"
"1.2069702","4.12","-15.57","-6.04"
"1.2779541","0.16","-14.24","-19.61"
"1.348999","-2.31","-4.28","-2.75"
"1.4199829","-3.14","1.22","-2.55"
"1.4909668","0.47","-6.35","-5.92"
"1.5619507","-5.26","-15.77","-17.85"
"1.6329956","-2.94","-11.65","-10.32"
"1.7039795","3.49","-13.93","-10.40"
"1.7749634","1.45","-5.57","-6.51"
"1.8460083","3.33","-1.84","-3.49"
"1.9169922","-0.82","-0.71","1.53"
"1.9879761","0.39","-20.01","-10.40"
"2.05896","4.12","-14.20","-12.91"
"2.130005","0.67","-12.40","-13.85"
"2.2009888","-1.18","0.47","-1.53"
"2.2719727","-1.26","-2.67","0.71"
"2.3429565","7.45","-8.39","0.43"
"2.4140015","0.78","-20.01","-0.86"
"2.4849854","5.26","-20.01","-14.28"
"2.5559692","0.67","-13.38","-12.32"
"2.6269531","-0.24","-2.71","-6.43"
"2.697998","3.61","-2.90","-2.67"
"2.768982","0.67","-0.78","0.08"
"2.8399658","1.45","-20.01","-10.08"
"2.9110107","5.22","-15.85","-15.30"
"2.9819946","0.16","-10.55","-12.40"
"3.0529785","-1.29","4.51","4.24"
"3.1239624","-0.59","-7.69","-4.75"
"3.1950073","3.61","-5.14","1.22"
"3.2659912","-2.71","-20.01","0.86"
"3.336975","7.18","-20.01","-14.51"
"3.407959","5.02","-20.01","-15.69"
"3.479004","0.00","-1.57","3.41"
"3.5499878","1.22","0.67","-2.47"
"3.6209717","-3.22","-4.20","-2.16"
"3.6919556","0.27","-19.22","-1.26"
"3.7630005","6.08","-17.77","-16.55"
"3.8339844","3.61","-6.59","-8.98"
"3.9049683","-2.82","0.39","3.30"
"3.9759521","-3.06","-4.71","0.86"
