"NAME:","walk_2_1.csv","",""
"EXPERIMENT TIME:","06/06/2023 13:40","",""
"ACTIVITY TYPE:","Walking","",""
"COUNT OF ACTUAL STEPS:","110","",""

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-2.75","9.14","1.65"
"0.090026855","-2.08","8.90","1.29"
"0.1800232","-2.86","8.71","1.26"
"0.27001953","-3.49","8.87","2.08"
"0.37002563","-3.30","8.00","1.73"
"0.46002197","-3.06","9.02","2.55"
"0.5500183","-7.34","12.94","2.71"
"0.64001465","-4.67","5.96","-1.92"
"0.730011","-0.51","8.63","-0.90"
"0.8200073","-1.33","8.12","-2.28"
"0.91000366","0.47","8.47","-4.00"
"1.0","2.08","8.12","-3.61"
"1.0900269","-1.88","10.71","-3.14"
"1.1800232","-1.29","15.46","-7.65"
"1.2799988","-0.39","10.28","-5.33"
"1.3700256","0.16","6.71","-4.71"
"1.460022","-2.79","6.35","-0.98"
"1.5500183","-2.59","7.02","0.00"
"1.6400146","-2.55","8.94","1.65"
"1.730011","-5.18","11.53","5.45"
"1.8200073","-4.79","13.65","-5.57"
"1.9100037","1.14","10.00","-4.71"
"2.0","-2.67","7.22","-3.06"
"2.0900269","1.10","8.94","-3.65"
"2.1800232","0.86","9.18","-2.90"
"2.2799988","-0.63","9.77","-3.18"
"2.3700256","2.86","12.71","-5.02"
"2.460022","0.67","8.63","-9.38"
"2.5500183","-1.14","9.49","-1.84"
"2.6400146","-1.92","7.06","-0.90"
"2.730011","-2.67","7.06","0.78"
"2.8200073","-1.61","6.16","1.22"
"2.9100037","-0.98","20.01","-5.33"
"3.0","-6.43","7.10","0.39"
"3.0900269","-4.59","7.92","-2.31"
"3.1900024","-0.86","9.10","-2.55"
"3.2799988","-0.04","6.55","-3.26"
"3.3700256","1.49","9.38","-3.53"
"3.460022","-0.12","10.36","-3.30"
"3.5500183","0.51","14.44","-6.08"
"3.6400146","-0.47","11.92","-10.87"
"3.730011","-2.24","10.71","-3.06"
"3.8200073","-0.27","6.00","-2.43"
"3.9100037","-3.88","7.45","-0.16"
"4.0","-2.59","6.24","1.22"
"4.100006","0.94","16.04","-7.81"
"4.1900024","-6.75","9.26","-1.29"
"4.279999","-4.51","6.67","-1.61"
"4.3700256","-1.29","9.77","-2.39"
"4.460022","-0.98","6.79","-2.86"
"4.5500183","1.29","8.87","-2.98"
"4.6400146","0.63","9.02","-4.12"
"4.730011","-0.94","12.98","-6.24"
"4.8200073","0.47","9.53","-8.08"
"4.9100037","-1.84","10.04","-3.92"
"5.01001","0.59","6.67","-3.88"
"5.100006","-2.79","7.18","-0.47"
"5.1900024","-2.55","5.84","0.82"
"5.279999","-2.75","9.49","-0.71"
"5.3700256","-5.02","11.81","0.00"
"5.460022","-4.28","11.81","-6.24"
"5.5500183","-0.39","8.87","-5.22"
"5.6400146","-2.71","6.12","-2.12"
"5.730011","1.61","9.41","-4.47"
"5.8200073","0.63","7.77","-2.31"
"5.9200134","-0.35","11.18","-4.55"
"6.01001","0.51","12.12","-7.14"
"6.100006","-0.90","10.40","-6.51"
"6.1900024","-0.59","8.39","-4.71"
"6.279999","-2.28","7.45","-0.82"
"6.3700256","-3.65","7.06","0.31"
"6.460022","-2.20","7.45","2.31"
"6.5500183","-3.14","15.02","2.20"
"6.6400146","-7.34","7.57","-1.37"
"6.7400208","-1.73","6.94","-4.08"
"6.830017","-2.35","8.83","-2.86"
"6.9200134","0.75","7.61","-4.08"
"7.01001","0.55","9.22","-2.82"
"7.100006","0.24","10.47","-4.35"
"7.1900024","-0.12","12.51","-5.10"
"7.279999","-0.71","11.45","-11.06"
"7.3700256","-1.37","9.92","-2.08"
"7.460022","-0.08","6.98","-2.16"
"7.5500183","-3.14","8.28","-0.24"
"7.6500244","-3.02","6.12","0.55"
"7.7400208","0.75","18.99","-5.81"
"7.830017","-4.94","6.32","-2.86"
"7.9200134","-5.41","4.55","0.59"
"8.01001","-2.00","8.90","-2.63"
"8.100006","-0.39","7.49","-3.57"
"8.190002","1.61","9.65","-3.30"
"8.279999","0.39","8.79","-3.02"
"8.370026","-1.22","13.81","-6.20"
"8.460022","-1.73","11.41","-9.26"
"8.559998","-2.12","10.90","-3.30"
"8.650024","-0.24","7.73","-3.33"
"8.740021","-3.37","7.96","0.51"
"8.830017","-2.35","6.28","0.78"
"8.920013","-2.51","8.43","1.84"
"9.01001","-2.98","11.61","4.39"
"9.100006","-4.67","15.73","-5.92"
"9.190002","0.55","9.92","-4.82"
"9.279999","-1.77","6.94","-3.02"
"9.370026","1.29","8.20","-4.04"
"9.470001","0.90","8.43","-3.37"
"9.559998","-0.55","10.98","-4.00"
"9.650024","0.31","13.45","-5.30"
"9.740021","1.33","11.53","-11.49"
"9.830017","-2.35","10.00","-3.06"
"9.920013","0.31","7.02","-3.02"
"10.01001","-3.26","7.45","-1.06"
"10.100006","-2.86","6.12","0.63"
"10.190002","-2.79","10.83","-0.51"
"10.279999","-1.73","9.69","1.80"
"10.370026","-3.96","15.18","-7.81"
"10.470001","1.22","9.81","-4.31"
"10.559998","-1.96","7.30","-1.69"
"10.650024","0.47","8.79","-3.49"
"10.740021","0.51","9.30","-3.14"
"10.830017","0.98","9.81","-4.82"
"10.920013","-0.43","12.43","-4.24"
"11.01001","2.24","8.24","-10.51"
"11.100006","-0.78","9.53","-2.08"
"11.190002","-0.59","6.28","-2.71"
"11.279999","-2.71","7.73","0.55"
"11.380005","-2.12","6.00","1.53"
"11.470001","0.35","17.06","-6.12"
"11.559998","-5.57","8.63","-1.96"
"11.650024","-5.26","6.79","-0.27"
"11.740021","-0.55","9.14","-3.49"
"11.830017","-1.73","7.69","-3.41"
"11.920013","1.10","9.73","-3.30"
"12.01001","0.20","7.92","-2.75"
"12.100006","-1.26","12.12","-5.92"
"12.200012","2.94","12.83","-6.43"
"12.290009","-0.90","7.81","-8.75"
"12.380005","-0.82","9.30","-2.82"
"12.470001","-1.65","7.30","-1.80"
"12.559998","-2.82","7.06","0.16"
"12.650024","-2.00","7.22","2.79"
"12.740021","-2.71","13.49","5.33"
"12.830017","-6.75","6.94","-1.06"
"12.920013","-3.69","7.26","-2.67"
"13.02002","-2.47","8.63","-3.14"
"13.110016","0.47","7.73","-3.53"
"13.200012","1.26","9.49","-3.37"
"13.290009","-0.43","9.49","-2.67"
"13.380005","-0.20","13.53","-5.37"
"13.470001","-0.71","11.10","-9.92"
"13.559998","-2.86","11.45","-4.24"
"13.650024","1.26","7.61","-2.98"
"13.740021","-4.24","7.30","-0.31"
"13.830017","-2.08","5.37","1.26"
"13.930023","-0.20","14.63","-3.88"
"14.02002","-6.04","7.10","-1.73"
"14.110016","-5.10","7.92","-0.47"
"14.200012","0.39","10.36","-4.47"
"14.290009","-1.73","6.67","-2.31"
"14.380005","0.98","8.94","-4.12"
"14.470001","0.20","8.39","-3.02"
"14.559998","-1.80","12.91","-5.92"
"14.650024","1.73","12.16","-8.39"
"14.740021","0.75","8.55","-5.73"
"14.840027","0.75","7.41","-3.18"
"14.930023","-3.06","6.20","-0.67"
"15.02002","-2.43","6.39","0.82"
"15.110016","-2.28","9.02","-0.39"
"15.200012","-2.82","10.20","4.00"
"15.290009","-1.26","18.01","-7.77"
"15.380005","-0.51","9.69","-2.28"
"15.470001","-2.04","7.37","-1.84"
"15.559998","0.90","8.51","-3.96"
"15.650024","1.33","8.79","-2.59"
"15.75","-1.02","11.57","-5.33"
"15.840027","2.28","12.63","-5.14"
"15.930023","-2.94","9.73","-8.55"
"16.02002","-0.98","9.69","-3.96"
"16.110016","-1.69","6.28","-1.88"
"16.200012","-3.77","7.81","-0.04"
"16.290009","-1.10","7.53","2.24"
"16.380005","-3.18","11.45","9.69"
"16.470001","-5.41","13.42","-3.57"
"16.559998","-1.61","8.12","-2.75"
"16.660004","-3.06","8.47","-2.94"
"16.75","1.57","8.24","-3.80"
"16.840027","0.43","8.94","-3.33"
"16.930023","0.20","10.47","-3.53"
"17.02002","-1.02","12.59","-4.43"
"17.110016","-0.39","11.65","-10.16"
"17.200012","-3.22","11.22","-4.71"
"17.290009","0.71","6.79","-3.30"
"17.380005","-3.53","6.86","-0.20"
"17.470001","-2.63","6.20","0.63"
"17.570007","-2.47","11.65","-1.80"
"17.660004","-2.31","11.06","0.31"
"17.75","-4.79","10.59","-2.67"
"17.840027","-0.51","10.08","-5.53"
"17.930023","-1.84","7.10","-3.14"
"18.02002","1.37","9.45","-3.26"
"18.110016","0.47","8.12","-2.86"
"18.200012","-1.10","11.02","-4.35"
"18.290009","1.18","12.47","-7.34"
"18.380005","-2.51","12.28","-6.20"
"18.480011","-0.47","7.45","-3.92"
"18.570007","-2.79","6.59","0.35"
"18.660004","-3.02","6.43","0.63"
"18.75","-2.55","10.00","0.08"
"18.840027","-3.69","14.00","1.06"
"18.930023","-5.45","12.94","-6.47"
"19.02002","0.00","9.10","-4.00"
"19.110016","-1.77","7.14","-2.20"
"19.200012","1.77","9.22","-4.59"
"19.300018","0.94","8.20","-3.22"
"19.390015","-0.43","10.36","-5.49"
"19.480011","2.35","12.94","-6.24"
"19.570007","0.35","9.18","-8.63"
"19.660004","-3.73","11.61","-1.65"
"19.75","-1.26","6.94","-1.14"
"19.840027","-2.82","6.51","0.55"
"19.930023","-2.08","6.86","2.35"
"20.02002","-2.20","13.45","11.06"
"20.110016","-5.69","12.71","-4.31"
"20.210022","-0.94","9.26","-2.51"
"20.300018","-2.39","8.63","-3.06"
"20.390015","0.55","8.16","-3.92"
"20.480011","0.82","8.90","-3.30"
"20.570007","0.47","10.55","-4.63"
"20.660004","2.16","13.49","-6.28"
"20.75","0.51","7.10","-8.20"
"20.840027","-2.12","11.89","-4.20"
"20.930023","0.00","6.94","-2.04"
"21.02002","-2.55","6.32","0.43"
"21.120026","-2.39","5.69","0.86"
"21.210022","-0.31","19.30","-4.82"
"21.300018","-5.65","9.10","-0.55"
"21.390015","-4.79","8.87","-2.79"
"21.480011","-0.86","9.53","-2.67"
"21.570007","-1.14","6.94","-2.55"
"21.660004","1.77","8.36","-2.94"
"21.75","0.16","8.79","-3.14"
"21.840027","-1.69","11.22","-5.02"
"21.930023","0.90","13.18","-7.49"
"22.029999","-0.39","9.26","-7.77"
"22.120026","-0.16","9.34","-4.39"
"22.210022","-1.37","7.37","-0.94"
"22.300018","-2.71","6.47","-0.47"
"22.390015","-2.55","7.37","2.12"
"22.480011","-1.61","13.45","8.79"
"22.570007","-5.33","13.34","-2.43"
"22.660004","-0.67","9.53","-2.31"
"22.75","-1.92","8.55","-2.59"
"22.840027","0.63","8.43","-3.49"
"22.930023","0.75","9.10","-3.65"
"23.029999","-0.16","10.51","-3.84"
"23.120026","0.00","12.75","-4.59"
"23.210022","0.75","11.02","-9.92"
"23.300018","-2.55","11.38","-4.75"
"23.390015","0.78","5.65","-3.33"
"23.480011","-4.86","7.41","0.55"
"23.570007","-2.51","6.47","1.41"
"23.660004","0.55","13.53","-3.53"
"23.75","-5.57","8.51","-0.71"
"23.840027","-4.71","4.00","-0.16"
"23.940002","-0.04","9.89","-4.24"
"24.029999","-1.49","7.06","-3.45"
"24.120026","0.35","8.75","-3.30"
"24.210022","0.27","8.59","-2.82"
"24.300018","-0.71","11.22","-4.55"
"24.390015","0.16","11.38","-6.98"
"24.480011","-0.67","8.90","-6.28"
"24.570007","-0.08","9.65","-5.18"
"24.660004","-1.22","6.20","0.08"
"24.75","-2.79","7.22","0.04"
"24.850006","-3.10","8.75","1.10"
"24.940002","-1.77","11.73","8.43"
"25.029999","-5.30","14.87","-3.77"
"25.120026","-0.39","9.96","-2.43"
"25.210022","-2.39","8.51","-3.10"
"25.300018","0.63","8.39","-3.84"
"25.390015","1.10","8.51","-3.26"
"25.480011","-0.31","10.67","-3.61"
"25.570007","1.41","12.79","-4.59"
"25.660004","0.08","12.00","-11.06"
"25.76001","-4.20","12.71","-3.02"
"25.850006","0.35","6.63","-3.96"
"25.940002","-3.18","5.92","-0.12"
"26.029999","-2.71","6.63","1.57"
"26.120026","1.77","18.71","-4.98"
"26.210022","-5.30","6.94","-2.63"
"26.300018","-4.16","9.06","-2.47"
"26.390015","-1.57","8.67","-2.51"
"26.480011","-0.86","7.14","-3.49"
"26.570007","0.75","8.94","-3.92"
