NAME:,run_3_2.csv,,
EXPERIMENT TIME:,12/06/2023 22:38,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,2.31,-9.02,1.61
0.082,2.39,-9.14,1.57
0.165,2.35,-9.1,1.37
0.247,2.47,-9.06,1.69
0.329,2.47,-9.02,1.57
0.411,2.59,-8.98,1.22
0.493,2.71,-9.06,1.18
0.575,2.51,-9.06,1.02
0.657,2.71,-8.94,1.37
0.74,2.08,-9.26,1.29
0.822,2,-9.22,1.02
0.905,2.35,-9.22,1.57
0.987,2.82,-8.87,1.02
1.069,1.88,-8.83,1.53
1.151,2.43,-8.67,1.8
1.233,1.49,-8.67,1.18
1.315,1.22,-10.87,0.24
1.397,4.94,-7.65,1.61
1.48,4.04,-12.87,-0.35
1.562,-0.39,-14.4,6
1.645,-1.22,-5.06,2.67
1.727,-0.04,-1.1,0.9
1.81,4.12,-12.32,7.81
1.892,9.3,-20.01,1.06
1.975,4.63,-5.26,-2.82
2.057,2.12,2.31,0.12
2.14,-4.94,-3.26,-1.14
2.222,14.4,-15.34,-2.2
2.304,0.86,-19.81,-4.12
2.386,-1.61,-13.42,5.06
2.468,-1.61,0.08,2.31
2.55,2.9,1.1,-3.41
2.632,8.94,-20.01,17.73
2.714,5.88,-20.01,1.37
2.796,4.12,-3.45,-1.8
2.88,3.88,2.43,-0.27
2.962,8.16,-4.39,16.36
3.044,1.53,-12.91,-3.41
3.127,4.04,-17.57,3.02
3.775,7.85,-19.61,-5.18
3.857,-1.18,-14.95,4.9
3.939,1.33,3.53,-0.63
4.021,2.24,1.84,1.41
4.103,1.61,-19.18,11.89
4.185,2.43,-19.02,-5.69
4.267,2.94,-6.59,-3.84
4.35,5.69,0.71,0.47
4.432,4.08,-2.94,6.47
4.514,0.04,-16.79,-1.69
4.596,2,-13.49,9.3
4.678,3.26,-0.31,1.37
4.76,-0.35,1.92,-1.06
4.842,5.02,-20.01,11.26
4.925,-0.9,-16.24,-2.9
5.007,0.67,-2.86,-2.79
5.089,4,0.9,1.1
5.171,0.24,-0.43,-0.78
5.253,1.69,-13.96,-3.1
5.335,4.43,-16.55,6.2
5.417,2.82,-0.82,0.08
5.499,-0.2,2.08,0.12
5.581,8.12,-3.41,13.1
5.663,-1.06,-18.48,2.04
5.745,2.86,-5.22,-4.24
5.827,4.16,2.51,-1.45
5.909,-1.06,-7.1,1.92
5.992,2.43,-9.89,-2.82
6.074,6.86,-18.71,10.36
6.156,2.79,-4.82,-1.26
6.238,-0.12,1.69,1.18
6.32,10.32,-1.77,12.87
6.402,-0.16,-20.01,6.39
6.484,2.55,-6.35,-3.22
6.566,5.33,3.3,-0.94
6.648,-3.57,-5.88,-0.04
6.73,5.96,-9.92,-1.77
6.812,6.43,-19.18,7.18
6.894,2.39,-4.12,-0.78
6.976,-0.51,1.02,1.18
7.058,11.81,-0.86,6.98
7.14,0.43,-19.89,1.77
7.222,6.08,-7.73,-6.12
7.304,3.57,5.26,0.71
7.386,-4.39,-6,-0.71
7.468,2.75,-17.06,0.71
7.55,6.59,-18.95,9.38
7.632,3.57,-5.69,0.35
7.714,-0.31,1.8,-0.67
7.796,6.71,10.36,7.02
7.878,-1.92,-20.01,6.98
7.96,9.81,-8.39,-5.33
8.042,2.94,7.41,0.43
8.124,-3.18,-10.36,1.77
8.207,7.69,-12.87,1.69
8.289,5.84,-15.46,4.43
8.371,-0.04,-10.24,2.63
8.453,0.59,0.98,1.26
8.535,1.53,1.45,0.63
8.617,13.3,-18.83,7.41
8.699,6.51,-16.32,0.55
8.781,-0.55,1.26,-0.86
8.865,1.53,-4.47,-0.94
8.947,17.61,-20.01,-14.67
9.029,7.41,-20.01,-4.75
9.112,0.39,-14,8
9.193,0.86,0.43,0.55
9.274,-0.04,1.77,-0.16
9.356,2.24,-20.01,11.57
9.438,-0.9,-19.65,0.59
9.52,-0.75,-3.84,-1.69
9.602,3.33,1.84,-0.35
9.684,-1.02,-2.55,-1.69
9.767,0.86,-17.61,-2.43
9.849,3.26,-15.18,2.51
9.932,2.75,-0.86,-1.33
10.014,-1.22,0.82,-0.86
10.096,2.04,-16.44,12.32
10.178,4.59,-6.79,-0.43
10.26,1.84,-8.32,-2.82
10.342,4.43,4.16,-1.22
10.424,-0.55,-2.55,-0.86
10.506,0.78,-11.57,-1.96
10.588,5.33,-15.89,6.67
10.67,3.06,-4.71,-1.22
10.752,0.2,0.71,0.51
10.834,8.28,-4.04,13.06
