"NAME:","walk_5_1.csv"
"EXPERIMENT TIME:","12/06/2023 22:32"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","90"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-4.79","-9.53","-1.65"
"0.082","-4.94","-9.22","-1.61"
"0.164","-5.22","-9.02","-1.73"
"0.246","-4.9","-8.94","-1.1"
"0.328","-5.26","-9.38","-1.26"
"0.41","-4.79","-9.14","-1.45"
"0.492","-4.94","-9.3","-0.86"
"0.574","-6.08","-8.98","-1.1"
"0.656","-6.04","-8.59","-1.73"
"0.738","-4.67","-9.02","-2.43"
"0.82","-5.14","-8.24","-2.04"
"0.902","-3.53","-10.2","-2.59"
"0.984","-5.69","-10.36","-1.61"
"1.066","-6.04","-8.32","0.55"
"1.148","-4.0","-10.4","1.45"
"1.23","-3.1","-10.24","1.41"
"1.312","-3.73","-9.22","1.37"
"1.395","-3.3","-9.69","1.22"
"1.477","-2.43","-9.26","0.12"
"1.56","-2.43","-9.22","-0.39"
"1.642","-2.39","-9.89","-0.75"
"1.724","-2.31","-11.1","-0.86"
"1.806","-9.73","-9.65","2.43"
"1.888","-5.1","-14.79","0.55"
"1.97","-2.63","-7.3","-0.55"
"2.052","-3.8","-6.43","-1.88"
"2.135","-3.69","-8.55","-2.98"
"2.217","-0.67","-8.83","-4.71"
"2.3","-9.14","-20.01","-2.75"
"2.382","-1.22","-4.59","-5.3"
"2.464","-5.3","-10.71","0.51"
"2.546","-4.47","-7.65","-1.18"
"2.628","-3.45","-8.55","0.51"
"2.71","-3.37","-8.9","-0.39"
"2.794","-3.69","-9.69","-0.08"
"2.876","-1.61","-9.85","-1.06"
"2.958","-5.53","-12.28","1.77"
"3.04","-8.47","-11.85","-0.27"
"3.121","-2.67","-11.14","0.27"
"3.202","-3.33","-5.84","-1.96"
"3.284","-2.51","-7.02","-2.16"
"3.366","-0.39","-9.45","-3.06"
"3.448","-3.8","-18.59","-3.41"
"3.53","-8.16","-11.1","2.43"
"3.612","-2.08","-6.59","0.78"
"3.694","-6.67","-10.51","0.35"
"3.776","-2.71","-7.88","0.47"
"3.858","-1.37","-7.81","-0.75"
"3.94","-2.51","-8.63","0.63"
"4.022","-1.53","-11.96","-3.14"
"4.105","-10.0","-11.92","3.22"
"4.187","-1.45","-16.0","1.92"
"4.27","-4.55","-5.02","-1.73"
"4.352","-3.88","-6.32","-2.12"
"4.434","-0.94","-6.98","-3.1"
"4.516","-3.92","-9.14","2.24"
"4.598","-2.51","-12.51","-0.9"
"4.68","-2.98","-4.82","-0.55"
"4.762","-5.06","-9.77","-0.31"
"4.844","-2.55","-8.55","0.31"
"4.927","-2.71","-8.98","-0.82"
"5.01","-3.61","-9.96","-0.78"
"5.092","-1.14","-10.36","-1.26"
"5.174","-7.88","-13.02","3.1"
"5.256","-6.63","-12.79","-0.27"
"5.338","-2.67","-8.71","-1.37"
"5.42","-2.9","-6.28","-2.28"
"5.502","-2.08","-5.69","-2.71"
"5.584","-2.59","-9.53","-2.43"
"5.667","-0.75","-14.47","-1.92"
"5.75","-3.26","-4.98","-1.18"
"5.832","-6.55","-9.34","-0.71"
"5.914","-2.55","-9.69","0.31"
"5.996","-2.63","-8.43","-0.27"
"6.078","-2.86","-9.3","-0.78"
"6.16","-2.59","-10.83","-0.51"
"6.242","-6.94","-13.14","3.41"
"6.324","-5.45","-12.0","-1.73"
"6.406","-3.26","-9.85","-0.47"
"6.488","-3.65","-6.55","-1.88"
"6.57","-2.0","-6.86","-2.67"
"6.652","-2.51","-9.06","-3.8"
"6.734","-10.36","-20.01","-0.51"
"6.816","-3.26","-4.2","-2.31"
"6.898","-6.08","-10.2","-0.43"
"6.98","-4.24","-8.0","-0.9"
"7.062","-3.22","-8.39","-0.16"
"7.144","-2.24","-8.51","-0.67"
"7.226","-3.49","-10.0","0.24"
"7.308","-6.16","-12.71","0.59"
"7.39","-7.06","-9.96","0.04"
"7.472","-2.0","-11.81","0.51"
"7.554","-4.08","-4.28","-1.92"
"7.637","-2.79","-6.47","-2.51"
"7.719","-1.18","-9.96","-4.0"
"7.802","-7.41","-20.01","-5.57"
"7.884","-0.71","-2.75","-4.28"
"7.966","-5.26","-11.61","-0.35"
"8.048","-3.69","-7.22","-0.98"
"8.13","-3.18","-8.0","0.04"
"8.212","-2.71","-8.39","-0.55"
"8.296","-3.37","-9.45","0.43"
"8.543","-2.82","-13.18","0.94"
"9.191","-2.43","-9.26","-0.2"
"9.273","-2.16","-8.9","-0.59"
"9.355","-3.26","-8.43","-0.35"
"9.437","-1.77","-10.94","-0.78"
"9.52","-5.81","-10.59","2.16"
"9.602","-4.98","-13.06","-0.59"
"9.684","-3.77","-8.04","-0.51"
"9.766","-2.98","-6.24","-2.04"
"9.848","-0.86","-7.61","-2.98"
"9.93","-1.61","-9.22","-1.57"
"10.012","-1.61","-14.4","-1.41"
"10.094","-4.04","-5.49","-1.57"
"10.177","-4.82","-8.94","-0.55"
"10.259","-2.31","-9.65","0.27"
"10.342","-2.47","-8.98","-0.47"
"10.424","-3.33","-8.67","-0.27"
"10.506","-3.02","-12.91","0.08"
"10.588","-7.57","-9.92","0.67"
"10.67","-4.86","-11.1","-0.67"
"10.752","-4.08","-8.75","-1.29"
"10.834","-3.65","-5.73","-2.35"
"10.916","-1.22","-6.98","-3.53"
"10.998","-2.16","-8.28","-2.08"
"11.08","-2.31","-14.12","-0.82"
"11.162","-3.65","-4.94","-0.78"
"11.244","-5.81","-9.38","-1.06"
"11.326","-2.98","-9.1","0.86"
"11.408","-2.47","-8.36","-0.35"
"11.49","-4.35","-8.63","-0.47"
"11.572","-0.98","-11.22","-0.55"
"11.654","-7.14","-13.38","3.02"
"11.736","-7.45","-10.59","-0.86"
"11.818","-3.22","-10.12","0.31"
"11.9","-3.49","-6.08","-2.12"
"11.982","-2.39","-6.51","-2.39"
"12.064","-2.98","-9.02","-3.3"
"12.147","-6.75","-18.75","1.18"
"12.229","-6.39","-6.47","-4.35"
"12.312","-4.86","-11.14","-1.8"
"12.394","-4.75","-8.16","-0.43"
"12.476","-3.14","-8.36","-0.08"
"12.558","-2.2","-8.08","-0.86"
"12.64","-2.12","-10.4","0.08"
"12.722","-5.77","-14.28","1.22"
"12.804","-7.49","-7.57","-1.49"
"12.887","-3.22","-12.24","1.22"
"12.969","-4.16","-4.94","-2.28"
"13.052","-2.55","-6.35","-2.39"
"13.134","-1.14","-8.51","-3.49"
"13.217","-5.14","-20.01","-9.69"
"13.299","-1.41","-6.24","-3.33"
"13.382","-5.02","-10.43","-0.47"
"13.464","-4.55","-7.34","-1.14"
"13.547","-3.06","-8.24","0.04"
"13.629","-2.28","-8.39","-1.02"
"13.711","-3.26","-8.98","0.71"
"13.793","-1.37","-10.32","-0.2"
"13.875","-7.69","-11.14","2.63"
"13.957","-1.8","-15.53","1.45"
"14.039","-4.9","-6.08","-1.22"
"14.121","-2.98","-6.59","-1.65"
"14.203","-1.88","-7.18","-2.9"
"14.287","-2.98","-8.87","1.41"
"14.534","-6.04","-9.92","-0.94"
"15.182","-4.04","-4.82","-2.51"
"15.264","-2.51","-6.43","-2.28"
"15.347","-0.9","-9.26","-3.3"
"15.429","-3.77","-15.61","-0.9"
"15.511","-2.04","-10.47","-0.71"
"15.593","-3.84","-6.32","-0.78"
"15.675","-5.02","-9.26","-0.51"
"15.757","-2.0","-8.43","-0.12"
"15.839","-2.82","-8.71","-0.63"
"15.922","-3.53","-8.51","-0.35"
"16.004","-1.96","-11.22","-0.47"
"16.087","-6.47","-11.41","2.75"
"16.169","-4.35","-12.91","-0.67"
"16.251","-3.53","-8.39","-0.9"
"16.333","-3.61","-6.43","-2.35"
"16.415","-1.61","-7.88","-3.1"
"16.497","-2.16","-8.75","-3.73"
"16.579","-9.14","-18.04","2.79"
"16.662","-5.41","-6.24","-2.24"
"16.744","-5.57","-10.51","-0.43"
"16.827","-3.77","-7.3","-0.2"
"16.909","-3.02","-8.71","-0.78"
"16.993","-2.79","-8.83","-1.33"
"17.075","-3.22","-10.2","0.16"
"17.157","-6.12","-13.53","2.43"
"17.239","-6.98","-10.08","-1.33"
"17.322","-2.39","-11.61","-0.24"
"17.404","-3.45","-5.49","-2.47"
"17.486","-2.47","-6.94","-2.71"
"17.568","-1.69","-9.92","-3.65"
"17.65","-6.08","-20.01","-8.36"
"17.732","-3.26","-5.14","-4.86"
"17.814","-4.98","-10.98","-0.98"
"17.897","-4.16","-7.26","-1.06"
"17.979","-3.26","-8.67","-0.08"
"18.062","-2.04","-8.59","-1.14"
"18.144","-3.26","-9.96","-0.27"
"18.226","-6.2","-12.55","0.16"
"18.308","-7.57","-9.14","1.14"
"18.39","-3.45","-13.1","0.0"
"18.472","-4.55","-5.92","-2.04"
"18.554","-2.98","-6.71","-2.2"
"18.637","-0.86","-8.16","-2.98"
"18.719","-3.26","-7.85","0.12"
"18.801","-3.53","-10.32","1.69"
"18.883","-3.22","-5.77","-0.94"
"18.965","-5.73","-8.63","-1.8"
"19.047","-2.51","-9.85","0.82"
"19.129","-2.75","-8.79","-0.75"
"19.211","-3.3","-9.1","-0.59"
"19.294","-1.33","-10.9","-0.71"
"19.377","-7.41","-13.26","2.55"
"19.459","-7.26","-11.73","-0.2"
"19.542","-3.69","-9.69","-0.2"
"19.624","-3.45","-6.16","-2.51"
"19.706","-1.73","-7.1","-2.67"
"19.789","-2.55","-9.18","-3.84"
"19.872","-9.34","-20.01","-1.61"
"19.954","-4.12","-4.71","-3.57"
"20.037","-6.59","-9.57","-0.2"
"20.119","-4.08","-8.63","-0.16"
"20.201","-2.51","-8.59","-0.39"
"20.285","-2.82","-8.83","-0.71"
"20.367","-2.51","-10.79","-0.12"
"20.449","-5.69","-12.79","0.04"
"20.532","-9.02","-8.12","0.47"
"21.18","-5.3","-7.73","-0.98"
"21.262","-3.1","-9.26","0.31"
"21.344","-2.2","-8.87","-0.51"
"21.427","-4.28","-8.94","0.0"
"21.509","-1.37","-11.85","-1.26"
"21.592","-6.9","-10.67","2.75"
"21.674","-3.3","-13.34","0.0"
"21.756","-4.16","-6.04","-1.49"
"21.838","-3.1","-6.9","-2.28"
"21.92","-0.51","-7.41","-3.73"
"22.002","-5.14","-7.69","3.06"
"22.084","-2.86","-13.57","2.43"
"22.167","-3.14","-4.86","-2.39"
"22.249","-5.33","-9.61","-0.31"
"22.332","-3.26","-8.55","0.75"
"22.414","-2.31","-8.94","-0.59"
"22.497","-2.98","-8.67","-0.86"
"22.579","-1.45","-11.18","-1.41"
"22.662","-7.65","-11.22","1.96"
"22.744","-2.47","-14.55","0.0"
"22.827","-4.39","-6.04","-2.16"
"22.909","-3.06","-6.71","-2.0"
"22.991","-0.98","-7.73","-2.79"
"23.074","-1.92","-9.1","-1.65"
"23.157","-1.33","-14.63","0.0"
"23.239","-3.57","-3.69","-2.71"
"23.321","-4.67","-10.0","-1.33"
"23.403","-3.33","-8.71","0.47"
"23.485","-2.31","-8.87","-0.31"
"23.567","-3.3","-9.02","-0.75"
"23.649","-2.9","-10.51","-0.78"
"23.731","-6.43","-13.57","2.67"
"23.813","-4.55","-11.96","-0.16"
"23.895","-4.16","-8.39","-1.02"
"23.977","-3.18","-6.47","-2.16"
"24.059","-1.37","-7.49","-2.63"
"24.142","-1.29","-9.61","-4.94"
"24.224","-2.0","-13.3","4.16"
"24.307","-5.61","-3.69","-2.24"
"24.389","-3.18","-9.26","-1.26"
"24.471","-3.26","-8.36","-0.27"
"24.553","-2.31","-9.53","0.04"
"24.635","-3.69","-8.59","-0.63"
"24.717","-1.53","-10.87","-0.75"
"24.799","-6.39","-12.08","2.98"
"24.882","-5.88","-12.91","-1.41"
"24.964","-4.04","-7.96","-0.04"
"25.047","-3.73","-6.94","-2.0"
"25.129","-1.8","-6.94","-2.75"
"25.212","-2.47","-8.32","-2.55"
"25.294","-7.26","-17.85","1.77"
"25.376","-4.9","-6.28","-2.24"
"25.459","-5.49","-11.34","-1.14"
"25.542","-4.16","-7.02","-0.63"
"25.624","-2.55","-9.38","0.0"
"25.706","-2.59","-8.36","-1.37"
"25.788","-3.02","-10.12","-0.12"
"25.87","-4.67","-12.47","1.18"
"25.952","-8.16","-9.06","-1.33"
"26.034","-3.65","-10.63","0.98"
