"NAME:","walk_2_1.csv"
"EXPERIMENT TIME:","08/06/2023 09:17"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"15.439","0.55","-9.96","-3.73"
"15.538","0.08","-11.45","-4.2"
"15.642","1.84","-11.06","-5.69"
"15.739","1.29","-8.67","-4.86"
"15.843","0.55","-6.51","-3.69"
"15.926","-0.2","-6.35","-2.55"
"16.407","0.63","-9.61","-3.18"
"16.422","1.53","-14.79","-5.3"
"16.429","-0.59","-13.89","-7.61"
"16.441","-0.67","-5.41","-4.67"
"16.462","0.71","-5.92","-3.41"
"16.529","0.59","-7.22","-2.79"
"16.65","0.86","-10.04","-3.69"
"16.745","1.37","-12.79","-4.63"
"16.844","0.78","-10.55","-5.02"
"16.948","1.33","-7.14","-4.94"
"17.057","0.2","-6.51","-3.1"
"17.153","0.78","-8.16","-3.18"
"17.235","1.29","-11.57","-4.63"
"17.34","0.9","-11.92","-5.81"
"17.464","-0.59","-10.12","-6.43"
"17.543","-1.18","-7.77","-3.77"
"17.646","0.2","-5.84","-3.45"
"17.747","0.59","-7.45","-3.06"
"17.848","0.39","-14.47","-3.57"
"17.956","3.06","-8.87","-7.14"
"18.043","1.29","-8.39","-6.86"
"18.163","-0.08","-7.57","-4.28"
"18.26","-0.47","-8.32","-3.45"
"18.359","0.0","-8.51","-4.0"
"18.458","0.51","-10.08","-5.06"
"18.556","-0.59","-12.87","-6.39"
"18.657","-0.59","-8.47","-5.33"
"18.758","-0.75","-7.37","-3.45"
"18.853","-0.08","-7.85","-3.8"
"18.952","0.27","-9.38","-3.41"
"19.059","0.0","-11.89","-4.28"
"19.158","-0.04","-11.06","-5.53"
"19.264","1.02","-8.04","-4.9"
"19.37","-0.24","-7.96","-3.8"
"19.47","-0.04","-7.06","-3.1"
"19.571","0.63","-8.36","-4.39"
"19.677","0.9","-12.83","-7.06"
"19.779","-0.9","-12.47","-6.86"
"19.862","-0.39","-6.47","-5.41"
"19.973","-0.08","-6.39","-3.3"
"20.076","-0.08","-7.65","-3.61"
"20.173","0.24","-9.81","-4.71"
"20.269","0.24","-12.47","-4.94"
"20.373","-0.43","-11.65","-5.41"
"20.472","1.49","-6.71","-4.55"
"20.573","-0.08","-7.65","-3.8"
"20.678","0.31","-6.79","-3.18"
"20.777","0.08","-12.67","-5.3"
"20.882","-0.08","-12.2","-5.22"
"20.989","0.43","-9.77","-5.77"
"21.086","0.08","-6.9","-4.67"
"21.185","0.08","-6.08","-3.37"
"21.288","-0.24","-7.85","-3.18"
"21.392","0.0","-11.49","-4.71"
"21.908","1.18","-11.57","-5.22"
"22.41","0.24","-9.34","-4.31"
"22.907","0.27","-8.04","-3.96"
"22.916","0.24","-7.06","-3.33"
"22.948","0.04","-8.51","-3.33"
"22.955","1.02","-11.26","-5.02"
"22.973","0.2","-11.18","-4.2"
"22.98","0.12","-8.83","-5.41"
"22.986","-1.02","-8.9","-3.26"
"22.991","0.39","-6.86","-3.49"
"23.002","0.59","-7.41","-3.18"
"23.007","0.08","-10.79","-4.12"
"23.011","1.06","-10.67","-4.59"
"23.014","0.9","-13.18","-6.47"
"23.017","0.31","-8.39","-4.51"
"23.021","0.08","-5.61","-3.41"
"23.09","0.31","-6.75","-3.14"
"23.218","0.31","-10.16","-6.71"
"23.295","0.04","-13.49","-6.98"
"23.404","0.27","-7.61","-6.51"
"23.51","-1.69","-6.55","-3.45"
"23.622","0.75","-6.2","-4.28"
"23.699","0.04","-8.83","-3.53"
"23.805","0.43","-13.02","-5.41"
"23.908","1.41","-12.94","-7.1"
"24.013","1.02","-8.28","-5.14"
"24.114","0.35","-6.79","-3.77"
"24.209","0.51","-6.51","-2.9"
"24.313","1.41","-9.02","-4.98"
"24.421","-0.31","-12.32","-3.92"
"24.526","-0.04","-12.55","-5.73"
"24.627","0.08","-9.1","-6.08"
"24.726","-0.12","-7.18","-4.71"
"24.825","0.24","-6.51","-3.53"
"24.926","0.55","-7.53","-3.33"
"25.027","-0.27","-12.08","-5.26"
"25.128","0.39","-13.96","-7.49"
"25.234","0.16","-8.28","-4.43"
"25.328","-0.71","-7.81","-3.73"
"25.439","0.16","-7.02","-3.22"
"25.526","0.0","-8.28","-3.18"
"25.628","0.59","-11.22","-5.06"
"25.733","-0.12","-15.1","-6.86"
"25.834","0.27","-7.41","-7.37"
"25.933","-0.94","-7.14","-3.61"
"26.039","-0.16","-6.24","-3.18"
"26.14","0.0","-7.53","-2.79"
"26.247","0.16","-13.73","-5.41"
"26.348","0.98","-13.61","-6.94"
"26.452","0.71","-7.41","-3.06"
"26.553","0.08","-6.75","-3.8"
"26.652","0.04","-6.86","-3.1"
"26.737","0.71","-9.1","-3.77"
"26.836","0.35","-13.42","-6.32"
"26.943","-0.86","-13.96","-8.36"
"27.043","-0.59","-5.18","-4.9"
"27.139","-0.24","-6.51","-3.37"
"27.239","-0.08","-8.83","-3.88"
"27.344","0.39","-10.12","-4.47"
"27.446","0.55","-11.02","-4.75"
"27.551","-0.04","-9.53","-4.9"
"27.652","0.43","-8.12","-4.24"
"27.753","-0.12","-7.18","-3.49"
"27.854","-0.08","-8.98","-3.3"
"28.411","0.47","-10.83","-4.94"
"28.418","1.06","-11.45","-5.45"
"28.429","-0.35","-10.83","-6.08"
"28.443","-0.63","-7.65","-4.43"
"28.45","-0.71","-6.43","-2.94"
"28.474","0.08","-6.75","-2.86"
"28.552","0.39","-10.63","-5.33"
"28.66","0.39","-13.61","-5.81"
"28.765","0.24","-10.12","-4.98"
"28.865","0.78","-6.98","-4.43"
"28.968","0.35","-6.32","-2.67"
"29.067","0.43","-7.61","-2.94"
"29.156","1.92","-11.3","-6.28"
"29.268","-1.18","-14.87","-6.04"
"29.372","-0.04","-9.1","-6.79"
"29.521","-2.16","-7.69","-2.94"
"29.579","0.08","-7.49","-3.73"
"29.679","0.43","-7.49","-3.37"
"29.778","0.86","-13.18","-4.28"
"29.874","0.82","-15.34","-8.51"
"29.977","1.29","-6.39","-5.65"
"30.081","0.0","-6.94","-3.61"
"30.18","0.0","-7.45","-2.94"
"30.286","0.75","-8.47","-3.61"
"30.386","0.0","-13.49","-5.77"
"30.494","-1.18","-12.51","-7.34"
"30.573","-1.06","-6.55","-4.39"
"30.674","-0.78","-7.53","-3.45"
"30.806","0.16","-6.9","-3.3"
"30.872","1.06","-8.55","-4.08"
"30.995","0.67","-13.06","-5.02"
"31.08","-0.24","-10.75","-4.86"
"31.18","0.31","-8.08","-4.82"
"31.286","0.98","-6.2","-4.24"
"31.388","0.35","-7.69","-3.33"
"31.487","0.71","-11.34","-4.55"
"31.588","-0.78","-13.69","-5.88"
"31.688","-0.98","-11.73","-8.51"
"31.788","-0.67","-6.39","-4.35"
"31.881","0.04","-6.08","-3.65"
"31.991","0.12","-7.88","-3.84"
"32.117","0.24","-12.32","-5.3"
"32.194","0.78","-14.04","-7.1"
"32.298","0.08","-8.71","-4.2"
"32.398","-0.59","-7.14","-3.1"
"32.503","-0.08","-7.69","-3.18"
"32.598","0.9","-6.9","-3.14"
"32.693","0.43","-12.98","-5.26"
"32.806","-0.08","-14.36","-8.2"
"32.932","0.27","-6.86","-5.92"
"43.884","-0.59","-6.59","-3.49"
"43.89","0.31","-7.77","-3.65"
"43.895","0.47","-7.69","-2.98"
"43.904","-0.63","-13.1","-4.35"
"43.907","1.26","-13.81","-8.63"
"43.91","1.8","-7.18","-5.96"
"43.914","0.39","-6.71","-4.08"
"43.919","0.16","-7.3","-2.75"
"43.924","1.33","-7.41","-3.88"
"43.932","0.24","-12.24","-5.06"
"43.948","0.35","-12.87","-6.86"
"43.951","-0.47","-8.04","-5.45"
"43.962","-0.86","-7.22","-3.61"
"43.964","0.94","-6.39","-4.43"
"43.966","-0.04","-7.77","-3.33"
"43.969","-0.47","-13.53","-6.43"
"43.971","1.1","-12.47","-7.18"
"43.974","1.22","-8.28","-5.61"
"43.978","-0.63","-8.87","-4.08"
"43.981","0.0","-7.3","-2.67"
"43.983","0.39","-7.02","-2.28"
"43.986","1.33","-10.0","-4.71"
"43.989","-0.82","-12.98","-6.24"
"43.993","1.84","-9.45","-7.1"
"44.002","-1.14","-6.0","-2.51"
"44.005","0.39","-8.36","-3.84"
