NAME:,walk1_4.csv,,
EXPERIMENT TIME:,06/6/2023 13:21,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,181,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
15.824,-1.094,12.053,0.431
15.91,-2.153,10.406,-3.531
15.996,0.985,11.622,0.077
16.082,-0.152,8.405,0.784
16.168,0.828,7.032,1.921
16.254,0.318,6.404,3.529
16.34,-0.035,12.053,2.235
16.426,-0.074,10.563,4.236
16.512,4.084,9.935,1.137
16.598,-0.349,10.445,-0.04
16.684,0.671,9.386,0.98
16.77,-0.78,8.562,1.097
16.856,-1.212,9.15,0.94
16.942,-0.349,10.837,1.725
17.028,-1.918,11.19,2.0
17.114,-1.133,11.779,-2.08
17.2,0.789,12.877,0.627
17.286,-0.898,8.758,1.058
17.372,0.083,6.169,1.568
17.458,1.024,7.111,2.706
17.544,0.044,9.033,2.51
17.63,0.514,12.838,7.06
17.716,2.044,11.112,1.803
17.802,0.201,8.091,-0.825
17.888,0.907,9.111,0.784
17.974,-0.545,8.484,0.744
18.06,-1.565,8.68,0.94
18.146,-0.505,10.131,1.019
18.232,-2.506,9.896,0.627
18.318,-1.015,14.603,-1.609
18.404,0.671,10.288,-2.08
18.49,0.005,9.621,-0.001
18.576,0.318,7.032,1.372
18.662,0.593,8.013,2.863
18.748,-0.113,6.993,3.176
18.834,1.024,14.564,3.098
18.92,-0.976,13.505,0.901
19.006,1.417,9.66,-1.256
19.092,0.554,9.935,0.234
19.178,0.358,8.209,0.744
19.264,-1.408,8.797,0.587
19.35,-1.29,9.425,1.568
19.436,-0.819,10.994,-0.589
19.522,-1.604,13.073,0.627
19.608,-2.31,11.386,-3.257
19.694,1.848,12.72,0.587
19.78,-1.408,7.738,1.607
19.866,0.122,7.503,2.117
19.952,1.299,6.875,3.49
20.038,-0.741,11.975,3.333
20.124,-0.074,10.092,6.589
20.21,2.829,12.014,0.823
20.296,-0.623,9.072,-0.746
20.382,0.789,7.974,0.94
20.468,0.318,8.287,0.077
20.554,-1.682,9.896,0.744
20.64,-0.937,8.523,1.49
20.726,-0.858,9.896,0.391
20.812,-1.172,13.74,0.391
20.898,-1.918,10.131,-3.257
20.984,0.397,12.877,-0.393
21.07,0.436,7.738,0.195
21.156,-0.192,7.503,2.313
21.242,-0.152,6.169,4.039
21.328,-0.309,12.485,3.529
21.414,0.044,10.641,6.432
21.5,3.888,9.464,0.627
21.586,-0.819,9.856,-0.432
21.672,0.201,8.248,0.94
21.758,-0.937,9.033,0.313
21.844,-1.761,10.249,0.862
21.93,-0.976,9.543,0.627
22.016,-2.192,9.817,1.333
22.102,-0.898,14.838,-1.648
22.188,1.652,11.386,-2.982
22.274,-0.505,10.445,0.077
22.36,-0.388,7.66,1.254
22.446,0.554,8.366,2.353
22.532,-0.388,6.248,3.843
22.618,0.514,13.818,3.608
22.704,0.436,10.876,2.313
22.79,3.653,8.052,0.077
22.876,0.005,10.053,-0.119
22.962,1.613,8.013,0.862
23.048,-0.858,9.19,0.98
23.134,-1.721,9.033,1.568
23.22,-1.172,11.19,1.45
23.306,-1.094,11.229,1.45
23.392,-2.31,12.367,-2.276
23.478,1.77,13.387,-0.55
23.564,-0.192,8.17,0.313
23.65,-0.388,6.836,1.372
23.736,0.632,7.385,2.353
23.822,0.005,7.895,3.098
23.908,-0.035,13.348,5.765
23.994,-0.623,13.112,0.627
24.08,2.319,9.346,-1.374
24.166,1.142,8.797,0.274
24.252,0.711,9.268,1.058
24.338,-1.055,8.837,1.294
24.424,-1.525,8.954,2.039
24.51,-0.466,10.719,1.411
24.596,-1.604,11.151,1.686
24.682,-2.741,12.642,-2.355
24.768,1.417,12.328,-0.864
24.854,-0.858,8.17,-0.001
24.94,0.907,8.052,1.372
25.026,0.358,6.444,3.176
25.112,0.358,8.17,2.117
25.198,0.161,12.955,6.315
25.284,-2.428,11.072,0.077
25.37,4.045,9.935,-1.492
25.456,0.397,9.268,-0.158
25.542,0.828,8.954,0.744
25.628,-1.094,9.425,1.176
25.714,-1.408,9.15,1.372
25.8,-1.172,10.445,1.097
25.886,-1.486,11.661,1.568
25.972,-3.016,12.014,-3.571
26.058,1.574,13.622,0.352
26.144,-1.094,8.091,1.215
26.23,0.279,7.189,1.803
26.316,0.632,7.032,3.137
26.402,-0.662,9.856,2.941
26.488,0.358,11.622,6.628
26.574,1.73,14.25,1.803
26.66,0.044,8.13,-1.099
26.746,0.985,8.562,0.666
26.832,0.711,8.523,0.862
26.918,-1.839,9.464,1.176
27.004,-0.662,8.68,1.411
27.09,-0.937,10.523,0.47
27.176,-0.192,14.211,0.234
27.262,-2.506,11.269,-3.453
27.348,0.75,11.112,-0.825
27.434,0.005,8.797,0.509
27.52,-0.074,7.581,1.686
27.606,0.083,6.954,3.255
27.692,0.044,10.563,2.863
27.778,-0.388,9.778,6.942
27.864,2.554,12.955,1.45
27.95,-0.505,8.091,-0.354
28.036,0.946,9.268,0.784
28.122,-0.192,7.581,0.548
28.208,-1.682,9.111,0.862
28.294,-0.584,10.249,1.215
28.38,-2.035,9.543,0.666
28.466,0.044,14.995,-1.962
28.552,-0.27,10.563,-2.198
28.638,-0.074,10.994,0.117
28.724,-0.152,7.817,0.352
28.81,0.397,7.15,2.039
28.896,0.318,7.228,2.235
28.982,-0.27,14.446,3.765
29.068,1.652,11.7,0.038
29.154,3.574,9.739,0.195
29.24,-1.133,10.406,0.627
29.326,0.907,8.091,1.019
29.412,-0.349,9.111,0.391
29.498,-1.839,8.17,2.196
29.584,-0.466,10.288,0.391
29.67,-1.212,12.328,0.47
29.756,-1.525,12.838,-1.139
29.842,1.142,11.269,0.823
29.928,-1.094,7.503,1.097
30.014,0.867,7.346,2.431
30.1,0.632,6.483,3.765
30.186,0.279,13.151,2.823
30.272,0.75,13.818,2.823
30.358,3.809,6.169,-0.119
30.444,-0.976,12.249,0.862
30.53,0.593,8.837,1.45
30.616,-0.584,8.64,0.705
30.702,-1.251,8.797,1.96
30.788,-0.505,10.916,0.47
30.874,-1.918,10.406,1.843
30.96,-0.584,15.152,-2.198
31.046,1.377,9.739,-1.413
31.132,0.201,9.307,-0.393
31.218,0.24,8.248,1.137
31.304,0.318,8.013,2.47
31.39,0.514,6.914,2.51
31.476,0.946,14.681,3.961
31.562,0.554,9.464,1.215
31.648,4.869,10.366,-0.472
31.734,-1.094,10.209,-0.197
31.82,0.711,8.052,0.391
31.906,-1.133,9.268,0.784
31.992,-1.565,8.797,1.568
32.078,-0.584,10.209,0.862
32.164,-1.447,11.661,3.019
32.25,-0.898,13.465,-3.453
32.336,1.064,12.328,-1.492
32.422,-0.27,8.915,0.234
32.508,0.201,8.209,1.176
32.594,0.201,7.228,2.627
32.68,-0.27,6.797,2.745
32.766,-0.074,13.465,6.903
32.852,-1.565,10.994,2.313
32.938,3.221,10.876,-1.139
33.024,0.083,8.719,-0.315
33.11,1.064,8.915,0.666
33.196,-1.839,8.876,0.587
33.282,-1.251,8.954,1.176
33.368,0.436,10.445,-0.119
33.454,-0.505,12.798,0.784
33.54,-2.584,12.916,-3.727
33.626,2.319,13.661,0.509
33.712,-1.212,7.424,0.509
33.798,0.475,6.522,2.039
33.884,0.201,6.522,3.216
33.97,-0.231,12.092,3.451
34.056,-0.152,10.288,6.746
34.142,2.868,13.936,1.137
34.228,-1.172,8.954,-0.629
34.314,1.887,8.993,0.038
34.4,0.514,7.424,-0.354
34.486,-2.035,9.268,1.49
34.572,-1.094,9.229,1.568
34.658,-1.682,9.817,1.097
34.744,-1.094,12.053,0.234
34.83,-0.702,12.053,-4.708
34.916,2.044,10.798,-0.197
35.002,-0.623,7.777,0.705
35.088,0.632,8.366,2.549
35.174,-0.035,7.071,3.216
35.26,0.867,10.68,3.255
35.346,-0.623,9.072,5.765
35.432,5.104,10.563,0.705
35.518,-1.761,9.66,-1.06
35.604,1.73,8.758,0.313
35.69,0.436,8.405,0.234
35.776,-1.565,8.444,1.529
35.862,-2.192,10.17,1.019
35.948,-1.133,10.484,1.097
36.034,-0.662,14.524,-2.002
36.12,-0.858,9.503,-2.629
36.206,0.554,9.111,-1.06
36.292,0.358,8.523,1.019
36.378,0.005,7.621,2.431
36.464,-0.035,6.326,4.039
36.55,-0.074,13.191,4.824
36.636,1.887,14.407,-0.158
36.722,4.398,7.464,-1.531
36.808,-1.29,8.876,-0.236
36.894,0.279,8.837,0.313
36.98,-0.898,9.346,1.45
37.066,-1.486,9.386,1.45
37.152,-1.29,11.151,1.058
37.238,-1.721,11.661,2.0
37.324,-2.31,13.073,-3.649
37.41,1.417,12.798,-1.06
37.496,-1.643,7.542,0.352
37.582,0.318,7.777,0.901
37.668,0.514,7.542,2.549
37.754,0.122,9.033,2.98
37.84,0.436,10.955,5.844
37.926,1.338,14.407,2.392
38.012,0.711,8.64,0.156
38.098,0.24,8.954,0.666
38.184,0.475,8.484,0.666
38.27,-1.682,8.444,0.313
38.356,-0.976,9.346,1.019
38.442,-0.231,11.465,0.195
38.528,-1.486,12.328,0.666
38.614,-3.408,9.817,-3.688
38.7,2.084,12.406,-0.236
38.786,-1.251,7.424,0.431
38.872,0.279,8.052,1.45
38.958,0.475,7.307,2.235
39.044,0.161,9.464,2.745
39.13,0.358,13.387,6.393
39.216,1.691,10.994,2.588
39.302,2.201,9.072,-0.746
39.388,0.397,8.719,0.431
39.474,0.318,8.758,0.627
39.56,-1.408,7.934,0.784
39.646,-1.878,9.386,1.019
39.732,0.083,11.347,0.117
39.818,-0.937,13.897,-0.197
39.904,-2.074,8.484,-3.335
39.99,1.338,12.485,-0.236
