NAME:,run_1_2.csv,,
EXPERIMENT TIME:,12/06/2023 22:35,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,70,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
2.055,1.26,-9.41,1.06
2.704,-2.47,-16.44,3.73
2.787,0.94,-0.59,0.82
2.869,-5.53,-8.04,5.77
2.951,3.65,-15.65,6.63
3.033,2.12,-20.01,0.55
3.115,3.73,-0.43,-1.57
3.198,2.43,1.96,0.59
3.28,-0.75,-6.04,1.61
3.362,5.96,-5.65,1.14
3.444,1.77,-20.01,-6.32
3.527,-1.1,-11.57,7.81
3.609,-2.63,0.35,2.31
3.691,2.04,-0.04,-1.02
3.773,-0.86,-17.81,8.83
3.855,-0.27,-20.01,0.35
3.938,5.3,-8.16,-3.88
4.02,2.94,5.53,2.9
4.102,-4.24,-6.94,0.08
4.184,2.08,-11.69,-4.35
4.267,9.06,-19.97,-5.1
4.349,-0.2,-12.75,2.79
4.431,-2.67,1.57,0.86
4.513,2.55,1.26,-0.63
4.595,1.29,-17.81,8.43
4.678,4.28,-20.01,-0.59
4.76,5.65,-4.71,-2
4.842,2.51,3.49,-0.94
4.924,-0.35,-4.24,-0.63
5.007,7.69,-10.87,-0.47
5.089,-0.16,-14.36,0
5.171,3.96,-6.24,1.29
5.253,-0.75,0.27,0.86
5.335,0.43,-1.57,0.2
5.417,11.3,-20.01,9.1
5.499,7.41,-15.46,-4.08
5.581,-0.16,5.45,-1.33
5.663,1.45,-3.26,2.79
5.745,12.2,-11.45,-0.9
5.827,8.51,-19.5,-5.73
5.909,1.69,-17.38,6.2
5.992,-1.65,1.02,3.22
6.074,2.98,0.9,0.67
6.156,2.24,-20.01,5.14
6.238,-4.47,-18.99,-2.04
6.32,-0.04,-0.39,1.37
6.402,0.9,0.39,1.49
6.484,-1.37,-2.79,-1.61
6.566,0.04,-13.42,-5.1
6.648,2.63,-16.67,1.22
6.73,2.28,-1.69,0.9
6.812,-1.1,2.31,0.2
6.894,3.53,-2.31,5.41
6.976,5.02,-20.01,5.18
7.058,6.79,-12.04,-4.9
7.14,0.51,4.98,-0.2
7.222,-0.67,-6.16,2.86
7.304,11.3,-17.85,-12.08
7.386,9.18,-16,-6.47
7.468,3.3,-12.28,4.31
7.55,-1.88,2.12,1.33
7.632,1.73,-0.04,1.65
7.714,5.61,-20.01,7.26
7.796,-4.71,-19.97,-2.98
7.88,1.84,-1.1,-0.31
7.963,0,2.04,0.27
8.046,-2.04,-1.26,-1.37
8.694,-2.12,1.45,1.1
8.777,0.78,-2.82,4.51
8.859,11.61,-9.49,15.3
8.941,6.04,-20.01,-4.71
9.023,2.04,-19.18,9.41
9.105,-0.31,1.02,1.57
9.187,1.33,-0.31,2.08
9.269,11.69,-7.53,13.96
9.351,0.04,-20.01,-0.35
9.433,5.45,-5.3,-2.94
9.515,1.92,4.59,0.82
9.597,-1.73,-6.12,-1.18
9.679,4.71,-10.04,3.22
9.762,9.14,-20.01,6.59
9.844,2.31,-9.22,1.69
9.926,-0.43,0.35,-1.22
10.008,0.98,-0.98,0.59
10.09,11.65,-20.01,5.96
10.172,2.24,-17.89,-2
10.254,2.04,1.49,-0.24
10.336,2.63,-1.8,2.47
10.418,7.49,-7.49,15.61
10.5,6.08,-12.83,-8.08
10.582,5.14,-19.77,13.42
10.664,1.33,0.86,2
10.747,1.41,-0.94,-0.04
10.829,1.65,-20.01,6.94
10.911,-3.77,-20.01,-0.94
10.993,3.1,-5.02,-1.73
11.075,3.53,1.14,0.47
11.157,0.71,-4.31,-0.63
11.239,-2.82,-13.85,-3.96
11.321,1.06,-11.18,0.31
11.403,-1.61,1.53,-0.47
11.485,2.12,-1.26,2.31
11.567,5.06,-2.08,12.24
11.649,-4.28,-20.01,3.69
11.732,4.35,-6.9,-3.92
11.814,2.98,5.77,0.12
11.896,-2.43,-6.51,-1.57
11.978,3.73,-12.71,-3.57
12.06,12.67,-20.01,6.9
12.142,2,-8.71,3.06
12.224,0.39,0.47,0.27
12.306,-0.43,-0.71,8.08
12.388,13.22,-20.01,9.34
12.47,5.96,-13.85,-1.73
12.552,2.55,6,-0.55
12.634,-0.12,-5.33,1.73
12.717,19.42,-20.01,-6.9
12.799,7.96,-11.69,-9.1
12.881,3.14,-14.75,5.53
12.963,-1.18,1.14,1.18
13.045,1.92,-0.31,1.29
13.127,7.92,-20.01,5.1
13.209,2,-20.01,-0.24
13.292,-2.47,-0.12,1.29
13.374,2.08,0.86,1.88
13.457,-1.02,-2.24,-1.69
13.539,2.39,-15.53,-0.59
13.621,4.98,-17.06,0.67
13.703,1.41,-3.96,-1.49
13.787,-0.94,0.82,0.04
13.869,0.71,0.98,10.24
13.951,8.9,-20.01,8.39
14.034,8.51,-15.38,-5.81
14.682,2.28,-20.01,5.88
14.764,-4.98,-20.01,-2.28
14.846,3.41,-1.96,-0.35
14.928,2.47,0.67,0.98
15.01,-2.35,-2.98,-0.16
15.092,-4.79,-13.85,-4.75
15.174,-2.16,-14.28,-1.92
15.257,-0.59,0.39,1.96
15.339,-0.16,1.33,0.35
15.421,4,-1.77,5.3
15.503,-1.77,-20.01,2.43
15.585,4.71,-8.32,-4.35
15.667,2.75,5.92,0.16
15.749,-2.16,-6.35,0.31
15.831,6.39,-18.91,-11.18
15.913,7.14,-13.06,-6.2
15.995,2.47,-11.02,5.18
16.077,-2.24,1.14,0.31
16.159,0.55,-1.22,1.65
16.241,12.04,-20.01,6.04
16.323,7.61,-17.1,-4.16
16.405,-0.67,4,-0.67
16.487,3.65,-2.67,3.65
16.569,10.12,-11.3,13.89
16.651,10.55,-16.28,-5.1
16.733,5.69,-20.01,13.57
16.815,1.02,0.55,3.06
16.897,1.02,0.2,1.8
16.979,2.2,-20.01,7.73
17.062,-0.43,-20.01,-1.02
17.144,1.41,-1.84,-1.65
17.227,3.02,-0.2,0.86
17.309,-2.12,-1.29,-2.79
17.392,-3.41,-14.67,-6.39
17.474,6.98,-18.16,4.16
17.556,-0.94,0.16,-0.35
17.638,2.24,0.75,-3.57
17.72,9.02,-2.94,12.98
17.802,2.16,-20.01,2.55
17.884,2.43,-12.12,-3.41
17.967,0.9,6.39,0.2
18.049,0.04,-4.04,0.43
18.131,20.01,-9.61,14.36
18.213,10,-19.06,-3.22
18.295,-0.86,-12.32,2.86
18.377,-1.22,1.88,3.53
18.459,1.61,0,2.43
18.542,4.2,-20.01,6.63
18.624,-1.65,-20.01,-0.98
18.707,4.31,-2.9,-4.63
18.789,4,4.9,-0.67
18.871,-2,-4.08,-1.33
18.953,5.22,-11.38,-6.12
19.035,8.67,-20.01,3.92
19.117,1.49,-4.28,-0.71
19.199,-0.39,0.55,0.59
19.282,2.31,-0.59,3.41
19.364,8.36,-20.01,8.16
19.447,5.18,-12.55,-3.77
19.529,-0.82,3.53,0.24
19.611,0.86,-3.61,1.41
19.693,16.91,-16.4,0.43
19.777,6.39,-20.01,-4.28
19.859,2.71,-13.89,5.57
19.941,0,-0.55,2.2
20.024,0.55,0.2,0.59
20.672,2.24,-8.55,1.33
20.755,-0.12,2.47,0.16
20.837,1.57,-0.55,-1.37
20.919,8.94,-20.01,9.1
21.002,5.06,-18.48,-0.63
21.084,-0.27,1.26,0.98
21.167,1.88,-1.84,1.77
21.249,6.04,0.59,14
21.332,-1.53,-15.26,-1.96
21.414,0.98,-13.89,-0.08
21.496,2.08,-2.71,1.41
21.578,-0.08,-0.16,0.08
21.66,1.26,-0.63,4.24
21.742,7.85,-20.01,2.94
21.824,7.18,-13.3,-3.33
21.906,0.75,5.02,-1.53
21.988,0.63,-3.92,1.84
22.07,15.3,-20.01,-5.26
22.152,8.24,-13.65,-6.47
22.234,2.94,-17.42,8.55
22.316,0.63,0.51,1.41
22.399,0.47,-0.16,1.14
22.482,2.24,-19.97,7.41
22.564,-3.88,-19.57,0.43
22.646,4.75,-4,-2.9
22.728,3.73,3.57,-0.08
22.81,-2.31,-5.41,-0.86
22.892,2.94,-16.04,3.96
22.974,8.04,-20.01,4.82
23.056,1.69,-9.69,2.08
23.138,-0.55,1.26,1.26
23.22,2.08,-0.12,0.31
23.302,2.86,-20.01,2.9
23.384,2.39,-20.01,-2.79
23.467,-2.39,-1.26,0.2
23.549,4.04,2.35,-0.39
23.631,-1.88,-2.31,-1.1
23.713,-2.71,-10.4,-6.86
23.795,3.06,-16.99,-0.51
23.877,2.98,-7.57,2.79
23.959,-0.39,1.37,0.75
24.041,2.39,0.71,2.08
24.123,14.08,-20.01,0.24
24.205,3.49,-18.91,-1.18
24.287,-1.22,0.82,-0.75
24.369,3.06,0.82,1.02
24.452,6.35,1.22,19.89
24.534,2.51,-19.22,-5.45
24.616,1.65,-14.2,0.86
24.698,0.75,-2.59,-0.27
24.78,1.41,0.39,0.12
24.862,8.16,-4.51,15.53
24.944,0.27,-20.01,1.61
25.026,5.81,-10.16,-4.31
25.108,-1.1,5.88,2.04
25.19,0.55,-3.06,1.26
25.272,15.49,6.2,20.01
25.354,3.57,-20.01,-0.63
25.437,2.2,-12.43,2.51
25.519,-0.71,-0.24,-0.51
25.601,2.08,-0.39,2.51
25.683,14.4,-4.75,12.47
25.767,4.98,-20.01,3.26
25.849,7.88,-13.14,-4.24
25.931,-0.98,3.3,1.45
26.014,0.27,-2.59,0.47
26.662,4.2,-5.73,-3.61
26.744,2.51,5.18,-1.02
26.826,-1.57,-5.06,1.22
26.908,6.86,-20.01,-11.65
26.99,10.04,-17.77,0.86
27.072,0.31,-12.12,2.31
27.154,-1.37,0.16,1.88
27.236,0.59,0.04,0.71
27.319,2.98,-20.01,7.49
27.401,0.04,-20.01,0
27.483,2.16,-5.96,-3.06
27.565,1.69,6.28,-0.98
27.647,-1.45,-5.73,1.73
27.729,3.14,-10.79,-14.83
27.811,11.41,-17.53,-6.71
27.893,2.82,-14.95,5.81
27.975,0.55,-0.43,2.39
28.057,0.47,0.98,1.53
28.139,1.73,-19.89,6.43
28.221,-2,-19.53,-1.22
28.303,3.37,-9.26,-2.59
28.385,1.41,4.63,-2.12
28.467,-1.8,-5.14,0.51
28.549,1.49,-15.65,-6.67
28.631,9.57,-14.51,-6.16
28.713,-0.04,-14.2,2.79
28.795,-0.16,-1.33,2.12
28.877,-0.2,1.73,0.39
28.959,2.51,-20.01,4.94
29.041,-1.8,-19.85,0
29.123,5.49,-5.92,-4.43
29.205,2.51,3.96,-0.55
29.287,-2,-4.94,1.18
29.369,2.94,-13.3,1.84
29.451,12.63,-20.01,-0.51
29.533,1.22,-13.89,2.47
29.615,-1.06,0.78,0.2
29.697,1.73,0.31,2.04
29.779,8.08,-7.73,11.61
29.861,-5.45,-18.28,1.41
29.943,5.49,-10.36,-4.94
30.025,-3.33,0.08,-0.94
30.107,1.26,1.8,2.08
30.189,0.16,-3.06,-2.16
30.271,0.31,-12.2,2.59
30.353,11.77,-13.14,0
30.435,0.59,-10.12,-1.57
30.517,0.63,-2.86,-1.57
30.599,0.86,-3.57,-0.08
30.681,4.08,-7.81,1.06
30.763,2.04,-19.46,4.24
30.845,3.1,-10.67,-0.39
30.927,2.75,-6.47,-0.47
31.009,3.33,-7.34,0.86
31.092,1.84,-9.53,0.59
