NAME:,walk3.csv,,
EXPERIMENT TIME:,08/06/2023 10:44,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,122,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0.08,1.33,3.92
0.09999943,0.85,1.45,-0.08
0.19999981,0.02,2.9,2.24
0.29999924,0.3,2.35,2.16
0.40999985,0.57,1.84,2.24
0.5099993,0.89,2.35,4.47
0.60999966,0.77,6.16,5.22
0.71000004,8.16,2.63,-1.96
0.80999947,0.12,5.81,4.31
0.9200001,6.55,1.53,0.59
1.0199995,9.1,-0.71,1.06
1.1199999,0.26,0.16,0.75
1.2199993,11.73,3.02,-1.73
1.3199997,0.28,2.82,-1.37
1.4299994,0.65,1.61,1.29
1.5299997,7.77,3.65,2.86
1.6299992,14.08,-1.61,3.53
1.7299995,0.18,10.98,-2.59
1.8299999,0.83,3.3,2.24
1.9299994,4.39,-1.49,-0.71
2.04,0.49,-0.71,0.31
2.1399994,14.44,1.29,0.2
2.2399998,0.02,6.79,0
2.3399992,0.39,1.37,0.12
2.4399996,7.53,1.69,0.55
2.5499992,0.35,1.49,0.98
2.6499996,0.4,1.37,4.98
2.75,13.26,9.41,-1.18
2.8499994,0.41,-0.16,1.33
2.9499998,0.98,2.47,1.45
3.0599995,0.67,0.75,1.8
3.1599998,0.32,1.14,4.08
3.2599993,0.75,-0.71,1.77
3.3599997,9.3,3.49,-0.63
3.46,5.61,0.51,-1.1
3.5699997,0.47,2.82,0.27
3.67,0.81,2.39,2.67
3.7699995,0.18,6,-5.1
3.87,13.53,1.22,2.24
3.9699993,0.73,0.04,0.43
4.08,0,-0.51,2
4.1799994,0.91,-2.9,-0.04
4.2799997,0.91,8,-2.12
4.379999,9.3,1.18,-2
4.4799995,0.57,1.57,1.1
4.589999,7.45,1.29,1.02
4.6899996,13.45,1.65,3.41
4.79,11.69,10.51,-0.94
4.8899994,0.87,0,3.22
4.99,4.31,0.67,-0.63
5.0999994,0.92,0.2,2.79
5.2,16.2,0.31,-0.98
5.299999,12.28,2.43,-1.88
5.3999996,8.28,3.8,-2.08
5.5,0.53,1.02,0.35
5.6099987,0.16,-0.2,4.12
5.709999,11.49,-2.9,4.79
5.8099995,0.16,10.36,0.67
5.91,9.69,-6.12,-0.51
6.01,6.47,2.12,-1.8
6.119999,0.88,-1.02,1.8
6.2199993,0.55,0.9,-0.9
6.3199997,0.51,4.71,-3.73
6.42,8.59,2.16,-1.96
6.5200005,0,-1.49,-2.31
6.629999,0.49,0.43,1.88
6.7299995,0.63,0.98,1.73
6.83,0.4,4.28,0.78
6.9300003,10.24,-3.37,-4.04
7.029999,8.2,3.14,0.55
7.1399994,0.49,0.27,0.47
7.24,0.36,0.82,0.24
7.34,0.65,-0.39,-2.2
7.4400005,0.3,3.1,-4.63
7.539999,6.35,-0.27,-1.92
7.6499996,7.14,2.55,1.06
7.75,9.57,4.94,2.39
7.8500004,12.32,1.26,2.16
7.949999,0.9,8,-3.1
8.049999,0.04,6.32,1.96
8.16,0.79,0.63,0.31
8.26,0.28,-0.2,0.2
8.359999,0.55,-2.55,-2.04
8.459999,10.9,0.94,0.31
8.559999,0.87,5.96,0.12
8.67,0.47,-2.2,-1.26
8.77,8.04,1.1,4.47
8.869999,11.49,1.1,5.33
8.969999,0.26,-1.33,2.59
9.07,10.04,-0.86,1.45
9.18,0.06,4.55,3.37
9.279999,0.06,-1.14,0.86
9.379999,7.26,2.9,4.59
9.48,0.93,8.28,8.36
9.58,8.04,4.94,-0.59
9.690001,0.49,1.37,-0.59
9.789999,7.41,3.61,4.35
9.889999,0.24,2.63,2.16
9.99,0.59,6.47,4
10.09,0.2,2.86,-2.82
10.199999,8,7.26,3.92
10.299999,0.47,0.04,0.78
10.4,0.43,-0.75,2.24
10.5,0.55,-9.14,5.41
10.6,9.69,0.86,-1.02
10.709999,10.04,1.69,-1.96
10.809999,0.04,4.04,0.24
10.91,0.75,1.49,1.18
11.01,13.61,0.9,4.28
11.109999,11.92,8.79,1.45
11.219999,0.36,-2,0.2
11.32,5.41,0.78,-0.78
11.42,0.28,0.55,0.86
11.52,13.02,3.84,-0.27
11.619999,16.87,10.67,-4.51
11.73,0.53,6.35,-3.84
11.83,8,0.94,-0.51
11.93,7.14,0.94,2.86
12.029999,0.28,2.75,2.86
12.129999,12.63,6.32,0.78
12.24,0.22,-3.26,-3.22
12.34,0.16,2.98,1.49
12.440001,0.3,0.82,-0.47
12.539999,0.85,0.75,2.71
12.639999,19.81,-4.98,3.61
12.75,0.14,-1.1,-3.02
12.85,7.22,-0.67,-1.92
12.949999,0.73,3.06,4.31
13.049999,0.36,0.39,-0.47
13.15,12.83,0.86,4.08
13.26,0.34,9.89,0.24
13.359999,0.79,1.29,1.18
13.459999,5.61,1.18,1.88
13.559999,7.41,1.02,1.61
13.66,0.63,2.08,0.98
13.77,0.53,12.67,-4.75
13.869999,8.83,5.37,-1.02
13.969999,0.53,-1.84,-0.71
14.07,9.22,2.9,3.18
14.17,8.04,3.06,2.35
14.279999,0.75,2.24,5.22
14.379999,12.36,9.77,-1.02
14.48,10.4,6.67,3.37
14.58,5.26,1.77,0.59
14.68,8.67,-0.04,2.51
14.789999,15.77,-0.78,2.04
14.889999,0.51,5.18,-0.31
14.99,0.53,5.1,-0.43
15.09,5.33,1.1,-0.31
15.190001,0.77,0.82,2.12
15.299999,0.12,1.57,3.69
15.4,0.65,5.37,0.16
15.5,0.71,0.2,1.18
15.6,0.86,0.24,1.29
