NAME:,run_2_1.csv,,
EXPERIMENT TIME:,09/06/2023 20:10,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,121,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
14.62,-1.081,-0.526,-7.703
14.706,-19.871,-0.839,-2.172
14.792,-13.124,-4.997,5.556
14.878,6.921,-0.29,-2.839
14.964,-2.297,0.73,-3.976
15.05,-11.398,9.791,-14.92
15.136,-19.871,-0.329,-0.132
15.222,-5.631,-3.193,-1.309
15.308,1.39,1.2,-3.231
15.394,-10.535,8.457,-20.569
15.48,-19.871,2.848,-2.839
15.566,-5.161,-1.624,0.221
15.652,2.685,-1.035,-2.368
15.738,-5.396,-0.604,-1.779
15.824,-19.871,14.459,0.26
15.91,-19.871,-5.429,-0.603
15.996,-7.907,-2.761,1.673
16.082,-0.493,0.416,-2.015
16.168,-1.709,0.141,-15.626
16.254,-19.871,3.515,-4.29
16.34,-9.201,-4.801,3.163
16.426,4.018,-1.035,-2.172
16.512,-3.16,-1.545,-4.211
16.598,-19.871,7.987,-9.899
16.684,-19.792,-5.821,-3.231
16.77,-4.729,-2.291,-2.799
16.856,3.234,-0.839,-0.603
16.942,-2.179,0.024,-2.132
17.028,-19.871,3.083,-12.135
17.114,-14.379,-2.84,4.85
17.2,7.039,2.495,-4.721
17.286,0.802,-4.252,-1.858
17.372,-18.851,-0.526,19.442
17.458,-19.871,-3.507,4.065
17.544,-4.18,-1.192,-3.113
17.63,-0.61,0.298,-2.407
17.716,-0.257,0.691,-6.84
17.802,-19.871,-5.076,-20.569
17.888,-15.713,-2.016,5.242
17.974,5.47,1.71,-2.682
18.06,-0.1,-0.996,-2.721
18.146,-15.556,-19.511,19.442
18.232,-19.871,-10.528,7.4
18.318,-5.396,3.083,-1.466
18.404,0.998,-1.232,-1.701
18.49,-1.356,0.298,-2.015
18.576,-19.871,-19.511,13.048
18.662,-11.633,3.358,-3.231
18.748,-4.572,0.73,0.653
18.834,0.723,-1.506,-3.348
18.92,-19.871,-3.311,-14.881
19.006,-19.871,-5.782,-9.625
19.092,-4.69,3.083,-2.721
19.178,0.566,0.377,-1.269
19.264,-0.846,0.416,-5.977
19.35,-19.871,-18.099,9.439
19.436,-7.24,6.457,-3.113
19.522,1.9,2.142,-1.858
19.608,1.273,0.416,-0.093
19.694,-8.809,-2.918,-14.567
19.78,-15.752,-10.842,-2.995
19.866,-10.299,4.495,-0.563
19.952,-1.473,-1.702,-1.152
20.038,2.136,0.534,-3.937
20.124,-18.302,8.065,-20.491
20.21,-9.593,8.457,-0.25
20.296,-4.729,-3.624,-0.406
20.382,-0.14,0.494,0.182
20.468,-5.161,-1.859,-5.192
20.554,-15.477,-8.449,9.557
20.64,-15.163,2.142,-2.995
20.726,-4.886,-4.409,1.202
20.812,-0.1,0.141,-2.564
20.898,-2.179,1.044,-18.961
20.984,-19.871,1.593,-2.878
21.07,-11.202,-4.252,3.908
21.156,5.666,0.22,-2.211
21.242,-0.061,-1.467,-4.643
21.328,-9.789,5.319,-20.569
21.414,-19.478,1.083,-0.014
21.5,-4.415,-3.664,-0.642
21.586,0.606,2.063,-2.407
21.672,-3.199,0.651,-18.49
21.758,-19.871,8.889,-8.33
21.844,-13.163,-3.781,2.614
21.93,5.862,0.298,-2.25
22.016,1.626,-1.506,-2.446
22.102,-7.632,6.574,-20.569
22.188,-19.871,-1.781,6.772
22.274,-4.572,0.691,-2.407
22.36,0.723,1.867,-2.917
22.446,0.37,0.651,-10.723
22.532,-19.871,2.142,-9.586
22.618,-13.398,-5.86,5.948
22.704,5.234,3.358,-4.211
22.79,2.292,-2.291,-4.957
22.876,-11.868,-8.606,-20.569
22.962,-19.871,-0.055,3.555
23.048,-9.201,4.652,0.81
23.134,0.292,0.22,-1.073
23.22,-0.924,-1.035,-4.29
23.306,-19.871,-16.687,19.442
23.392,-12.065,8.457,-3.662
23.478,-4.965,-3.114,0.064
23.564,0.174,-1.585,-0.328
23.65,-10.26,-2.134,-15.823
23.736,-16.929,-8.645,4.732
23.822,-11.868,6.418,2.457
23.908,-2.729,-6.959,3.242
23.994,0.841,-0.643,-3.348
24.08,-19.871,7.006,-20.137
24.166,-8.26,11.125,-3.819
24.252,-5.278,-3.821,2.535
24.338,2.253,0.22,-1.544
24.424,-4.729,-2.369,0.77
24.51,-19.871,19.637,-18.882
24.596,-17.635,-5.625,-3.348
24.682,-4.455,-4.409,1.476
24.768,2.096,1.946,-0.877
24.854,-1.669,-0.486,-13.194
24.94,-19.871,4.025,-4.839
25.026,-10.966,-2.369,1.319
25.112,4.058,-1.585,-4.329
25.198,2.018,-3.428,-0.485
25.284,-13.673,7.947,-15.548
25.37,-19.518,-5.547,3.242
25.456,-5.121,0.691,-3.505
25.542,0.763,1.553,-3.152
25.628,0.174,-0.408,-12.959
25.714,-19.871,5.515,-14.763
25.8,-14.261,-3.938,2.379
25.886,6.647,3.75,-4.172
25.972,1.9,-3.036,-5.624
26.058,-19.871,6.731,5.87
26.144,-19.871,-7.626,6.694
26.23,-6.22,0.691,-2.721
26.316,0.645,1.397,-3.505
26.402,-0.493,-1.271,-3.819
26.488,-19.871,7.045,-8.369
26.574,-15.046,1.083,3.83
26.66,3.234,1.789,-1.387
26.746,0.096,-2.683,-0.093
26.832,-19.871,-19.511,19.442
26.918,-19.871,-9.665,4.732
27.004,-1.944,3.279,-2.446
27.09,-1.591,-0.094,-1.976
27.176,0.919,2.613,-3.78
27.262,-19.871,-17.471,-18.255
27.348,-13.202,10.772,-7.075
27.434,-3.317,0.73,-0.21
27.52,1.273,-1.663,-1.505
27.606,-3.788,-2.408,-18.255
27.692,-16.458,-0.329,0.182
27.778,-5.867,5.476,-2.446
27.864,-5.318,1.397,-0.132
27.95,0.174,-1.467,-0.838
28.036,-13.947,8.575,-19.274
28.122,-7.671,7.83,-0.916
28.208,-3.278,-0.094,-1.191
28.294,-0.806,-4.213,-0.446
28.38,-4.847,-0.094,-6.173
28.466,-19.871,-0.486,1.084
28.552,-14.81,6.457,-5.31
28.638,-3.239,-4.095,2.339
28.724,0.763,0.691,-3.113
28.81,-4.023,-0.251,-20.491
28.896,-19.871,-0.212,-5.898
28.982,-9.946,-8.057,3.712
29.068,2.136,0.102,-2.682
29.154,1.429,-2.055,-0.524
29.24,-13.555,2.377,-6.016
29.326,-19.871,-1.349,2.104
29.412,-7.867,-3.781,-4.368
29.498,2.645,1.71,-2.172
29.584,0.841,-3.507,-13.077
29.67,-19.871,6.614,-6.251
29.756,-11.594,-6.096,2.496
29.842,3.038,0.181,-2.721
29.928,-0.728,-0.565,-1.976
30.014,-11.947,4.888,-16.529
30.1,-17.242,1.71,-2.525
30.186,-4.494,-5.625,-1.897
30.272,1.469,1.436,-1.74
30.358,-4.965,5.79,-20.569
30.444,-19.871,0.808,-4.172
30.53,-8.73,-3.664,1.594
30.616,0.449,-1.192,-2.917
30.702,1.39,-3.742,-1.387
30.788,-19.125,11.752,-20.569
30.874,-19.871,-3.428,1.516
30.96,-5.592,-3.781,-4.251
31.046,2.371,1.24,-2.486
31.132,-2.101,-2.095,-5.153
31.218,-19.871,3.829,-1.583
31.304,-9.986,-2.761,0.221
31.39,2.881,0.847,-1.073
31.476,-0.336,-0.761,0.143
31.562,-13.751,12.772,-7.938
31.648,-19.871,-5.233,1.437
31.734,-3.827,-2.291,-4.29
31.82,3.155,1.75,-1.426
31.906,-0.257,-2.33,-2.995
31.992,-19.871,3.123,-19.824
32.078,-8.103,-4.291,4.105
32.164,5.666,1.279,-4.133
32.25,1.665,-1.781,-3.819
32.336,-9.711,11.203,-12.488
32.422,-19.871,-4.134,7.988
32.508,-6.455,-2.487,-3.584
32.594,1.939,-0.408,-2.211
32.68,-1.944,-2.134,-5.702
32.766,-19.871,-2.095,-9.35
32.852,-13.437,-2.055,2.026
32.938,4.921,1.553,-3.898
33.024,1.822,-1.114,-2.642
33.11,-19.871,-19.511,19.442
33.196,-19.871,-7.626,9.282
33.282,-0.532,1.946,-4.565
33.368,0.41,-0.133,-2.446
33.454,1.429,-0.486,-6.134
33.54,-19.871,9.046,-15.352
33.626,-10.182,-0.29,1.829
33.712,2.606,0.534,-2.486
33.798,0.449,-1.232,-1.426
33.884,-10.652,-0.251,18.108
33.97,-19.871,-6.37,2.457
34.056,-6.494,4.142,-0.916
34.142,-2.023,-0.447,-0.563
34.228,0.174,-0.486,-3.27
34.314,-19.871,-11.077,-9.193
34.4,-14.379,5.398,-1.505
34.486,0.841,3.632,-3.466
34.572,-0.257,0.847,-0.053
34.658,-17.87,-5.703,-18.804
34.744,-19.871,-4.409,-4.721
34.83,-9.986,4.378,-3.192
34.916,-2.023,0.769,-2.368
35.002,-0.767,1.828,-3.231
35.088,-17.556,-0.565,-16.215
35.174,-10.064,10.615,-2.329
35.26,-4.572,-2.134,-1.348
35.346,0.684,0.573,-1.113
35.432,-5.514,1.907,-8.919
35.518,-12.378,-9.665,6.772
35.604,-12.496,2.063,-0.485
35.69,-4.925,-2.879,-0.446
35.776,0.566,0.573,-1.662
35.862,-14.928,13.204,-20.569
35.948,-9.005,8.614,-0.053
36.034,-1.983,-2.722,-2.289
36.12,-0.885,0.691,1.712
36.206,-4.925,-3.35,-6.094
36.292,-19.871,-1.506,7.635
36.378,-16.223,3.711,-4.172
36.464,-4.298,-5.468,0.613
36.55,1.116,2.063,-2.956
36.636,-9.75,12.733,-20.569
36.722,-12.025,9.399,0.182
36.808,-7.161,-6.292,4.144
36.894,-1.316,0.337,-0.406
36.98,-1.277,-2.173,-2.289
37.066,-19.871,8.222,-10.252
37.152,-16.144,0.455,-2.015
37.238,-5.474,-4.84,-4.211
37.324,1.547,0.612,-1.897
37.41,1.312,-1.545,-6.134
37.496,-19.871,-0.526,-7.585
37.582,-10.966,-3.664,3.163
37.668,5.038,1.867,-4.172
37.754,0.056,-2.095,-4.604
37.84,-12.221,6.849,9.949
37.926,-19.871,-5.35,6.38
38.012,-4.494,-0.565,-4.211
38.098,0.723,0.416,-1.858
38.184,0.684,-2.997,-2.407
38.27,-19.871,7.477,-14.842
38.356,-11.202,1.71,1.241
38.442,2.724,0.573,-0.76
38.528,0.253,-2.173,-0.603
38.614,-17.556,-3.664,19.442
38.7,-19.871,-3.193,3.085
38.786,-5.435,1.318,-1.544
38.872,-1.356,-0.016,-2.721
38.958,0.88,2.063,-5.82
39.044,-19.871,-3.664,-18.137
39.13,-11.515,5.358,3.006
39.216,0.998,1.436,-0.916
39.302,1.626,-0.408,-3.192
39.388,-17.242,-7.508,-20.569
39.474,-19.871,1.044,-4.721
39.56,-9.789,0.416,0.496
39.646,-3.435,0.691,-2.956
39.732,0.88,0.455,-6.84
39.818,-19.871,-2.958,-10.488
39.904,-11.751,7.359,-1.544
39.99,-2.611,-0.604,-0.367
40.076,-0.571,1.318,-0.014
40.162,-6.73,-1.663,-10.449
40.248,-13.712,-8.096,3.438
40.334,-13.437,1.789,-2.682
40.42,-4.258,-4.213,-0.21
40.506,-0.297,0.534,-1.466
40.592,-7.828,5.202,-20.569
40.678,-19.871,1.71,-6.408
40.764,-7.946,-7.665,1.712
40.85,0.096,-0.094,0.339
40.936,1.037,-1.232,-0.76
41.022,-19.871,10.301,-7.82
41.108,-19.871,-3.546,-0.446
41.194,-0.963,-0.643,-3.27
41.28,1.586,0.691,-1.779
41.366,0.488,-0.526,-4.29
41.452,-19.871,3.436,-6.879
41.538,-11.829,-2.055,2.732
41.624,2.802,3.044,-2.799
41.71,1.312,-1.114,-2.995
41.796,-19.871,-14.686,-5.937
41.882,-19.871,-0.526,2.496
41.968,-4.533,2.534,-1.583
42.054,-1.356,1.161,-1.505
42.14,-0.571,-0.447,-4.133
42.226,-19.871,-19.511,19.442
42.312,-11.79,8.418,-2.995
42.398,-4.141,-2.958,0.966
42.484,-1.63,-0.369,1.594
42.57,-15.595,-5.9,-20.569
42.656,-15.948,-5.429,-1.191
42.742,-11.555,4.299,-0.563
42.828,-2.65,-3.114,-0.76
42.914,-0.846,0.141,-2.721
43,-15.634,6.81,-20.569
43.086,-10.652,9.085,-2.642
43.172,-7.318,-6.41,1.123
43.258,-1.081,0.024,1.437
43.344,-1.434,-1.663,-2.093
43.43,-19.871,10.105,-11.468
43.516,-18.105,-3.389,-0.014
43.602,-3.748,-3.742,-0.563
43.688,1.861,2.73,-1.113
